timestamp,blockCount,txCount
1765065600000,15159,777
1764979200000,15168,605
1764892800000,15179,1733
1764806400000,15187,1168
1764720000000,15194,1073
1764633600000,15205,1129
1764547200000,15197,2000
1764460800000,15166,643
1764374400000,15177,399
1764288000000,15174,746
1764201600000,15191,1402
1764115200000,15224,1026
1764028800000,15215,922
1763942400000,15202,1717
1763856000000,15179,711
1763769600000,15187,651
1763683200000,15190,1190
1763596800000,15192,1192
1763510400000,15190,704
1763424000000,15220,1532
1763337600000,15177,1434
1763251200000,15183,507
1763164800000,15192,451
1763078400000,15186,1360
1762992000000,15196,372
1762905600000,15197,400
1762819200000,15173,410
1762732800000,15158,1069
1762646400000,15181,443
1762560000000,15198,329
1762473600000,15210,562
1762387200000,15219,610
1762300800000,15234,2799
1762214400000,15172,669
1762128000000,15188,1725
1762041600000,15190,1045
1761955200000,15197,13714
1761868800000,15210,9733
1761782400000,15223,688
1761696000000,15196,370
1761609600000,15170,684
1761523200000,15178,714
1761436800000,15189,718
1761350400000,15198,751
1761264000000,15208,15906
1761177600000,15223,17735
1761091200000,15183,12972
1761004800000,15185,15799
1760918400000,15205,16029
1760832000000,15216,19194
1760745600000,15223,12513
1760659200000,15235,6184
1760572800000,15230,8305
1760486400000,15188,1144
1760400000000,15186,1548
1760313600000,15178,1230
1760227200000,15186,604
1760140800000,15196,703
1760054400000,15199,1103
1759968000000,15172,900
1759881600000,15160,1672
1759795200000,15171,755
1759708800000,15170,1467
1759622400000,15179,1467
1759536000000,15182,901
1759449600000,15194,4569
1759363200000,15174,1025
1759276800000,15192,890
1759190400000,15214,924
1759104000000,15225,671
1759017600000,15233,1166
1758931200000,15248,971
1758844800000,15235,11763
1758758400000,15214,1034
1758672000000,15218,1268
1758585600000,15221,1226
1758499200000,15227,2052
1758412800000,15232,2790
1758326400000,15246,2472
1758240000000,15190,5257
1758153600000,15215,3907
1758067200000,15236,2221
1757980800000,15266,799
1757894400000,15271,601
1757808000000,15265,450
1757721600000,15240,379
1757635200000,15202,1539
1757548800000,15198,488
1757462400000,15202,1035
1757376000000,15206,773
1757289600000,15223,491
1757203200000,15227,321
1757116800000,15216,481
1757030400000,15232,647
1756944000000,15240,822
1756857600000,15267,1515
1756771200000,15280,1003
1756684800000,15282,1502
1756598400000,15266,659
1756512000000,15226,633
1756425600000,15235,1204
1756339200000,15241,1707
1756252800000,15263,2655
1756166400000,15279,985
1756080000000,15287,837
1755993600000,15252,834
1755907200000,15245,941
1755820800000,15253,1258
1755734400000,15264,397
1755648000000,15279,619
1755561600000,15274,920
1755475200000,15268,760
1755388800000,15236,613
1755302400000,15249,482
1755216000000,15260,1364
1755129600000,15267,690
1755043200000,15269,700
1754956800000,15282,675
1754870400000,15254,698
1754784000000,15246,364
1754697600000,15244,347
1754611200000,15259,1948
1754524800000,15279,832
1754438400000,15290,771
1754352000000,15298,972
1754265600000,15246,699
1754179200000,15257,479
1754092800000,15264,773
1754006400000,15274,458
1753920000000,15273,641
1753833600000,15290,464
1753747200000,15172,2259
1753660800000,15215,8482
1753574400000,15229,662
1753488000000,15243,475
1753401600000,15245,1202
1753315200000,15256,857
1753228800000,15264,749
1753142400000,15213,499
1753056000000,15222,2709
1752969600000,15236,448
1752883200000,15241,492
1752796800000,15253,685
1752710400000,15261,462
1752624000000,15236,9563
1752537600000,15219,42716
1752451200000,15242,152670
1752364800000,15248,201850
1752278400000,15274,89998
1752192000000,15290,2057
1752105600000,15299,717
1752019200000,15256,446
1751932800000,15258,806
1751846400000,15268,5128
1751760000000,15275,9816
1751673600000,15286,1720
1751587200000,15295,591
1751500800000,15286,906
1751414400000,15247,590
1751328000000,15229,659
1751241600000,15240,879
1751155200000,15244,2357
1751068800000,15181,729
1750982400000,15266,432
1750896000000,15252,980
1750809600000,15252,570
1750723200000,15259,1796
1750636800000,15264,500
1750550400000,15269,405
1750464000000,15276,669
1750377600000,15273,2009
1750291200000,15226,733
1750204800000,15231,853
1750118400000,15229,1520
1750032000000,15226,532
1749945600000,15245,575
1749859200000,15259,739
1749772800000,15234,1195
1749686400000,15203,774
1749600000000,15243,1521
