source,target,messages,txs,channel,timestamp,volume,type
mantra,osmosis,68,67,transfer/channel-0,1764892800000,6082.562533,ack
mantra,noble,50,50,transfer/channel-1,1764892800000,18919.62739424054,ack
mantra,cosmos,2,2,transfer/channel-3,1764892800000,249.188089,ack
mantra,stargaze,0,0,transfer/channel-4,1764892800000,0,ack
mantra,injective,0,0,transfer/channel-2,1764892800000,0,ack
mantra,elys-1,6,6,transfer/channel-5,1764892800000,989.114758,ack
mantra,axelar,0,0,transfer/channel-6,1764892800000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764892800000,0,ack
mantra,osmosis,119,119,transfer/channel-0,1764892800000,7121.226753000001,receive
mantra,noble,15,15,transfer/channel-1,1764892800000,10406.06333524054,receive
mantra,cosmos,2,2,transfer/channel-3,1764892800000,0.000036,receive
mantra,stargaze,1,1,transfer/channel-4,1764892800000,19.540432,receive
mantra,injective,0,0,transfer/channel-2,1764892800000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764892800000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764892800000,0,receive
mantra,osmosis,63,63,transfer/channel-0,1764806400000,606.080723,ack
mantra,noble,28,28,transfer/channel-1,1764806400000,7123.24413024054,ack
mantra,cosmos,3,3,transfer/channel-3,1764806400000,154.338048,ack
mantra,stargaze,0,0,transfer/channel-4,1764806400000,0,ack
mantra,injective,0,0,transfer/channel-2,1764806400000,0,ack
mantra,elys-1,0,0,transfer/channel-5,1764806400000,0,ack
mantra,axelar,0,0,transfer/channel-6,1764806400000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764806400000,0,ack
mantra,osmosis,85,85,transfer/channel-0,1764806400000,272.448427,receive
mantra,noble,3,3,transfer/channel-1,1764806400000,2791.941794,receive
mantra,cosmos,0,0,transfer/channel-3,1764806400000,0,receive
mantra,stargaze,2,2,transfer/channel-4,1764806400000,15.224387,receive
mantra,injective,0,0,transfer/channel-2,1764806400000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764806400000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764806400000,0,receive
mantra,osmosis,51,51,transfer/channel-0,1764720000000,1612.421455,ack
mantra,noble,31,31,transfer/channel-1,1764720000000,10573.29027924054,ack
mantra,cosmos,0,0,transfer/channel-3,1764720000000,0,ack
mantra,stargaze,0,0,transfer/channel-4,1764720000000,0,ack
mantra,injective,0,0,transfer/channel-2,1764720000000,0,ack
mantra,elys-1,1,1,transfer/channel-5,1764720000000,186.619036,ack
mantra,axelar,0,0,transfer/channel-6,1764720000000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764720000000,0,ack
mantra,osmosis,96,96,transfer/channel-0,1764720000000,1978.371392,receive
mantra,noble,10,10,transfer/channel-1,1764720000000,12476.94852524054,receive
mantra,cosmos,0,0,transfer/channel-3,1764720000000,0,receive
mantra,stargaze,0,0,transfer/channel-4,1764720000000,0,receive
mantra,injective,0,0,transfer/channel-2,1764720000000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764720000000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764720000000,0,receive
mantra,osmosis,56,56,transfer/channel-0,1764633600000,1265.6741279999999,ack
mantra,noble,44,44,transfer/channel-1,1764633600000,5612.46465424054,ack
mantra,cosmos,3,3,transfer/channel-3,1764633600000,53.055593,ack
mantra,stargaze,0,0,transfer/channel-4,1764633600000,0,ack
mantra,injective,0,0,transfer/channel-2,1764633600000,0,ack
mantra,elys-1,0,0,transfer/channel-5,1764633600000,0,ack
mantra,axelar,0,0,transfer/channel-6,1764633600000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764633600000,0,ack
mantra,osmosis,110,106,transfer/channel-0,1764633600000,310.351323,receive
mantra,noble,8,8,transfer/channel-1,1764633600000,7422.052275,receive
mantra,cosmos,1,1,transfer/channel-3,1764633600000,0,receive
mantra,stargaze,0,0,transfer/channel-4,1764633600000,0,receive
mantra,injective,0,0,transfer/channel-2,1764633600000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764633600000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764633600000,0,receive
mantra,osmosis,50,50,transfer/channel-0,1764547200000,3624.081055,ack
mantra,noble,56,56,transfer/channel-1,1764547200000,13147.54325524054,ack
mantra,cosmos,3,3,transfer/channel-3,1764547200000,241.114986,ack
mantra,stargaze,0,0,transfer/channel-4,1764547200000,0,ack
mantra,injective,0,0,transfer/channel-2,1764547200000,0,ack
mantra,elys-1,0,0,transfer/channel-5,1764547200000,0,ack
mantra,axelar,0,0,transfer/channel-6,1764547200000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764547200000,0,ack
mantra,osmosis,126,126,transfer/channel-0,1764547200000,3743.05635,receive
mantra,noble,7,7,transfer/channel-1,1764547200000,6708.236199,receive
mantra,cosmos,0,0,transfer/channel-3,1764547200000,0,receive
mantra,stargaze,4,4,transfer/channel-4,1764547200000,119.76308,receive
mantra,injective,0,0,transfer/channel-2,1764547200000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764547200000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764547200000,0,receive
mantra,osmosis,79,79,transfer/channel-0,1764460800000,1992.777181,ack
mantra,noble,18,18,transfer/channel-1,1764460800000,5924.0428292405395,ack
mantra,cosmos,1,1,transfer/channel-3,1764460800000,1.683447,ack
mantra,stargaze,0,0,transfer/channel-4,1764460800000,0,ack
mantra,injective,0,0,transfer/channel-2,1764460800000,0,ack
mantra,elys-1,2,2,transfer/channel-5,1764460800000,375.304277,ack
mantra,axelar,0,0,transfer/channel-6,1764460800000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764460800000,0,ack
mantra,osmosis,126,126,transfer/channel-0,1764460800000,1441.975357,receive
mantra,noble,3,3,transfer/channel-1,1764460800000,2329.53216,receive
mantra,cosmos,0,0,transfer/channel-3,1764460800000,0,receive
mantra,stargaze,2,2,transfer/channel-4,1764460800000,17.925051,receive
mantra,injective,0,0,transfer/channel-2,1764460800000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764460800000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764460800000,0,receive
mantra,osmosis,39,39,transfer/channel-0,1764374400000,1947.969696,ack
mantra,noble,45,45,transfer/channel-1,1764374400000,13055.73607224054,ack
mantra,cosmos,1,1,transfer/channel-3,1764374400000,57.510172,ack
mantra,stargaze,0,0,transfer/channel-4,1764374400000,0,ack
mantra,injective,0,0,transfer/channel-2,1764374400000,0,ack
mantra,elys-1,0,0,transfer/channel-5,1764374400000,0,ack
mantra,axelar,0,0,transfer/channel-6,1764374400000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764374400000,0,ack
mantra,osmosis,77,74,transfer/channel-0,1764374400000,1227.866317,receive
mantra,noble,6,6,transfer/channel-1,1764374400000,5901.277794,receive
mantra,cosmos,0,0,transfer/channel-3,1764374400000,0,receive
mantra,stargaze,1,1,transfer/channel-4,1764374400000,12.318675,receive
mantra,injective,0,0,transfer/channel-2,1764374400000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764374400000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764374400000,0,receive
mantra,osmosis,43,43,transfer/channel-0,1764288000000,254.516608,ack
mantra,noble,33,33,transfer/channel-1,1764288000000,11509.56912224054,ack
mantra,cosmos,0,0,transfer/channel-3,1764288000000,0,ack
mantra,stargaze,0,0,transfer/channel-4,1764288000000,0,ack
mantra,injective,0,0,transfer/channel-2,1764288000000,0,ack
mantra,elys-1,1,1,transfer/channel-5,1764288000000,186.333931,ack
mantra,axelar,0,0,transfer/channel-6,1764288000000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764288000000,0,ack
mantra,osmosis,146,145,transfer/channel-0,1764288000000,2154.730138,receive
mantra,noble,5,5,transfer/channel-1,1764288000000,5603.35213,receive
mantra,cosmos,0,0,transfer/channel-3,1764288000000,0,receive
mantra,stargaze,21,21,transfer/channel-4,1764288000000,396.138669,receive
mantra,injective,0,0,transfer/channel-2,1764288000000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764288000000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764288000000,0,receive
mantra,osmosis,102,101,transfer/channel-0,1764201600000,4720.18067,ack
mantra,noble,55,55,transfer/channel-1,1764201600000,17992.06244024054,ack
mantra,cosmos,1,1,transfer/channel-3,1764201600000,69.13,ack
mantra,stargaze,0,0,transfer/channel-4,1764201600000,0,ack
mantra,injective,0,0,transfer/channel-2,1764201600000,0,ack
mantra,elys-1,2,2,transfer/channel-5,1764201600000,60.034991,ack
mantra,axelar,0,0,transfer/channel-6,1764201600000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764201600000,0,ack
mantra,osmosis,86,85,transfer/channel-0,1764201600000,2511.092941,receive
mantra,noble,13,13,transfer/channel-1,1764201600000,7875.3904,receive
mantra,cosmos,0,0,transfer/channel-3,1764201600000,0,receive
mantra,stargaze,15,15,transfer/channel-4,1764201600000,219.041294,receive
mantra,injective,0,0,transfer/channel-2,1764201600000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764201600000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764201600000,0,receive
mantra,osmosis,132,131,transfer/channel-0,1764115200000,12482.973163,ack
mantra,noble,258,252,transfer/channel-1,1764115200000,82829.91352724054,ack
mantra,cosmos,5,5,transfer/channel-3,1764115200000,234.614451,ack
mantra,stargaze,1,1,transfer/channel-4,1764115200000,7.4233,ack
mantra,injective,0,0,transfer/channel-2,1764115200000,0,ack
mantra,elys-1,6,6,transfer/channel-5,1764115200000,475.513677,ack
mantra,axelar,0,0,transfer/channel-6,1764115200000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764115200000,0,ack
mantra,osmosis,191,180,transfer/channel-0,1764115200000,14086.879546999999,receive
mantra,noble,115,114,transfer/channel-1,1764115200000,104283.28990924054,receive
mantra,cosmos,1,1,transfer/channel-3,1764115200000,0,receive
mantra,stargaze,7,7,transfer/channel-4,1764115200000,105.806269,receive
mantra,injective,0,0,transfer/channel-2,1764115200000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764115200000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764115200000,0,receive
mantra,osmosis,62,61,transfer/channel-0,1764028800000,530.322868,ack
mantra,noble,43,43,transfer/channel-1,1764028800000,5253.85134524054,ack
mantra,cosmos,1,1,transfer/channel-3,1764028800000,124.88,ack
mantra,stargaze,0,0,transfer/channel-4,1764028800000,0,ack
mantra,injective,0,0,transfer/channel-2,1764028800000,0,ack
mantra,elys-1,0,0,transfer/channel-5,1764028800000,0,ack
mantra,axelar,0,0,transfer/channel-6,1764028800000,0,ack
mantra,neutron,0,0,transfer/channel-7,1764028800000,0,ack
mantra,osmosis,100,98,transfer/channel-0,1764028800000,1160.025503,receive
mantra,noble,9,9,transfer/channel-1,1764028800000,7628.090759,receive
mantra,cosmos,0,0,transfer/channel-3,1764028800000,0,receive
mantra,stargaze,7,7,transfer/channel-4,1764028800000,256.836898,receive
mantra,injective,0,0,transfer/channel-2,1764028800000,0,receive
mantra,axelar,0,0,transfer/channel-6,1764028800000,0,receive
mantra,neutron,0,0,transfer/channel-7,1764028800000,0,receive
mantra,osmosis,58,58,transfer/channel-0,1763942400000,1042.285997,ack
mantra,noble,37,37,transfer/channel-1,1763942400000,9478.90307824054,ack
mantra,cosmos,38,38,transfer/channel-3,1763942400000,3246.049936,ack
mantra,stargaze,0,0,transfer/channel-4,1763942400000,0,ack
mantra,injective,0,0,transfer/channel-2,1763942400000,0,ack
mantra,elys-1,0,0,transfer/channel-5,1763942400000,0,ack
mantra,axelar,0,0,transfer/channel-6,1763942400000,0,ack
mantra,neutron,0,0,transfer/channel-7,1763942400000,0,ack
mantra,osmosis,106,104,transfer/channel-0,1763942400000,1313.7883259999999,receive
mantra,noble,7,7,transfer/channel-1,1763942400000,7839.302179,receive
mantra,cosmos,2,2,transfer/channel-3,1763942400000,85.653546,receive
mantra,stargaze,1,1,transfer/channel-4,1763942400000,2.873132,receive
mantra,injective,0,0,transfer/channel-2,1763942400000,0,receive
mantra,axelar,0,0,transfer/channel-6,1763942400000,0,receive
mantra,neutron,0,0,transfer/channel-7,1763942400000,0,receive
mantra,osmosis,41,41,transfer/channel-0,1763856000000,2883.331089,ack
mantra,noble,21,21,transfer/channel-1,1763856000000,3595.1617102405403,ack
mantra,cosmos,109,109,transfer/channel-3,1763856000000,9580.870685999998,ack
mantra,stargaze,0,0,transfer/channel-4,1763856000000,0,ack
mantra,injective,0,0,transfer/channel-2,1763856000000,0,ack
mantra,elys-1,0,0,transfer/channel-5,1763856000000,0,ack
mantra,axelar,0,0,transfer/channel-6,1763856000000,0,ack
mantra,neutron,0,0,transfer/channel-7,1763856000000,0,ack
mantra,osmosis,96,94,transfer/channel-0,1763856000000,2303.003317,receive
mantra,noble,6,6,transfer/channel-1,1763856000000,5450.993996,receive
mantra,cosmos,0,0,transfer/channel-3,1763856000000,0,receive
mantra,stargaze,4,4,transfer/channel-4,1763856000000,45.241245,receive
mantra,injective,0,0,transfer/channel-2,1763856000000,0,receive
mantra,axelar,0,0,transfer/channel-6,1763856000000,0,receive
mantra,neutron,0,0,transfer/channel-7,1763856000000,0,receive
mantra,osmosis,51,51,transfer/channel-0,1763769600000,848.192739,ack
mantra,noble,34,34,transfer/channel-1,1763769600000,11297.89183224054,ack
mantra,cosmos,100,100,transfer/channel-3,1763769600000,8934.272,ack
mantra,stargaze,0,0,transfer/channel-4,1763769600000,0,ack
mantra,injective,0,0,transfer/channel-2,1763769600000,0,ack
mantra,elys-1,3,3,transfer/channel-5,1763769600000,186.650324,ack
mantra,axelar,0,0,transfer/channel-6,1763769600000,0,ack
mantra,neutron,0,0,transfer/channel-7,1763769600000,0,ack
mantra,osmosis,31,31,transfer/channel-0,1763769600000,953.6934319999999,receive
mantra,noble,8,8,transfer/channel-1,1763769600000,7394.933709,receive
mantra,cosmos,0,0,transfer/channel-3,1763769600000,0,receive
mantra,stargaze,9,9,transfer/channel-4,1763769600000,136.987607,receive
mantra,injective,0,0,transfer/channel-2,1763769600000,0,receive
mantra,axelar,0,0,transfer/channel-6,1763769600000,0,receive
mantra,neutron,0,0,transfer/channel-7,1763769600000,0,receive
