chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
mantra,0.172568,3.2568104,10764272,0.08,522346142,1877921283,0,33,50,83,4590339,0.42644212260708386,0.42644212260708386,14202,208688,mantra-dao,0.073095,82618027,483,126298486,20043444,0.075263,0.071651,-0.00142623,-1.914,-1565776,-1.86,1130312013,1727912190,0,8.99,1740275541073,0.01726188,1697131509068,-0.445,-1.914,-7.887,-0.309,-28.742,-98.136,1765152000000
mantra,0.172574,3.2581674,10737757,0.08,522213420,1877504810,0,33,50,83,4587351,0.42721687592669494,0.42721687592669494,13936,208653,mantra-dao,0.07452,84183802,479,128706986,16175970,0.075905,0.072719,0.00026068,0.351,241547,0.288,1129909391,1727496598,0,8.99,1740275541073,0.01726188,1697131509068,-0.247,0.351,-5.284,2.503,-16.803,-98.14,1765065600000
mantra,0.172553,3.2642816,10711232,0.08,522159145,1877088270,0,33,50,83,4584641,0.42802181859192295,0.42802181859192295,13924,208653,mantra-dao,0.0743,83942255,478,128352686,22594031,0.077889,0.072166,-0.00136148,-1.799,-1461682,-1.711,1129506656,1727082651,0,8.99,1740275541073,0.01726188,1697131509068,-0.026,-1.799,-10.257,3.253,-20.469,-98.071,1764979200000
mantra,0.172565,3.2648395,10684758,0.08,522007501,1876672585,0,33,50,83,4579806,0.42862982951977013,0.42862982951977013,13924,208653,mantra-dao,0.075632,85403622,480,130602172,19767722,0.079111,0.074554,-0.00276661,-3.529,-3068334,-3.468,1129104816,1726666119,0,8.99,1740275541073,0.01726188,1697131509068,0.045,-3.529,-9.976,-5.123,-16.113,-98.026,1764892800000
mantra,0.172627,3.2640507000000003,10658301,0.08,521703595,1876257285,0,33,50,83,4576603,0.4293932963612118,0.4293932963612118,13446,208599,mantra-dao,0.078364,88449851,473,135276212,25514048,0.079215,0.075203,0.00308449,4.097,3530749,4.158,1128703292,1726251699,0,8.99,1740275541073,0.01726188,1697131509068,-0.339,4.097,-11.957,-0.526,-16.519,-98.1,1764806400000
mantra,0.173308,3.2508573,10631848,0.08,519539998,1875846388,0,33,50,83,4572371,0.4300636164098659,0.4300636164098659,13910,208529,mantra-dao,0.075275,84919102,481,129912941,28124890,0.077293,0.072667,0.00216438,2.96,2433330,2.95,1128113590,1725837304,0,8.99,1740275541073,0.01726188,1697131509068,-0.562,2.96,-1.994,-6.998,-27.746,-97.924,1764720000000
mantra,0.173356,3.2511818999999997,10605271,0.08,519283773,1875429396,0,33,50,83,4568210,0.4307490115056937,0.4307490115056937,14279,208529,mantra-dao,0.073113,82485773,478,126147636,27196267,0.078063,0.071585,-0.0049505,-6.342,-5689953,-6.453,1128199979,1725385555,0,8.99,1740275541073,0.01726188,1697131509068,-0.307,-6.342,-2.883,-7.615,-30.996,-97.923,1764633600000
mantra,0.173425,3.2452742,10578674,0.08,518959838,1875012183,0,33,50,83,4563737,0.43140917283205815,0.43140917283205815,14246,208529,mantra-dao,0.078095,88175725,472,134865830,19928764,0.080369,0.078189,-0.00106885,-1.35,-1092261,-1.224,1127782290,1724956553,0,8.99,1740275541073,0.01726188,1697131509068,-1.492,-1.35,6.51,-4.315,-25.078,-97.812,1764547200000
mantra,0.173979,3.250654,10552063,0.08,517192080,1874594855,0,33,50,83,4559975,0.43214061553650696,0.43214061553650696,14553,208473,mantra-dao,0.079172,89267985,468,136550093,28851883,0.084421,0.078483,-0.00515826,-6.117,-5766629,-6.068,1127428954,1724588363,0,8.99,1740275541073,0.01726188,1697131509068,0.382,-6.117,8.903,-6.225,-22.045,-97.73,1764460800000
mantra,0.174039,3.2434427,10525499,0.08,516898882,1874178342,0,33,50,83,4555172,0.4327749211700082,0.4327749211700082,14752,208420,mantra-dao,0.084341,95034614,452,145521479,35743057,0.084955,0.079469,0.00249382,3.047,2963166,3.218,1125990181,1724169219,0,8.99,1740275541073,0.01726188,1697131509068,3.032,3.047,14.786,-0.311,-24.896,-97.6,1764374400000
mantra,0.172618,3.2397303,10498858,0.08,521037973,1873760714,0,33,50,83,4550668,0.4334440945862874,0.4334440945862874,14923,208377,mantra-dao,0.081808,92071448,462,141010659,49984997,0.089504,0.081566,-0.00603949,-6.875,-5755608,-5.883,1125354267,1723519624,0,8.99,1740275541073,0.01726188,1697131509068,-2.103,-6.875,2.624,-5.352,-25.915,-97.661,1764288000000
mantra,0.17275,3.2400466,10472269,0.08,520524422,1873344078,0,33,50,83,4545897,0.43408902120447823,0.43408902120447823,14788,208377,mantra-dao,0.087819,97827055,439,149832050,183504431,0.096477,0.07497,0.01038167,13.407,10638222,12.201,1125185085,1723334990,0,8.99,1740275541073,0.01726188,1697131509068,-1.13,13.407,11.476,-4.459,-23.58,-97.559,1764201600000
mantra,0.172773,3.2381625,10445609,0.08,520339169,1872926397,0,33,50,83,4537080,0.43435284625338744,0.43435284625338744,14898,208377,mantra-dao,0.077308,87044765,475,133333333,24557181,0.077766,0.07323,0.00246459,3.293,2867124,3.406,1124781977,1722917278,0,8.99,1740275541073,0.01726188,1697131509068,1.14,3.293,-4.487,-15.859,-34.428,-97.778,1764115200000
mantra,0.17282,3.2396964,10418926,0.08,520081523,1872508389,0,33,50,83,4532588,0.4350340908458319,0.4350340908458319,14898,208377,mantra-dao,0.074882,84386480,479,129290035,20557291,0.076154,0.071993,0.00215795,2.967,3018471,3.71,1124220733,1722438678,0,8.99,1740275541073,0.01726188,1697131509068,-0.472,2.967,-4.371,-24.257,-35.701,-97.961,1764028800000
mantra,0.171513,3.2383879,10392249,0.08,523926423,1872090590,0,33,50,83,4528661,0.4357729496281315,0.4357729496281315,15088,208310,mantra-dao,0.072737,81368009,476,125277383,14194460,0.074417,0.071319,0.00054308,0.752,894349,1.111,1118497290,1722082352,0,8.99,1740275541073,0.01726188,1697131509068,-0.818,0.752,-10.879,-26.426,-38.11,-98.043,1763942400000
mantra,0.171535,3.2386407999999998,10365564,0.08,523742676,1871672730,0,33,50,83,4524929,0.43653476067486535,0.43653476067486535,14893,208279,mantra-dao,0.072129,80591552,483,124370199,19290869,0.075488,0.071235,-0.00160461,-2.176,-1640625,-1.995,1115633929,1721664494,0,8.99,1740275541073,0.01726188,1697131509068,-0.785,-2.176,-14.567,-26.201,-38.622,-98.148,1763856000000
mantra,0.171082,3.2385879,10338885,0.08,525014752,1871255052,0,33,50,83,4520218,0.4372055594002641,0.4372055594002641,14917,208275,mantra-dao,0.073734,82232176,476,126917050,33151382,0.080071,0.070701,-0.00470603,-6,-5475764,-6.243,1115231347,1721246828,0,8.99,1740275541073,0.01726188,1697131509068,1.884,-6,-12.849,-28.119,-32.647,-97.986,1763769600000
mantra,0.171298,3.238048,10312222,0.08,524234323,1870837778,0,33,50,83,4513548,0.4376891808574331,0.4376891808574331,14921,208202,mantra-dao,0.078357,87707940,476,134990407,24726448,0.082675,0.075779,-0.00090486,-1.142,-942537,-1.063,1118083025,1720830317,0,8.99,1740275541073,0.01726188,1697131509068,-1.48,-1.142,-10.603,-12.518,-33.943,-97.887,1763683200000
mantra,0.170998,3.2478656999999997,10285526,0.08,525036058,1870420062,0,33,50,83,4509127,0.438395372293065,0.438395372293065,15186,208129,mantra-dao,0.079273,88650477,476,136377839,17220454,0.081631,0.075686,-0.00206825,-2.543,-2279027,-2.506,1118328713,1720410966,0,8.99,1740275541073,0.01726188,1697131509068,0.627,-2.543,-13.757,-15.413,-36.095,-97.941,1763596800000
mantra,0.170974,3.2372080999999997,10259013,0.08,524996332,1870015646,0,33,50,83,4504098,0.4390381413884552,0.4390381413884552,14827,208059,mantra-dao,0.081337,90929504,480,139899830,19095587,0.082729,0.077965,0.00221131,2.795,2314175,2.611,1117939175,1720008288,0,8.99,1740275541073,0.01726188,1697131509068,-0.366,2.795,-11.474,-7.958,-33.453,-97.882,1763510400000
mantra,0.170955,3.2798158,10232351,0.08,524938584,1869598625,0,33,50,83,4499356,0.43971869221452625,0.43971869221452625,14855,208045,mantra-dao,0.079285,88615329,482,136337110,24002306,0.083021,0.077846,-0.00289701,-3.525,-3207842,-3.494,1117685424,1719589626,0,8.99,1740275541073,0.01726188,1697131509068,0.162,-3.525,-19.804,-15.538,-34.229,-97.812,1763424000000
mantra,0.171284,3.2769793,10205997,0.08,523812286,1869186544,0,32,51,83,4494591,0.4403872546699749,0.4403872546699749,16220,207955,mantra-dao,0.082204,91823170,477,141288884,25205803,0.086285,0.079704,-0.00283874,-3.338,-3074122,-3.239,1117288258,1719178407,0,8.99,1740275541073,0.01726188,1697131509068,0.72,-3.338,-16.85,-21.096,-32.542,-96.549,1763337600000
mantra,0.171241,3.2755224,10179630,0.08,523830315,1868774290,0,32,51,83,4490304,0.4411067985771585,0.4411067985771585,16220,207955,mantra-dao,0.084965,94897292,475,146036195,17926342,0.088023,0.083419,0.00122419,1.462,1334449,1.426,1116890910,1718768749,0,8.99,1740275541073,0.01726188,1697131509068,0.024,1.462,-13.072,-19.81,-30.97,-96.214,1763251200000
mantra,0.171226,3.2741861,10153240,0.08,523760739,1868361813,0,32,51,83,4486181,0.44184723300148526,0.44184723300148526,16310,207878,mantra-dao,0.083744,93562843,475,143999452,44892688,0.091133,0.083083,-0.00508812,-5.728,-5758021,-5.797,1116492978,1718357117,0,8.99,1740275541073,0.01726188,1697131509068,-1.271,-5.728,-18.361,-19.574,-37.036,-95.326,1763164800000
mantra,0.170168,3.2815062,10126870,0.08,526900856,1867949733,0,32,51,83,4480155,0.4424027364822497,0.4424027364822497,16719,207771,mantra-dao,0.088609,99320863,471,152569086,41631640,0.096614,0.085802,-0.00336933,-3.663,-3401521,-3.311,1118361199,1717940619,0,8.99,1740275541073,0.01726188,1697131509068,0.77,-3.663,-1.073,-12.753,-33.832,-93.568,1763078400000
mantra,0.170876,3.2799614000000004,10100539,0.08,524600346,1867538349,0,32,51,83,4475097,0.4430552666545815,0.4430552666545815,17063,207758,mantra-dao,0.091905,102722384,464,157812230,37377862,0.095937,0.089316,0.00048092,0.526,863589,0.848,1117968272,1717532812,0,8.99,1740275541073,0.01726188,1697131509068,-0.643,0.526,-1.625,-18.161,-42.647,-94.036,1762992000000
mantra,0.169098,3.2688261,10074199,0.08,530001099,1867126894,0,32,51,83,4470549,0.44376222863971615,0.44376222863971615,17048,207690,mantra-dao,0.091503,101858796,472,157450079,32362846,0.101785,0.091452,-0.00887168,-8.839,-8940722,-8.069,1110853115,1717121326,0,8.99,1740275541073,0.01726188,1697131509068,-1.146,-8.839,1.49,-16.736,-19.278,-93.84,1762905600000
mantra,0.169117,3.2686997,10047763,0.08,529825540,1866714045,0,32,51,83,4466151,0.44449207251405115,0.44449207251405115,17001,207680,mantra-dao,0.100375,110799517,457,172367532,26508880,0.102098,0.097814,0.00177166,1.797,2049228,1.884,1103515723,1716706776,0,8.99,1740275541073,0.01726188,1697131509068,-1.604,1.797,6.857,-11.903,-2.779,-92.993,1762819200000
mantra,0.168912,3.2718199,10021335,0.08,530350443,1866301412,0,32,51,83,4461880,0.4452380845466198,0.4452380845466198,16987,207666,mantra-dao,0.098603,108750289,462,169200035,23683883,0.100127,0.09326,0.00035776,0.364,369754,0.341,1103117842,1716295003,0,8.99,1740275541073,0.01726188,1697131509068,0.388,0.364,-5.355,-17.381,-12.483,-92.865,1762732800000
mantra,0.17007,3.2754029,9994912,0.08,526623090,1865888945,0,32,51,83,4457923,0.4460192345865576,0.4460192345865576,16962,207659,mantra-dao,0.098322,108201771,460,168393980,35978366,0.106285,0.095829,-0.00232558,-2.311,-3123372,-2.806,1102220178,1715380820,0,8.99,1740275541073,0.01726188,1697131509068,0.651,-2.311,-6.25,-15.574,-39.472,-92.862,1762646400000
mantra,0.170195,3.2794641,9968548,0.08,526118649,1865477517,0,32,51,83,4453099,0.44671490772778544,0.44671490772778544,16962,207659,mantra-dao,0.100726,111166205,452,173000055,42926523,0.103133,0.088652,0.01207361,13.619,13475751,13.794,1102323562,1715467724,0,8.99,1740275541073,0.01726188,1697131509068,-1.805,13.619,-3.265,-14.295,-40.192,-92.986,1762560000000
mantra,0.17053,3.2877336,9942212,0.08,524971812,1865066609,0,32,51,83,4447250,0.44730991453410973,0.44730991453410973,17565,207501,mantra-dao,0.088682,97693435,472,152051945,23132083,0.093638,0.087427,-0.0047179,-5.051,-5185482,-5.04,1101927419,1715061078,0,8.99,1740275541073,0.01726188,1697131509068,-0.658,-5.051,-12.681,-24.536,-46.894,-93.619,1762473600000
mantra,0.170582,3.2772417999999996,9915968,0.08,524696103,1864657356,0,32,51,83,4440580,0.44782113052401945,0.44782113052401945,17791,207452,mantra-dao,0.093442,102878917,463,160224268,36612476,0.098409,0.086421,0.00324159,3.594,3563255,3.588,1100908940,1714562471,0,8.99,1740275541073,0.01726188,1697131509068,0.126,3.594,-16.792,-14.645,-47.234,-92.757,1762387200000
mantra,0.170708,3.3062508999999998,9889855,0.08,524192673,1864250199,0,32,51,83,4435251,0.44846471459895015,0.44846471459895015,18111,207442,mantra-dao,0.090239,99315661,473,154681539,37671711,0.096287,0.084512,-0.00420203,-4.449,-4541854,-4.373,1100657186,1714244721,0,8.99,1740275541073,0.01726188,1697131509068,-0.153,-4.449,-17.886,-23.927,-47.463,-92.924,1762300800000
mantra,0.170705,3.3054525000000003,9863716,0.08,524087654,1863842878,0,32,51,83,4427305,0.44884757428133576,0.44884757428133576,18348,207330,mantra-dao,0.094443,103857515,465,161808938,38101243,0.105411,0.092447,-0.0108052,-10.266,-11950227,-10.319,1099610140,1713181271,0,8.99,1740275541073,0.01726188,1697131509068,0.221,-10.266,-17.11,-24.248,-45.509,-93.048,1762214400000
mantra,0.170737,3.3120439,9837583,0.08,523875972,1863435794,0,32,51,83,4418705,0.4491657147899032,0.4491657147899032,18745,207275,mantra-dao,0.105362,115807741,456,180449048,19194130,0.107389,0.103194,-0.00092212,-0.868,-1141274,-0.976,1099217753,1712776664,0,8.99,1740275541073,0.01726188,1697131509068,1.825,-0.868,-11.717,-13.796,-40.696,-92.443,1762128000000
mantra,0.17072,3.3031535000000005,9811502,0.08,523813957,1863029639,0,32,51,83,4410013,0.4494737910668519,0.4494737910668519,18417,207201,mantra-dao,0.106336,116866392,456,182080925,22154444,0.106459,0.102717,0.00210341,2.018,2301775,2.009,1099480659,1713019895,0,8.99,1740275541073,0.01726188,1697131509068,0.359,2.018,-8.692,-11.788,-40.119,-92.539,1762041600000
mantra,0.17081,3.3366010000000004,9785457,0.08,523423192,1862624159,0,32,51,83,4399905,0.44963715031398127,0.44963715031398127,18133,207079,mantra-dao,0.104239,114564617,459,178517914,45639491,0.116458,0.10208,0.00215853,2.115,2469895,2.203,1099058470,1712584836,0,8.99,1740275541073,0.01726188,1697131509068,0.004,2.115,-11.306,-14.461,-40.511,-92.533,1761955200000
mantra,0.170825,3.3246702,9759523,0.08,523262217,1862220643,0,32,51,83,4387440,0.44955475795282207,0.44955475795282207,17839,207039,mantra-dao,0.10208,112094722,463,174686718,34791815,0.111476,0.100098,-0.0083917,-7.596,-9194380,-7.581,1098709763,1712212668,0,8.99,1740275541073,0.01726188,1697131509068,0.446,-7.596,-13.136,-17.886,-38.261,-92.906,1761868800000
mantra,0.171181,3.3338106,9733479,0.08,522063146,1861815320,0,32,51,83,4377702,0.44975717315463465,0.44975717315463465,17839,207039,mantra-dao,0.110538,121221495,445,188994826,25786183,0.113624,0.109347,0.00042126,0.383,425713,0.352,1097308984,1710799892,0,8.99,1740275541073,0.01726188,1697131509068,-1.025,0.383,0.972,-16.891,-33.763,-91.945,1761782400000
mantra,0.171389,3.3104803,9707490,0.08,521313575,1861402848,0,32,51,83,4368537,0.45001715170450857,0.45001715170450857,16975,206732,mantra-dao,0.110132,120795782,447,188324580,25978197,0.115627,0.109041,-0.00354193,-3.116,-3945251,-3.163,1097390147,1710867180,0,8.99,1740275541073,0.01726188,1697131509068,-0.244,-3.116,-7.156,-18.768,-35.615,-92,1761696000000
mantra,0.171058,3.2918974999999997,9681317,0.08,522211007,1860995386,0,32,50,82,4361867,0.45054479674614517,0.45054479674614517,16910,206529,mantra-dao,0.113681,124741032,446,194588971,26821618,0.120997,0.112874,-0.00549211,-4.609,-5872843,-4.496,1096831148,1710994692,0,8.99,1740275541073,0.01726188,1697131509068,-0.282,-4.609,-8.356,-29.058,-36.848,-92.137,1761609600000
mantra,0.170261,3.2699225,9655159,0.08,524538025,1860588223,0,32,50,82,4357315,0.45129396626197454,0.45129396626197454,17717,206315,mantra-dao,0.1191,130613874,436,203774947,22175167,0.119969,0.116006,0.00282761,2.432,3236229,2.541,1096437935,1710588433,0,8.99,1740275541073,0.01726188,1697131509068,-0.206,2.432,-2.557,5.068,-27.879,-90.626,1761523200000
mantra,0.170288,3.2664983,9628731,0.08,524340145,1860176935,0,32,50,82,4354219,0.45221109614548377,0.45221109614548377,17927,206232,mantra-dao,0.116264,127465949,437,198890375,17996215,0.119049,0.115889,-0.00135528,-1.152,-894047,-0.697,1096001555,1710136413,0,8.99,1740275541073,0.01726188,1697131509068,-0.659,-1.152,-3.73,12.61,-27.322,-90.926,1761436800000
mantra,0.171106,3.2736264999999998,9602293,0.08,521718058,1859765566,0,32,50,82,4351148,0.45313634982810874,0.45313634982810874,19496,206029,mantra-dao,0.117663,128525499,434,200765667,22206452,0.119598,0.115644,-0.00058578,-0.495,-299712,-0.233,1092614196,1706738498,0,8.99,1740275541073,0.01726188,1697131509068,0.172,-0.495,-2.416,8.143,-31.071,-91.257,1761350400000
mantra,0.171151,3.2737219,9575893,0.08,521464767,1859354931,0,32,50,82,4347405,0.4539947344858594,0.4539947344858594,19496,206029,mantra-dao,0.118224,128718110,427,201933138,39067394,0.124536,0.110975,0.00700538,6.299,7140752,5.873,1089594780,1709357706,0,8.99,1740275541073,0.01726188,1697131509068,0.254,6.299,-3.948,-27.22,-30.888,-91.404,1761264000000
mantra,0.171181,3.2787032,9549505,0.08,521261557,1858944528,0,32,50,82,4343552,0.45484577472863774,0.45484577472863774,21907,205804,mantra-dao,0.111139,121577358,435,190237217,29309026,0.118005,0.10879,-0.00577554,-4.94,-6061196,-4.749,1092156318,1708943025,0,8.99,1740275541073,0.01726188,1697131509068,1.608,-4.94,-16.439,-34.008,-36.007,-92.309,1761177600000
mantra,0.171165,3.2821391,9523209,0.08,521193312,1858535719,0,32,50,82,4339527,0.4556790678436229,0.4556790678436229,22650,205667,mantra-dao,0.116906,127638553,426,199745990,30801476,0.125103,0.116817,-0.00628344,-5.101,-6630680,-4.938,1091758133,1708530093,0,8.99,1740275541073,0.01726188,1697131509068,-1.514,-5.101,-13.772,-29.728,-44.066,-92.084,1761091200000
mantra,0.171188,3.2820525999999997,9496891,0.08,521006883,1858126577,0,32,50,82,4335681,0.45653688138570825,0.45653688138570825,24386,205619,mantra-dao,0.123031,134580015,421,210589101,43188792,0.130747,0.119142,0.00025887,0.211,485313,0.362,1091600526,1708122660,0,8.99,1740275541073,0.01726188,1697131509068,-1.317,0.211,-23.223,-31.236,-42.27,-91.803,1761004800000
