id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
27,Increase Active set for Decentralization of Network,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1762761573000,1762761573000,1763366373000,undefined,10030161,mantra10d2dqkgmr2lgdkcg3dmdah4dytn928tth20vqr,251300125.260346,152.202284,0,12318968.648412
26,Redenominating OM to MANTRA,Text,PASSED,1761835941000,1761835941000,1762440741000,undefined,9749658,mantra10d2dqkgmr2lgdkcg3dmdah4dytn928tth20vqr,218040085.023585,66209.011063,835.684353,22871688.497205
25,v610 MAINNET MANTRA Chain Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1761665672000,1761665672000,1762270472000,undefined,9698350,mantra10d2dqkgmr2lgdkcg3dmdah4dytn928tth20vqr,236740832.265706,10159.036798,0,12.815111
24,v600 MAINNET MANTRA Chain Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1761202723000,1761202723000,1761375523000,undefined,9557204,mantra10d2dqkgmr2lgdkcg3dmdah4dytn928tth20vqr,226240051.954845,0,0,10.345
23,Governance Voting Period Change 7 days Expedited 24h,/cosmos.gov.v1.MsgUpdateParams,PASSED,1761033709000,1761033709000,1761206509000,undefined,9505717,mantra10d2dqkgmr2lgdkcg3dmdah4dytn928tth20vqr,213758063.603835,0.5,0,61.672074
22,Increase Active set for Decentralization of Network Polar Compass,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1760341203000,1760341418000,1760514218000,undefined,9295252,mantra10d2dqkgmr2lgdkcg3dmdah4dytn928tth20vqr,209150508.99773,0,0,4268695.149921
21,Security Parameter Updates and Hardening PostEVM Integration,/cosmos.evm.erc20.v1.MsgUpdateParams,PASSED,1759252039000,1759252039000,1759424839000,undefined,8965596,mantra10d2dqkgmr2lgdkcg3dmdah4dytn928tth20vqr,313374737.765498,6.075657,16,162.570111
20,v5 Mainnet MANTRA Chain Abunnati Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1757911968000,1757911968000,1758084768000,undefined,8561528,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,204194670.563352,64.009431,0,95103541.584771
19,Increase Active set for Decentralization of Network Inveniam,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1757472972000,1757474207000,1757647007000,undefined,8428424,mantra1s53ugc5xnsj5yjnz2qqrrlrekgtrxg8unke9ff,187805352.357853,65.087381,0.01,1955.109029
18,Return Inflation to the target rate of 8,/cosmos.mint.v1beta1.MsgUpdateParams,PASSED,1756094857000,1756094857000,1756267657000,undefined,8009933,mantra1823td4rldnu2fx66kfk4y363jwcugmg4d6pd78,194171411.320952,184.6,0,87068477.68342
17,OM Homecoming Establishing MANTRA Chain as OMs Native Foundation,Text,PASSED,1755690628000,1755690628000,1755863428000,undefined,7886816,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,196054588.545892,45.4683,4241.000273,86199530.858381
16,Increase Active set for Decentralization of Network,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1755603491000,1755603491000,1755776291000,undefined,7860460,mantra1823td4rldnu2fx66kfk4y363jwcugmg4d6pd78,222868834.44698,0.000002,1.238889,4.3
15,Chain Security Improvements,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1754535015000,1754535015000,1754707815000,undefined,7537878,mantra1823td4rldnu2fx66kfk4y363jwcugmg4d6pd78,191837879.533847,4303984.511296,0,4072607.422185
13,OMies Seeking 1000000 OM Grant for Community and Future App Development,Text,PASSED,1744395661000,1744438503000,1744611303000,undefined,4534279,mantra1hm8scf0gd9artqs9ak05r2x3jhqpecege2afh4,27461461.031864,4338.239418,262.269374,221373621.13405
12,v4 Mainnet Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1743691321000,1743691321000,1743864121000,undefined,4331472,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,272230994.639353,36.502592,0,208535348.63716
11,18 March Governance Proposal,Text,PASSED,1742311928000,1742311928000,1742484728000,undefined,3935318,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,226360249.268594,66484.9001,4797.601738,232237450.826381
10,v3 Mainnet Upgrade and Addition of Community Validator,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1741769418000,1741769418000,1741942218000,undefined,3779648,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,269416913.595989,17.750704,0.1,211217272.498751
9,Reduce Denom Creation Fee,/osmosis.tokenfactory.v1beta1.MsgUpdateParams,PASSED,1739530875000,1739530875000,1739703675000,undefined,3137380,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,260615004.624694,127.382953,0.01,217133962.422723
8,v2 Mainnet Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1739228880000,1739228880000,1739401680000,undefined,3050851,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,255506279.71001,1.1,0,213595793.756194
7,MANTRA Chain  Increase validator active set and revise slashing parameters,/cosmos.slashing.v1beta1.MsgUpdateParams,PASSED,1739180337000,1739180337000,1739353137000,undefined,3036937,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,317338395.515488,7.021414,1.015542,213610454.786274
6,Chain Security Improvements,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1736247176000,1736247356000,1736420156000,undefined,2201526,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,204020749.996828,2.5615,6.753883,216805591.979428
5,Decrease Inflation to the revised target rate of 3,/cosmos.mint.v1beta1.MsgUpdateParams,PASSED,1735523529000,1735523591000,1735696391000,undefined,0,null,196235445.826703,76.067509,11.215764,2723.9
4,MANTRA Chain  Layer 1 Tokenomics Update,Text,PASSED,1735105811000,1735105926000,1735278726000,undefined,1873066,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,207881303.035203,7426.446336,3443.679453,214848319.757607
3,Reduce Denom Creation Fee,/osmosis.tokenfactory.v1beta1.MsgUpdateParams,PASSED,1731572527000,1731572695000,1731745495000,undefined,858294,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,396889795.45383,0,9.596472,0
2,Increase Inflation to the goal rate of 8,/cosmos.mint.v1beta1.MsgUpdateParams,PASSED,1729951639000,1729951853000,1730124653000,undefined,396230,mantra1hze5xhd5d5mwysddrutmdt7f89lztrx2xm3nk8,469320250.244313,12,0,4003295.898159
1,Increase Max Validator Count to 13,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1729944569000,1729952484000,1730125284000,undefined,394213,mantra1e66xj3w860q4xh3rhv06k8lwsxd7tw7w9kv7jf,473323557.642472,0,0,0
