address,moniker,commission,rank,token,votingPower,timestamp
mantravaloper186ec68jh7lfu7g8nnm8u6fjlez8xpsl84c737q,Association 2,0,1,59888542,0.114653,1765152000000
mantravaloper1smft6lgy8tenvlze6qet6ye4dds04t6x44raus,Twinstake,0.15,2,57620199,0.11031,1765152000000
mantravaloper1l4y7m2hgtjzwxl8758q38x0s8e8kflsx55rvt3,Association 3,0,3,52553304,0.10061,1765152000000
mantravaloper1y8hxa8q0qk6h2fxtugkx67re38k03888eeqmpd,Association 1,0,4,48566638,0.092978,1765152000000
mantravaloper18z8jw8wpqq3pe8t87cuf7ed98eg8s64pn6udx3,Association 5,0,5,36528968,0.069932,1765152000000
mantravaloper1qyw2ez08mjh4xgnkew5k6l9hxgyfnwz3zmgrzf,Anchorage Digital,0.1,6,31736319,0.060757,1765152000000
mantravaloper1r3s4pefpz69fk4rq8sn0zt2wxnv09uffz06nxu,stakeFi by BCW,0.1,7,31331425,0.059982,1765152000000
mantravaloper1trp32452mtjffyqem66ugt230af0c2nzryppeg,Anchorage Digital2,1,8,26016548,0.049807,1765152000000
mantravaloper1zq5k0rcah0g4pmfqez0f6u92h39fwp4r0s0mg8,Hex Trust,0.1,9,22783648,0.043618,1765152000000
mantravaloper1e90q5udl2wfrrz7hwemsjghnn2fhw93s9djmaj,BinanceNode,0.05,10,22247753,0.042592,1765152000000
mantravaloper10d0tzqdflh3elzrm7f0dp5rygl95zmq7u3xgll,UOBVM Signum Blockchain Fund,1,11,19615119,0.037552,1765152000000
mantravaloper1qum83utf8833n4f857w98dxc5w8qlnq9eeew4g,Association 4,0,12,12272431,0.023495,1765152000000
mantravaloper1rpye98maf8ank802zrkhrfvqjxvwznhcrudnw7,Cosmostation,0.01,13,11686119,0.022372,1765152000000
mantravaloper1t0rv5pxgxg2tfcey58twm3tqf9p8ukn0pfkpxh,Inveniam,0.025,14,10381881,0.019875,1765152000000
mantravaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvfuc5v0,Nansen  Stake to Stack Points,0.1,15,8854863,0.016952,1765152000000
mantravaloper1c7734tzhxq5e96h9shtrdnfy52gjry0gxzcexu,Polar Compass,1,16,5000008,0.009572,1765152000000
mantravaloper1uatrryrwgv7ak7wxj3txjx982dqu9hskla0wpq,Keplr,0.05,17,4510329,0.008635,1765152000000
mantravaloper17zkvny9cdz7j3n0yd5gx6w2xtvl86kng7pga4g,Google Cloud,0.101,18,4363876,0.008354,1765152000000
mantravaloper1maxq9hma5h89ham2uvtfmv9uqujfratjyfchph, CryptoCrew Validators,0.05,19,4253429,0.008143,1765152000000
mantravaloper1kzx8qstk285r4u9elflp4ufy6t8gw5v88g73g9,Artifact,0.07,20,4170640,0.007984,1765152000000
mantravaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q090nhn,Stakecito,0.05,21,4169627,0.007982,1765152000000
mantravaloper1wxccrqujqnrs5ugu0gf3mk85qwn7nany6yd7ff,polkachucom,0.05,22,4165992,0.007976,1765152000000
mantravaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zrfcwf7, LavenderFive Nodes ,0.05,23,4138952,0.007924,1765152000000
mantravaloper1caw6djrt9gz2m4qpgulypdfm8yrrx59fu0dkkk,Vitwit,0.05,24,4064259,0.007781,1765152000000
mantravaloper13cyn4zgugjz7pta8s7wkrxqp4cdrp7ygeem3fq,Ledger by Kiln,0.1,25,4062509,0.007777,1765152000000
mantravaloper1symf474wnypes2d3mecllqk6l26rwz8mrkljlu,BlockHunters ,0.05,26,4030348,0.007716,1765152000000
mantravaloper1wkd7tn2mvjp9np0e3ml0rzcmrmd2p240nlj2dt,NTT Digital,0.1,27,4019484,0.007695,1765152000000
mantravaloper1kz80ms63xdy5n9vr3yvdwqv3zfe6g7s8sueq0z,Vault Staking,0.1,28,4017144,0.007691,1765152000000
mantravaloper1n6axg0qs4eklucqr4m6maufuc6eykp0q2mfvdd,Cointelegraph Decentralization Guardians,0.1,29,4001009,0.00766,1765152000000
mantravaloper1u3qefp2u5yqrvkxrr4zxxwqpv9fwa79jp3jxs7,Republic,0.1,30,4000268,0.007658,1765152000000
mantravaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjqx2jrux,Kiln,0.1,31,4000089,0.007658,1765152000000
mantravaloper13kufu78q6uxhme699h6wj9y3qa59tuafnm3hsy,Paysafe by BCW,0.2,32,3996760,0.007652,1765152000000
mantravaloper1hm8scf0gd9artqs9ak05r2x3jhqpecega3u8ms,OMies Validator,0,33,3283029,0.006285,1765152000000
mantravaloper18se5kq0z86pqfym8uuuqp77kyd788npj3wx7fc,Association 6,0,34,122978,0.000235,1765152000000
mantravaloper1lcjq394glhcxzlsvydqjqedxsfqqt7zzndd7j6,OnChain Foundation,0.05,34,11585,0.000022,1765152000000
mantravaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7ram37xw,Kiln legacy  please redelegate,0.1,34,1449,0.000003,1765152000000
mantravaloper1uhwy40w2jg22m2yup4qepqa420x2tfz0j0c6ef,Snow Fall,0.05,34,1017,0.000002,1765152000000
mantravaloper1wdka7gf08zyfy2yharelawcnpuk2g77rd33547,QuantNode,0.05,34,889,0.000002,1765152000000
mantravaloper136j8we07j8mj8cjfuuslulemf88duc53rtlngn,Association 7,0,34,325,0.000001,1765152000000
mantravaloper1gtkqh53325exs8h3gc38hqc049nxvqh22wyw4t,Smart Stake ,0.05,34,274,0.000001,1765152000000
mantravaloper1dkkuu09v78tfrgeym4qngpk0l6h5dz8d72uxx4,STANV,0.05,34,129,0,1765152000000
mantravaloper1v6q0w0p3grgftlfwhjruluvafdezeuncfl3dl2,BlockSync,0.1,34,114,0,1765152000000
mantravaloper1ap6ghwxa8e0qmxlt90fuguvq905a9w37evl47e,SOMAfinance,1,34,100,0,1765152000000
mantravaloper1jyx4czsy8unap4hsg74za2ymqawxkjzew0kq9k, AutoStake  Slash Protected,0,34,70,0,1765152000000
mantravaloper1c5pym2jgj7p48drvfmkfswnwvr2t8rsvffej53,StakeRelax ,0.05,34,47,0,1765152000000
mantravaloper14zasx08ppxh6ne8qguyenmwdsnh45muzyc9p57,BronBro,0.05,34,43,0,1765152000000
mantravaloper170k7f0sph3nmpdhs4kxkzz89mzn49e5a9n6pjj,ITRocket,0.1,34,42,0,1765152000000
mantravaloper102nulk7g4ttg9ynmkhjdndtrrlwd7hjuaf0j2d,CoinHunters,0.05,34,33,0,1765152000000
mantravaloper1qdqvzsx084sc80gk3tvz4vpq6qkx5jgqt0r9k5,StakeUp,0.05,34,25,0,1765152000000
mantravaloper18wlvm96z3nmhtewh92yw73jn99lm7leewg89tc,Speedy Staking,0.05,34,14,0,1765152000000
mantravaloper10ft2ma88j0md35tjyhah7wuwj3sw08dft0qmvv,stakingexplorercom,0.01,34,11,0,1765152000000
mantravaloper1yn9spgnmrtwads0w56xvdv7s75m30l36t3fln2,metil,0.1,34,10,0,1765152000000
mantravaloper1gk46aymted34dwwxlkkqn2sszhu7uvfsa8s2ca,Moniker,0.05,34,10,0,1765152000000
mantravaloper1mqn2adk5cz27aurfyd6mfh6qs39d8yessmlszw,Nodes Hub  100 Slash Protected ,0,34,10,0,1765152000000
mantravaloper1l7f6fcraazsmmyr5z8ddef57x852zx5ey67nmt,Robo Staking,0.05,34,9,0,1765152000000
mantravaloper1x70l4dcj30nr4x52ph3jmkpgz79qgktxxnx8jk,NodeStake,0,34,9,0,1765152000000
mantravaloper1mmxr0x63lfyspkwkml409vua9ycr3trlnvsc3j,AKNodes,0.05,34,8,0,1765152000000
mantravaloper1asxymdv7mv2ynm9hqcwjgl4cy8z4rm968tuhjn,Google Cloud 2,1,34,7,0,1765152000000
mantravaloper1rkm9mqcx37xjelw2xaq2vr9334ns5560a6hxc3,r93AX Nodes,0,34,7,0,1765152000000
mantravaloper1ecy9gnmv0zgf8wv2vtx37kl60t9tplyvz086tp,Kynraze,0.1,34,7,0,1765152000000
mantravaloper1lrzxwu4dmy8030waevcpft7rpxjjz26ctxnrcp,node101,0.05,34,5,0,1765152000000
mantravaloper15x3xy7xd534dxgvkz3sx2lk7utzlpgkelxxt9c,Inveniam Gibraltar,0.1,34,5,0,1765152000000
mantravaloper1a8hzjf3jta02q2ma3neshmjdhwwun4lu56rjmq,BitcoinSuisse,1,34,4,0,1765152000000
mantravaloper1prpalmjzs605pj47k2e7vlv3udx55kerary9kz,Kral01Validator,0.1,34,3,0,1765152000000
mantravaloper1mdplt4yduhmh83qx7v52lz5afa2x2htzyy7syc,Validator247com,0.1,34,3,0,1765152000000
mantravaloper1rzp0u5d2dtpn8dmp0eqlxyakg6r4d9j89k9nzf,kgnodes,0.05,34,3,0,1765152000000
mantravaloper1l2ezzjq5mew0atp39n2hu6leak2503l3t0yk03,STAVR,0.1,34,2,0,1765152000000
mantravaloper1fgshjg8c6axrc2fpeynyysk2epnuskktvl3f55,KonsorTech,0.05,34,2,0,1765152000000
