source,target,messages,txs,channel,timestamp,volume,type
medibloc,osmosis,15,15,transfer/channel-1,1764892800000,159.097777,ack
medibloc,osmosis,0,0,transfer/channel-0,1764892800000,0,ack
medibloc,osmosis,7,7,transfer/channel-1,1764892800000,1599.687445,receive
medibloc,osmosis,0,0,transfer/channel-0,1764892800000,0,receive
medibloc,osmosis,12,12,transfer/channel-1,1764806400000,28.125522,ack
medibloc,osmosis,0,0,transfer/channel-0,1764806400000,0,ack
medibloc,osmosis,1,1,transfer/channel-1,1764806400000,0.085873,receive
medibloc,osmosis,0,0,transfer/channel-0,1764806400000,0,receive
medibloc,osmosis,19,19,transfer/channel-1,1764720000000,147.278959,ack
medibloc,osmosis,0,0,transfer/channel-0,1764720000000,0,ack
medibloc,osmosis,1,1,transfer/channel-1,1764720000000,0.05724,receive
medibloc,osmosis,0,0,transfer/channel-0,1764720000000,0,receive
medibloc,osmosis,18,18,transfer/channel-1,1764633600000,741.40905,ack
medibloc,osmosis,0,0,transfer/channel-0,1764633600000,0,ack
medibloc,osmosis,3,3,transfer/channel-1,1764633600000,79.267312,receive
medibloc,osmosis,0,0,transfer/channel-0,1764633600000,0,receive
medibloc,osmosis,16,16,transfer/channel-1,1764547200000,1141.414708,ack
medibloc,osmosis,0,0,transfer/channel-0,1764547200000,0,ack
medibloc,osmosis,15,15,transfer/channel-1,1764547200000,3129.430653,receive
medibloc,osmosis,0,0,transfer/channel-0,1764547200000,0,receive
medibloc,osmosis,18,18,transfer/channel-1,1764460800000,972.513025,ack
medibloc,osmosis,0,0,transfer/channel-0,1764460800000,0,ack
medibloc,osmosis,6,6,transfer/channel-1,1764460800000,1365.60777,receive
medibloc,osmosis,0,0,transfer/channel-0,1764460800000,0,receive
medibloc,osmosis,49,49,transfer/channel-1,1764374400000,12445.100146,ack
medibloc,osmosis,0,0,transfer/channel-0,1764374400000,0,ack
medibloc,osmosis,46,43,transfer/channel-1,1764374400000,17115.007193,receive
medibloc,osmosis,0,0,transfer/channel-0,1764374400000,0,receive
medibloc,osmosis,16,16,transfer/channel-1,1764288000000,2955.518764,ack
medibloc,osmosis,0,0,transfer/channel-0,1764288000000,0,ack
medibloc,osmosis,3,3,transfer/channel-1,1764288000000,96.062229,receive
medibloc,osmosis,0,0,transfer/channel-0,1764288000000,0,receive
medibloc,osmosis,16,16,transfer/channel-1,1764201600000,150.728676,ack
medibloc,osmosis,0,0,transfer/channel-0,1764201600000,0,ack
medibloc,osmosis,1,1,transfer/channel-1,1764201600000,806.766,receive
medibloc,osmosis,0,0,transfer/channel-0,1764201600000,0,receive
medibloc,osmosis,20,20,transfer/channel-1,1764115200000,558.422174,ack
medibloc,osmosis,0,0,transfer/channel-0,1764115200000,0,ack
medibloc,osmosis,2,2,transfer/channel-1,1764115200000,738.790404,receive
medibloc,osmosis,0,0,transfer/channel-0,1764115200000,0,receive
medibloc,osmosis,12,12,transfer/channel-1,1764028800000,17.600153,ack
medibloc,osmosis,0,0,transfer/channel-0,1764028800000,0,ack
medibloc,osmosis,3,3,transfer/channel-1,1764028800000,607.327218,receive
medibloc,osmosis,0,0,transfer/channel-0,1764028800000,0,receive
medibloc,osmosis,16,16,transfer/channel-1,1763942400000,189.898977,ack
medibloc,osmosis,0,0,transfer/channel-0,1763942400000,0,ack
medibloc,osmosis,6,6,transfer/channel-1,1763942400000,321.528145,receive
medibloc,osmosis,0,0,transfer/channel-0,1763942400000,0,receive
medibloc,osmosis,15,15,transfer/channel-1,1763856000000,6.159092,ack
medibloc,osmosis,0,0,transfer/channel-0,1763856000000,0,ack
medibloc,osmosis,8,8,transfer/channel-1,1763856000000,2301.53308,receive
medibloc,osmosis,0,0,transfer/channel-0,1763856000000,0,receive
medibloc,osmosis,14,14,transfer/channel-1,1763769600000,45.248471,ack
medibloc,osmosis,0,0,transfer/channel-0,1763769600000,0,ack
medibloc,osmosis,12,12,transfer/channel-1,1763769600000,1850.406882,receive
medibloc,osmosis,0,0,transfer/channel-0,1763769600000,0,receive
