chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
medibloc,0.505938,5.961834,24369088,0.1,2257152903,11652862901,77953294,32,71,103,3918926,0.1608154560400455,0.1608154560400455,766,6802,medibloc,0.00272151,28970260,915,31121024,211060,0.00275931,0.00267692,0.00001276,0.471,139426,0.484,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,0.094,0.471,-8.251,-6.21,-21.263,-79.487,1765152000000
medibloc,0.50574,5.9488458,24354581,0.1,2257416749,11649647058,77888958,32,71,103,3918329,0.16088673420413185,0.16088673420413185,765,6802,medibloc,0.00270848,28830835,927,30971247,208066,0.00273142,0.00265629,0.00001684,0.626,188958,0.66,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.16,0.626,-6.98,-3.207,-15.597,-79.933,1765065600000
medibloc,0.505771,5.9241688,24340050,0.1,2256651870,11646426783,77824535,32,71,103,3917744,0.16095874905762314,0.16095874905762314,768,6802,medibloc,0.00269187,28641877,919,30768261,172426,0.00277065,0.00268007,-0.000045,-1.644,-518426,-1.778,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,0.385,-1.644,-9.364,-2.621,-16.532,-80.361,1764979200000
medibloc,0.505387,5.946368,24325485,0.1,2257742123,11643199646,77759973,32,71,103,3917129,0.16102984174827348,0.16102984174827348,768,6802,medibloc,0.00273461,29104902,928,31265662,207503,0.00281472,0.00272528,-0.00005844,-2.092,-703376,-2.36,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.025,-2.092,-6.892,-7.352,-14.406,-80.693,1764892800000
medibloc,0.502204,5.9355983,24310951,0.1,2271422310,11639980489,77695584,32,71,103,3916544,0.16110204820864474,0.16110204820864474,755,6796,medibloc,0.00280785,29808278,923,32021256,289872,0.00283833,0.00276645,0.00001407,0.503,62149,0.209,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.107,0.503,-1.908,-5.125,-16.35,-78.293,1764806400000
medibloc,0.501958,5.9414617,24296369,0.1,2271905618,11636751817,77631004,32,71,103,3915928,0.1611733835619635,0.1611733835619635,753,6796,medibloc,0.0027941,29852546,908,32068811,490518,0.00282278,0.00268605,0.00006731,2.468,734704,2.523,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.378,2.468,-4.686,-9.98,-23.247,-78.003,1764720000000
medibloc,0.50199,5.9358258,24281830,0.1,2271135400,11633533336,77566610,32,71,103,3915215,0.16124052429326785,0.16124052429326785,749,6793,medibloc,0.00272957,29117842,903,31279562,2609223,0.00317111,0.00269539,-0.00023059,-7.79,-2401919,-7.62,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.314,-7.79,-7.014,-11.793,-25.956,-79.105,1764633600000
medibloc,0.502082,5.9047523,24267266,0.1,2270089456,11630310214,77502123,32,71,103,3914514,0.16130840614678224,0.16130840614678224,734,6790,medibloc,0.00296764,31519760,884,33859800,1320038,0.00320755,0.00293673,0.00003091,1.053,389718,1.252,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-1.015,1.053,1.121,-6.893,-20.278,-77.26,1764547200000
medibloc,0.502054,5.9262757,24252649,0.1,2269583175,11627076039,77437424,31,71,102,3913821,0.16137705204903596,0.16137705204903596,736,6790,medibloc,0.00293659,31130042,890,33441149,5506959,0.00416165,0.00272084,-0.00008366,-2.77,-600583,-1.893,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,0.855,-2.77,4.945,-10.697,-20.747,-77.095,1764460800000
medibloc,0.502114,5.9275087,24238078,0.1,2268685342,11623853379,77372957,31,71,102,3912881,0.16143528377126273,0.16143528377126273,741,6790,medibloc,0.00301462,32047421,895,34426634,292943,0.00300513,0.00270157,0.00006685,2.268,662996,2.112,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,1.456,2.268,7.156,-7.918,-23.259,-75.941,1764374400000
medibloc,0.499894,5.9245515,24223475,0.1,2278124789,11620624316,77308349,31,71,102,3912346,0.16151051820599646,0.16151051820599646,745,6788,medibloc,0.00295316,31384425,909,33714417,241576,0.00294855,0.00272559,0.00006718,2.328,656569,2.137,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,0.461,2.328,0.052,-13.551,-24.863,-77.491,1764288000000
medibloc,0.499906,5.9201612,24208889,0.1,2277436588,11617399908,77243861,32,70,102,3911803,0.1615853994786791,0.1615853994786791,742,6788,medibloc,0.00288687,30727856,919,33009104,167908,0.00295315,0.00281778,-0.00001788,-0.616,-168592,-0.546,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,1.036,-0.616,-3.195,-19.587,-27.284,-76.098,1764201600000
medibloc,0.499953,5.8876494,24194279,0.1,2276592706,11614171091,77179265,32,70,102,3911235,0.16165949809870342,0.16165949809870342,746,6787,medibloc,0.00290532,30896448,904,33190212,154814,0.00298484,0.00286122,-0.00007124,-2.393,-784931,-2.478,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.302,-2.393,-5.388,-16.43,-25.955,-75.281,1764115200000
medibloc,0.498906,5.9300353999999995,24179632,0.1,2280732563,11610934997,77114533,32,70,102,3910673,0.16173418189325628,0.16173418189325628,746,6787,medibloc,0.00297642,31681378,887,34033416,188382,0.00298642,0.0028157,0.00005546,1.899,719220,2.323,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,1.601,1.899,-3.979,-14.298,-23.366,-71.905,1764028800000
medibloc,0.499437,5.9318789,24165064,0.1,2277676192,11607717253,77050164,32,70,102,3910104,0.16180813756586782,0.16180813756586782,745,6782,medibloc,0.00292264,30962158,881,33260801,410875,0.00302492,0.0027983,0.00012435,4.444,1172847,3.937,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.412,4.444,-8.304,-17.938,-25.368,-71.736,1763942400000
medibloc,0.499597,5.9216469,24150476,0.1,2276317077,11604495984,76985711,32,70,102,3909549,0.16188289622117594,0.16188289622117594,737,6775,medibloc,0.00279868,29789311,913,32000881,297174,0.00286071,0.00271153,0.00001774,0.638,188830,0.638,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,0.016,0.638,-14.891,-18.661,-29.082,-71.584,1763856000000
medibloc,0.500226,5.9221256,24135892,0.1,2272822773,11601276492,76921320,32,70,102,3908895,0.16195361663036942,0.16195361663036942,738,6775,medibloc,0.00277946,29596685,915,31793955,362901,0.00292699,0.00266019,-0.00010615,-3.678,-1118513,-3.642,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.17,-3.678,-15.088,-19.291,-29.199,-71.441,1763769600000
medibloc,0.495548,5.8986538,24121299,0.1,2293641051,11598055687,76856884,32,70,102,3908281,0.1620261412952926,0.1620261412952926,743,6775,medibloc,0.00288574,30715198,910,32995507,148825,0.00306548,0.00288457,-0.00011352,-3.785,-1229769,-3.85,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-1.355,-3.785,-15.525,-10.073,-28.535,-70.243,1763683200000
medibloc,0.49563,5.9257542999999995,24106659,0.1,2292621747,11594825849,76792281,32,70,102,3907716,0.16210110243812717,0.16210110243812717,738,6775,medibloc,0.0029955,31879114,903,34245832,156219,0.00311829,0.00293291,-0.00010897,-3.51,-1145568,-3.469,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,1.216,-3.51,-16.561,-7.117,-26.95,-70.335,1763596800000
medibloc,0.495401,5.924791399999999,24092073,0.1,2293045606,11591608599,76727910,32,70,102,3907114,0.16217425540757743,0.16217425540757743,740,6773,medibloc,0.00310363,33024681,890,35476447,277348,0.00311596,0.00297734,0.00001908,0.619,192205,0.585,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.005,0.619,-10.726,-2.855,-24.615,-68.791,1763510400000
medibloc,0.494995,5.9141381,24077473,0.1,2294291262,11588389155,76663498,32,70,102,3906550,0.16224916958685823,0.16224916958685823,746,6773,medibloc,0.0030834,32832477,888,35269973,192916,0.00321853,0.00306886,-0.00011325,-3.543,-1184972,-3.483,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,-0.359,-3.543,-11.218,-8.141,-23.106,-67.436,1763424000000
medibloc,0.494818,5.9301303999999995,24062864,0.1,2294472209,11585168621,76599083,32,70,102,3906013,0.16232535744706034,0.16232535744706034,752,6773,medibloc,0.0031967,34017448,881,36542917,232608,0.00330814,0.00313256,-0.00006609,-2.025,-884967,-2.536,10644041819,11434259731,0,0.351852,1617337748791,0.00161437,1584066018722,0.231,-2.025,-8.917,-12.188,-19.802,-67.279,1763337600000
