id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
17,Panacea v220 Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1710480602000,1710480602000,1710739802000,undefined,15191133,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,1448815723.946636,0,0,0
16,Panacea v220 Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1710480326000,1710480326000,1710739526000,undefined,15191086,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,10270205.148051,506995391.353823,510,4524960.259866
15,Proposal for the Comprehensive Communication of Changes Regarding Circulation Quantity and Disclosure Protocol,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1705056019000,1705056019000,1705315219000,undefined,14267389,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,1639327430.896008,6222307.620107,0,0
14,Proposal to amend inaccurate total supply details,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1702367735000,1702367735000,1702626935000,undefined,13808550,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,1657664574.897401,5000000,0,0
13,Unfreeze IBC client to Osmosis,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1681196625000,1681196762000,1681455962000,undefined,10196883,panacea1fqa32wvgqv8w72yrxc9euyrct4v0ugt752t5h3,1962349709.583558,0,0,0
12,Panacea v207 Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1680592532000,1680592728000,1680851928000,undefined,10093235,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,2158655422.028164,561785.893739,0,0
11,Panacea v207 Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1680592265000,1680592265000,1680851465000,undefined,10093189,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,18362108.34165,1337553800.523974,0,0
10,Panacea v206 Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1677734640000,1677734640000,1677993840000,undefined,9602981,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,1733081603.794455,0,0,0
9,Panacea v205 Upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1666231874000,1666231874000,1666491074000,undefined,7637993,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,1776364978.428673,0,0,0
8,Upgrade the chain to v203 for introducing a mincommissionrate parameter and setting it to 3,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1651036446000,1651036617000,1651295817000,undefined,5027062,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,1110537294.543642,0,0,0
7,Signaling Proposal Upgrade the chain for introducing a mincommissionrate parameter and setting it to 3,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1649730380000,1649737035000,1649996235000,undefined,4804293,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,931686829.73031,54775384.894247,6490503.655579,0
6,Increase minimum commission rate to 5,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1638760335000,1638760478000,1639970078000,undefined,2938272,panacea1ysjdnel84m6mqgrhmwn66xl2p2l5kqevykv33s,185443080.690062,354636882.0407,198692756.938409,615116
5,Shorten the OnChain voting Period,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1637734615000,1637734615000,1638944215000,undefined,2761742,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,695542331.394084,7697141.861277,602542.191262,1380991.282894
4,Enable the establishment of IBC clients and connections,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1634518997000,1634518997000,1635728597000,undefined,2205327,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,621375633.557475,13000,0,986591.353565
3,Activate the community pool and Lower the minimum proposal deposit,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1633496657000,1633496657000,1634706257000,undefined,2027882,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,540710500.869196,27660451.203927,3629103.802032,72474.390736
2,Upgrade Panacea to v202 for enabling IBC,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1631848728000,1631848728000,1633058328000,undefined,1739775,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,628125014.708939,21488.244905,0,953312.936584
1,Adjust timeoutcommit to 5s and blocksperyear to 5256000,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1630637632000,1630637632000,1631847232000,undefined,1103651,panacea1ewugvs354xput6xydl5cd5tvkzcuymkejekwk3,546907216.960985,1196,354180.463069,500000
