address,moniker,commission,rank,token,votingPower,timestamp
panaceavaloper16e4zkqtp7k5h43qrcxwk0spmamq3k286t4dz7t,NG Validator,0.03,1,573879416,0.254237,1765152000000
panaceavaloper1y2556eud32xkpl6pnkq23r2wqd5flz26tpy8y3,Imperatorco,0.03,2,293482276,0.130017,1765152000000
panaceavaloper18ucrwuvzgzmh9dlurmeq5c4hljdgnkp2fwmkcm,Active Nodes,0.03,3,269633131,0.119451,1765152000000
panaceavaloper1tppl0m9tqpy04vdmhxk7gya90zfftj94vkyn2t,Beehive,0.03,4,235956257,0.104532,1765152000000
panaceavaloper1ewugvs354xput6xydl5cd5tvkzcuymke4mkw20,MediBlocLimited,0.1,5,206086149,0.091299,1765152000000
panaceavaloper1rr89tj2jjlmf6xvc4a9plp4fll225ugqtk73r9,Cosmostation,0.1,6,154351536,0.06838,1765152000000
panaceavaloper1g8qft75yjgpvsq4va84gepxrq99xzqzn3zdul0,Own Beauty,0.03,7,107261151,0.047518,1765152000000
panaceavaloper1gjffydz4l7nsxalxlr460l04de9v99nkvztxgk,Exostake,0.1,8,104395904,0.046249,1765152000000
panaceavaloper12xzqggqy3y5avjkc30q2m7eay8vrzl795dp29d,Pixel Finance,0.03,9,82822687,0.036692,1765152000000
panaceavaloper13wsmw5axtzu3mkhlalkxy9elvq6sxy984v6cf6,Drpalette,0.1,10,52461405,0.023241,1765152000000
panaceavaloper1vp82lyvjln7lp785dmtrhla9ln05p497harmdj,Informal Systems,0.0811,11,50376306,0.022317,1765152000000
panaceavaloper1uxnl2e2d7cwuwh5fwysmhscmwvakhefd3myx43,Medipass,0.1,12,28168007,0.012479,1765152000000
panaceavaloper1x3q6mzpfx2gc3czppkh9hfeduqrtnfj5yuzzer,Mblock,1,13,15587323,0.006905,1765152000000
panaceavaloper1wuxlx59eupsvxtjy36eua0z8p70g5exjdxt8dj,DELIGHT,0.1,14,14002581,0.006203,1765152000000
panaceavaloper1h2k9m0s5qwpnxrwumscn0hs3jmvhxhy2ud5ywv,Staketab,0.07,15,10950463,0.004851,1765152000000
panaceavaloper1w3ze2ulad0jq7zcps7kdwsadhlh9mc27nqt8du,brightlystake,0.13,16,10283660,0.004556,1765152000000
panaceavaloper1qzdljq35sda42cwmh4e83r8vn6mgae9v68mqma,Noderunners,0.07,17,10018482,0.004438,1765152000000
panaceavaloper1x8g0ayf054925syclla63vaq9mmxqwsqlxg7wd,DW Validator,1,18,10000150,0.00443,1765152000000
panaceavaloper1zznqpzqcj8sdfs47s4dqv2g3xwfv3hftuynjfq,Bi23 Labs,0.1,19,7874570,0.003489,1765152000000
panaceavaloper1jnrllwcx5vmlh6m0mycgsawzwxe8zxzszm00al,Satya,0.03,20,5170066,0.00229,1765152000000
panaceavaloper1tk63f4uuvne57eay6dlndt6v8skpuvncjpgpau,Oldcat,0.03,21,3816372,0.001691,1765152000000
panaceavaloper1dw3ev60v44q68qrrsz8lmwrx68f70hyrr5w5l6,Stakewollecom  Autocompound,0.05,22,3435527,0.001522,1765152000000
panaceavaloper13npeg0lqkrntrnaulm6al6clkpm45hnqpt359v,BlueStake   100 insurance,0.03,23,3010348,0.001334,1765152000000
panaceavaloper168nzml66rvh8ay93j63jptn6l9yqnk7k8r5fgd,HighStakesch  Stake for Airdrop,0.05,24,1642882,0.000728,1765152000000
panaceavaloper1gq3v7dwapal2uxzfkjusm2rk00sqkrz3r4a5w6,BaseBlock,0.03,25,1353820,0.0006,1765152000000
panaceavaloper1tfu4t4c0pywlh8d2g2u3d5xnsxdec8x5hacum5,StakeLab,0.03,26,583573,0.000259,1765152000000
panaceavaloper1hlpw58lg9fvwvwa3ryzgjqyw39tf2nmns4r0z5,MatanVerse Official,0.1,27,442985,0.000196,1765152000000
panaceavaloper1567xwcxjjfdje4q8r4d76ek52xmsspr4t4fc89,ChainTools,0.05,28,353535,0.000157,1765152000000
panaceavaloper190njxj69lmwdwjhhp0fw5kqsxsu6g876hzgp6z,Please redelegate,0.05,29,338890,0.00015,1765152000000
panaceavaloper182lrr79h0rymp8va4jk84j26zg2ldq2h93ndup,Consensus One,0.05,30,248525,0.00011,1765152000000
panaceavaloper1hktggfq80lvumutnxsdr7g5jqq457uezw2d0nk,HASHED,0.1,31,226284,0.0001,1765152000000
panaceavaloper1z95sfnpmn08fc4tzy945nw8f49kctmnfmc2rrl,soon to be retired MediBlocLimited10,0.1,32,171694,0.000076,1765152000000
panaceavaloper19fe05smgdsvltsc6dq356w0n8kg733sl3p9uap,Oneiric Stake,0.05,33,90864,0.00004,1765152000000
panaceavaloper1vtal3g4865ts3v747hq7qsvka2l7wpgan67n2j,La Vie en Rose Validator,0.05,33,82141,0.000036,1765152000000
panaceavaloper1478a85ucgvuvdj3cgrp5yr9uae8wyhjw630hmw,Snow Fall,0.05,33,71977,0.000032,1765152000000
panaceavaloper1qsnlenyr9fwxst9k5pdvdn4jgh9wqvl9pjarax,soon to be retired MediBlocLimited7,0.1,33,36985,0.000016,1765152000000
panaceavaloper1symf474wnypes2d3mecllqk6l26rwz8mxtg7h7,BlockHunters ,0.04777,33,29296,0.000013,1765152000000
panaceavaloper1fkx5djj4s32d0dsnjtpevtjcxrx9uxlrz06kn4,SK Validator,0.03,33,23189,0.00001,1765152000000
panaceavaloper1h5tjpu4jmw6qehlme6he3zylct5uu7knp0ydcs,Arcturian Tech,0.1,33,20328,0.000009,1765152000000
panaceavaloper1z58ct5v4k7rwt959y0k3z7wgzlrv2n2ppkqndy,SHUTTING DOWN AUDITone,0.07,33,19860,0.000009,1765152000000
panaceavaloper1rrt26xk5m6zqkgsu8grkwwenq2d33nw4qxt6xp,retired,0.03,33,16736,0.000007,1765152000000
panaceavaloper1alhet0sk482nej2463zjv3uhn9ngt72yjznrx0,EthicalNode,0.1,33,14141,0.000006,1765152000000
panaceavaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zx50zpu,avenderFive Nodes ,0.05,33,11732,0.000005,1765152000000
panaceavaloper13haaxajjrq0mm75acl7qnyhptw3v94rwxpcf57,HD Validator,0.06,33,9997,0.000004,1765152000000
panaceavaloper1yr03eaz9ejndc4rt9244m6kcuva3ahfdkca377,Crypto Lion ,0.03,33,7814,0.000003,1765152000000
panaceavaloper1uhys9exeruta5nexhgcq3kc8auvc0gs0zl0vyc,Redelegate please,0.03,33,5579,0.000002,1765152000000
panaceavaloper1dq2ygt3ck7j9lf8ynq7562gx9nf5xtyzdkl6kc,SmartNodes,0.05,33,5350,0.000002,1765152000000
panaceavaloper16skc3tl84vgncnh2d26gj880apjty0yqy5l0jl,Kitkat,0.05,33,5144,0.000002,1765152000000
panaceavaloper1mkswpt0kxtpm9yx4m5zed2ppakv3tfzghgh4u3, WHEN MOON  WHEN LAMBO  RESTAKE ,0.05,33,4532,0.000002,1765152000000
panaceavaloper17n5ez95djpxkv7n8zvnj2sqa6ujhes8df22v9j,Enterprise Blockchain,1,33,3566,0.000002,1765152000000
panaceavaloper1q6ky9342vx2hhqed8kxjlexapg8qj0d6yw5mcj,soon to be retired MediBlocLimited2,0.1,33,2270,0.000001,1765152000000
panaceavaloper194jjkl96xj8tmnys7g5d5l2krv57hx68577hks,SkySkipper,0.1,33,1777,0.000001,1765152000000
panaceavaloper1q0wsgzm8zufakgtef82dcagxnmxpx2g2k58fu6,Earn Network,0.03,33,1593,0.000001,1765152000000
panaceavaloper1mx2uwae7uqtf6wxrnm9zgsq3zngkg5nwrev078,soon to be retired MediBlocLimited11,0.1,33,1527,0.000001,1765152000000
panaceavaloper1v6qajej3kpqzu3aks2sqzauhl2ck5dj2mec2t6,puremind,0.03,33,1346,0.000001,1765152000000
panaceavaloper1k95fdlers0whsxcll7xegkhjdkh3ahhw34v39e,RETIREDSOON,0.07,33,1300,0.000001,1765152000000
