source,target,messages,txs,channel,timestamp,volume,type
milkyway,celestia,0,0,transfer/channel-1,1764892800000,0,ack
milkyway,osmosis,43,43,transfer/channel-0,1764892800000,4159.671241,ack
milkyway,axelar,0,0,transfer/channel-2,1764892800000,0,ack
milkyway,axelar,0,0,transfer/channel-3,1764892800000,0,ack
milkyway,babylon,24,24,transfer/channel-4,1764892800000,0,ack
milkyway,interwoven-1,0,0,transfer/channel-5,1764892800000,0,ack
milkyway,celestia,0,0,transfer/channel-1,1764892800000,0,receive
milkyway,osmosis,43,43,transfer/channel-0,1764892800000,2276.679065,receive
milkyway,axelar,0,0,transfer/channel-2,1764892800000,0,receive
milkyway,axelar,0,0,transfer/channel-3,1764892800000,0,receive
milkyway,babylon,25,25,transfer/channel-4,1764892800000,287.257613,receive
milkyway,celestia,0,0,transfer/channel-1,1764806400000,0,ack
milkyway,osmosis,55,55,transfer/channel-0,1764806400000,2881.029748,ack
milkyway,axelar,0,0,transfer/channel-2,1764806400000,0,ack
milkyway,axelar,0,0,transfer/channel-3,1764806400000,0,ack
milkyway,babylon,24,24,transfer/channel-4,1764806400000,0,ack
milkyway,interwoven-1,0,0,transfer/channel-5,1764806400000,0,ack
milkyway,celestia,0,0,transfer/channel-1,1764806400000,0,receive
milkyway,osmosis,39,39,transfer/channel-0,1764806400000,848.581687,receive
milkyway,axelar,0,0,transfer/channel-2,1764806400000,0,receive
milkyway,axelar,0,0,transfer/channel-3,1764806400000,0,receive
milkyway,babylon,24,24,transfer/channel-4,1764806400000,279.742483,receive
milkyway,celestia,0,0,transfer/channel-1,1764720000000,0,ack
milkyway,osmosis,63,63,transfer/channel-0,1764720000000,3307.439055,ack
milkyway,axelar,0,0,transfer/channel-2,1764720000000,0,ack
milkyway,axelar,0,0,transfer/channel-3,1764720000000,0,ack
milkyway,babylon,24,24,transfer/channel-4,1764720000000,0,ack
milkyway,interwoven-1,0,0,transfer/channel-5,1764720000000,0,ack
milkyway,celestia,0,0,transfer/channel-1,1764720000000,0,receive
milkyway,osmosis,57,57,transfer/channel-0,1764720000000,1715.433783,receive
milkyway,axelar,0,0,transfer/channel-2,1764720000000,0,receive
milkyway,axelar,0,0,transfer/channel-3,1764720000000,0,receive
