timestamp,blockCount,txCount
1765065600000,15399,15918
1764979200000,15407,15712
1764892800000,15441,15901
1764806400000,15432,15923
1764720000000,15430,16253
1764633600000,15454,15892
1764547200000,15470,15940
1764460800000,15469,15903
1764374400000,15474,15788
1764288000000,15460,15823
1764201600000,15474,16012
1764115200000,15458,15830
1764028800000,15450,15814
1763942400000,15415,15902
1763856000000,15415,15751
1763769600000,15397,15790
1763683200000,15418,16118
1763596800000,15427,16086
1763510400000,15432,15930
1763424000000,15439,15954
1763337600000,15430,16268
1763251200000,15419,16128
1763164800000,15438,15851
1763078400000,15427,16124
1762992000000,15430,16117
1762905600000,15435,16232
1762819200000,15440,17380
1762732800000,15441,17373
1762646400000,15400,17295
1762560000000,15387,17344
1762473600000,15383,17575
1762387200000,15378,17397
1762300800000,15377,17437
1762214400000,15376,17822
1762128000000,15382,17660
1762041600000,15380,17464
1761955200000,15384,17365
1761868800000,15367,17797
1761782400000,15355,18006
1761696000000,15341,18136
1761609600000,15321,15830
1761523200000,15277,15728
1761436800000,15144,15646
1761350400000,15179,15616
1761264000000,15146,15689
1761177600000,15112,15650
1761091200000,15109,15603
1761004800000,15086,15742
1760918400000,15099,15707
1760832000000,15124,15753
1760745600000,15148,15621
1760659200000,15190,16033
1760572800000,15191,16066
1760486400000,15235,21763
1760400000000,15319,29419
1760313600000,15320,29407
1760227200000,15314,29002
1760140800000,15318,29604
1760054400000,15313,28612
1759968000000,15296,27770
1759881600000,15292,27090
1759795200000,15311,27564
1759708800000,15291,26595
1759622400000,15285,26318
1759536000000,15301,24976
1759449600000,15289,27108
1759363200000,15248,26630
1759276800000,15187,26471
1759190400000,15200,25968
1759104000000,15300,25263
1759017600000,15311,25186
1758931200000,15301,25716
1758844800000,15282,27283
1758758400000,15216,27928
1758672000000,15196,26537
1758585600000,15191,26904
1758499200000,15193,28017
1758412800000,15180,25084
1758326400000,15183,23828
1758240000000,15187,27298
1758153600000,15215,29646
1758067200000,15217,28804
1757980800000,15188,28914
1757894400000,15175,29508
1757808000000,15175,29826
1757721600000,15176,30104
1757635200000,15180,29140
1757548800000,15199,29300
1757462400000,15182,29396
1757376000000,15185,28624
1757289600000,15210,27162
1757203200000,15206,24892
1757116800000,15208,23430
1757030400000,15190,27044
1756944000000,15197,27268
1756857600000,15205,26532
1756771200000,15187,27003
1756684800000,15209,28472
1756598400000,15266,26843
1756512000000,15271,26242
1756425600000,15251,28732
1756339200000,15284,27653
1756252800000,15305,28922
1756166400000,15290,29117
1756080000000,15296,29645
1755993600000,15297,27806
1755907200000,15301,27590
1755820800000,15289,30190
1755734400000,15288,29344
1755648000000,15301,30073
1755561600000,15296,30628
1755475200000,15273,30456
1755388800000,15280,27578
1755302400000,15278,28148
1755216000000,15280,31416
1755129600000,15245,31501
1755043200000,15216,29072
1754956800000,15223,28580
1754870400000,15205,28903
1754784000000,15213,28838
1754697600000,15209,28101
1754611200000,15218,28805
1754524800000,15219,29535
1754438400000,15205,30783
1754352000000,15198,29912
1754265600000,15197,31318
1754179200000,15214,30609
1754092800000,15193,32126
1754006400000,15203,33383
1753920000000,15205,31631
1753833600000,15201,31979
1753747200000,15175,47947
1753660800000,15190,31727
1753574400000,15187,31522
1753488000000,15198,29354
1753401600000,15194,33529
1753315200000,15197,29849
1753228800000,15186,29611
1753142400000,15213,30084
1753056000000,15211,30207
1752969600000,15200,29581
1752883200000,15193,28767
1752796800000,15180,30504
1752710400000,15183,29980
1752624000000,15210,28905
1752537600000,15187,29295
1752451200000,15238,28131
1752364800000,15283,28024
1752278400000,15251,27493
1752192000000,15264,29228
1752105600000,15258,28099
1752019200000,15279,27491
1751932800000,15241,27081
1751846400000,15205,27824
1751760000000,15195,25873
1751673600000,15206,26011
1751587200000,15201,27253
1751500800000,15202,26897
1751414400000,15198,27443
1751328000000,15180,26604
1751241600000,15199,26617
1751155200000,15210,26174
1751068800000,15208,24089
1750982400000,15201,26876
1750896000000,15209,27945
1750809600000,15185,28277
1750723200000,15211,28479
1750636800000,15277,30225
1750550400000,15273,29304
1750464000000,15288,27557
1750377600000,15296,27661
1750291200000,15294,27733
1750204800000,15292,28590
1750118400000,15272,28416
1750032000000,15248,28361
1749945600000,15242,26638
1749859200000,15249,25979
1749772800000,15244,29263
1749686400000,15297,28291
1749600000000,15305,29091
