address,moniker,commission,rank,token,votingPower,timestamp
milkvaloper13aej9gfn3easvfkrgsr29srqua9kukqgq2uk8u,MilkyWay Labs,0.1,1,35426327,0.136976,1765152000000
milkvaloper1fv3nj7uggftvhm4ast0clzrvdvecl4awdyvrh6,Cosmostation,0.1,2,33846476,0.130868,1765152000000
milkvaloper1sfu2qs9zqytvx3sguhcp4c0g7txuzh6haepshy,Keplr,0.1,3,33401034,0.129145,1765152000000
milkvaloper1qypeejf79jtq0lu9wnkgztvwdwee9z2300yldv,NodesGuru,0.1,4,25841832,0.099918,1765152000000
milkvaloper19mydqk0en6406lzntgv6nvp7jhl4juka0tygk8, CryptoCrew Validators,0.1,5,25823665,0.099847,1765152000000
milkvaloper157x7wkwezgkqy7pqj7vx755cz23qg6d73gk606,BHarvest,0.1,6,25699017,0.099365,1765152000000
milkvaloper18tqnya2qgu0rgk3ypngs0fr28fd03tc3aq4jr8,DSRV,0.1,7,25694363,0.099347,1765152000000
milkvaloper16d34dwkuhmme9jw9979kqs2vv7a4fk74kejqqk,KudasaiJP,0.1,8,17644571,0.068223,1765152000000
milkvaloper1s3u7tt36susk332dzu66darutswuhucg03lr07,ContributionDAO,0.1,9,17632378,0.068176,1765152000000
milkvaloper1cvqg2wv2t2pf54zlylcr9j765xkv0e0vl9vn9w,Wagyu,0.1,10,17621791,0.068135,1765152000000
milkvaloper1khwnd5ggd09nprajqcg48jjg30s728gqe8s7ym,DO NOT STAKE,0.1,11,238084,0.000921,1765152000000
milkvaloper1m2gvucnsje5dmq5vg3jd06e4cuqqn5966glynw,Vadypto,0.1,11,100,0,1765152000000
milkvaloper1dj6gzfr7h3ek7ls3vwdtqxm7vl8v30wtn53h67,Dairy Labs,0.1,11,84,0,1765152000000
milkvaloper1a5gasdljgxsm38mv2ujts295jl8ffmsdsjzq76,Hanwoo,0.1,11,14,0,1765152000000
