chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
neutron,0.03,0.9838184,42328307,0,237651077,999706918,103804332,20,155,175,22157570,0.5234693180617879,0.5234693180617879,5932,414899,neutron-3,0.03060796,19234608,1136,30534040,1869696,0.03266945,0.03028541,-0.00169403,-5.244,-1107695,-5.445,629755207,999706922,1000000000,1.97,1708100697454,0.0273673,1760131854307,-0.333,-5.244,-16.215,-21.641,-31.192,-95.201,1765152000000
neutron,0.03,0.9768674999999999,42240034,0,237637117,999707146,103804332,20,155,175,22123437,0.5237551892122057,0.5237551892122057,5949,414899,neutron-3,0.03230189,20360728,1117,32321780,1224046,0.03262898,0.03126695,0.00057199,1.803,442728,2.223,629753857,999707149,1000000000,1.97,1708100697454,0.0273673,1760131854307,-0.473,1.803,-9.999,-6.128,-13.985,-95.079,1765065600000
neutron,0.03,0.9742518,42152178,0,237625687,999707401,103804332,20,155,175,22092093,0.5241032385088145,0.5241032385088145,5991,414899,neutron-3,0.03168747,19957508,1123,31681680,3199213,0.03332166,0.03084869,-0.0004336,-1.35,-268843,-1.329,629754112,999707403,1000000000,1.97,1708100697454,0.0273673,1760131854307,0.703,-1.35,-13.762,-6.101,-16.607,-94.929,1764979200000
neutron,0.03,0.9721493,42064487,0,237605717,999707674,103804332,20,155,175,22059699,0.5244257228193464,0.5244257228193464,5991,414899,neutron-3,0.03212062,20226351,1126,32108527,3982282,0.0343804,0.03181059,-0.00056111,-1.717,-395166,-1.916,629752893,999707676,1000000000,1.97,1708100697454,0.0273673,1760131854307,0.068,-1.717,-14.77,-5.549,-10.363,-95.011,1764892800000
neutron,0.03,0.9760031000000001,41975908,0,237591753,999707944,103804332,20,155,175,22026054,0.5247308527548707,0.5247308527548707,5981,414899,neutron-3,0.03268194,20621516,1122,32735831,4132870,0.03439251,0.03102007,0.00009002,0.276,95852,0.467,629753164,999707947,1000000000,1.97,1708100697454,0.0273673,1760131854307,-1.915,0.276,-15.794,-9.271,-12.271,-94.808,1764806400000
neutron,0.03,0.968915,41888136,0,237574359,999708582,103804332,20,155,175,21986828,0.5248939222313449,0.5248939222313449,5960,414851,neutron-3,0.03259915,20525664,1119,32586100,4396189,0.03409523,0.03023215,0.0012505,3.989,784889,3.976,629706589,999708586,1000000000,1.97,1708100697454,0.0273673,1760131854307,-0.604,3.989,-21.185,-10.185,-24.609,-94.066,1764720000000
neutron,0.03,0.9790778,41799322,0,237550860,999708852,103804328,20,155,175,21954655,0.5252395002962009,0.5252395002962009,5996,414851,neutron-3,0.0313457,19740775,1113,31340023,3362293,0.0358308,0.03073697,-0.004467,-12.473,-2835652,-12.56,629706861,999708854,1000000000,1.97,1708100697454,0.0273673,1760131854307,-0.526,-12.473,-26.453,-11.35,-29.741,-94.6,1764633600000
neutron,0.03,0.953175,41709983,0,249903888,999709302,103804328,20,155,175,21912586,0.5253559082006818,0.5253559082006818,6043,414851,neutron-3,0.0358062,22542415,1070,35788953,3960872,0.03749176,0.03377725,-0.00056654,-1.558,-357830,-1.563,629687667,999709308,1000000000,1.97,1708100697454,0.0273673,1760131854307,-0.599,-1.558,-8.333,3.202,-17.537,-94.072,1764547200000
neutron,0.03,0.9452129000000001,41618916,0,249880781,999709653,103804328,20,155,175,21882201,0.5257753709875577,0.5257753709875577,6053,414844,neutron-3,0.03637143,22900244,1068,36358721,5666821,0.04050668,0.03561077,-0.00046405,-1.26,-294008,-1.268,629658975,999709657,1000000000,1.97,1708100697454,0.0273673,1760131854307,1.144,-1.26,5.698,0.357,-14.917,-93.628,1764460800000
neutron,0.03,0.9536195,41528177,0,249861332,999709991,103804328,20,155,175,21848730,0.5261182064408944,0.5261182064408944,6014,414844,neutron-3,0.03683187,23193731,1059,36824683,2177945,0.03820636,0.03578455,-0.00056482,-1.51,-197500,-0.844,629659313,999709994,1000000000,1.97,1708100697454,0.0273673,1760131854307,1.182,-1.51,12.471,2.527,-23.998,-93.665,1764374400000
neutron,0.03,0.9507474,41439950,0,249841778,999710821,103804328,20,155,175,21814428,0.5264105772328393,0.5264105772328393,6035,414844,neutron-3,0.03743651,23391230,1073,37364860,1847726,0.03941068,0.03726237,-0.00139008,-3.58,-930349,-3.825,625841127,999710826,1000000000,1.97,1708100697454,0.0273673,1760131854307,0.007,-3.58,10.082,-0.101,-20.666,-93.302,1764288000000
neutron,0.03,0.9263554,41347910,0,237431687,999711202,103804328,20,155,175,21784290,0.5268534733678195,0.5268534733678195,5989,414842,neutron-3,0.03884501,24321579,1042,38850990,3242992,0.04125609,0.03797161,-0.00233076,-5.661,-1466527,-5.687,625841319,999711209,1000000000,1.97,1708100697454,0.0273673,1760131854307,0.103,-5.661,7.838,-1.742,-21.692,-92.681,1764201600000
neutron,0.03,1.0650926,41256305,0,249787410,999711628,103804328,20,155,175,21748531,0.527156540073087,0.527156540073087,5984,414842,neutron-3,0.04121748,25788105,1009,41205271,6775272,0.04287351,0.03922395,-0.00100441,-2.379,-622656,-2.358,625664335,999711634,1000000000,1.97,1708100697454,0.0273673,1760131854307,-0.325,-2.379,13.56,0.297,-19.277,-92.287,1764115200000
neutron,0.03,1.0560109,41175447,0,249757233,999712050,103804326,20,155,175,21707867,0.5272041612565858,0.5272041612565858,5984,414842,neutron-3,0.04229841,26410761,994,42200231,24905333,0.04902491,0.03861055,0.00294269,7.477,1918288,7.832,625663775,999712056,1000000000,1.97,1708100697454,0.0273673,1760131854307,-1.052,7.477,21.094,-0.898,-14.982,-92.308,1764028800000
neutron,0.03,0.9601543,41092021,0,249731050,999712634,103804326,20,155,175,21634544,0.5264901426970457,0.5264901426970457,5959,414840,neutron-3,0.03924415,24492473,1020,39232872,23356568,0.04334968,0.03597194,-0.00076053,-1.901,-699096,-2.775,624105090,999712637,1000000000,1.97,1708100697454,0.0273673,1760131854307,-1.433,-1.901,13.111,-8.979,-20.934,-92.429,1763942400000
neutron,0.03,0.9720943999999999,41002137,0,249710003,999713322,103804326,20,155,175,21571487,0.5261064075757808,0.5261064075757808,5980,414750,neutron-3,0.04013997,25191569,998,40352690,22172859,0.04542947,0.03209297,0.00694465,20.921,4485661,21.664,624105788,999713333,1000000000,1.97,1708100697454,0.0273673,1760131854307,2.055,20.921,10.755,-6.576,-18.186,-91.321,1763856000000
neutron,0.03,0.9707389,40911715,0,249687234,999713925,103804326,20,155,175,21518961,0.5259853076313227,0.5259853076313227,5943,414604,neutron-3,0.03317882,20717544,1106,33186038,20168895,0.04684782,0.03216291,-0.00131258,-3.806,-769970,-3.583,624106380,999713929,1000000000,1.97,1708100697454,0.0273673,1760131854307,0.735,-3.806,-7.642,-25.229,-29.841,-92.608,1763769600000
neutron,0.03,0.9636083000000001,40822425,0,249837427,999714526,103804326,20,155,175,21455910,0.525591265095104,0.525591265095104,5966,414604,neutron-3,0.03440083,21480425,1113,34483652,24561909,0.050299,0.03273974,-0.00189501,-5.221,-1128933,-4.993,622738371,999714533,1000000000,1.97,1708100697454,0.0273673,1760131854307,-1.356,-5.221,-8.202,-7.912,-33.401,-91.841,1763683200000
neutron,0.03,0.955578,40732634,0,249809311,999715261,103804326,20,155,175,21394743,0.5252482076165268,0.5252482076165268,5966,414556,neutron-3,0.03629673,22609358,1094,36297940,1832447,0.03674822,0.0339907,0.0000698,0.193,79243,0.352,622705317,999715268,1000000000,1.97,1708100697454,0.0273673,1760131854307,1.037,0.193,-8.188,-5.118,-31.189,-91.902,1763596800000
neutron,0.03,0.9602482,40643473,0,249139310,999715706,103804326,20,155,175,21360836,0.5255662083798793,0.5255662083798793,5957,414556,neutron-3,0.03616687,22504676,1104,36216214,693543,0.03686972,0.03486029,0.00080812,2.285,587136,2.679,621221167,999715725,1000000000,1.97,1708100697454,0.0273673,1760131854307,-0.355,2.286,-11.993,-1.841,-32.091,-92.216,1763510400000
neutron,0.03,0.9585072,40553595,0,249067417,999716062,103804326,20,155,175,21324944,0.5258459576765019,0.5258459576765019,5925,414556,neutron-3,0.03533315,21917540,1103,35280355,1173603,0.03688608,0.03478165,-0.0001593,-0.449,-81474,-0.37,621062835,999716068,1000000000,1.97,1708100697454,0.0273673,1760131854307,-0.045,-0.449,-17.217,-5.154,-29.356,-91.583,1763424000000
neutron,0.03,0.9571881999999999,40464203,0,249087423,999716564,103804326,20,155,175,21288270,0.5261013048990487,0.5261013048990487,5784,414452,neutron-3,0.03543372,22042896,1115,35482386,1175643,0.03726383,0.03440714,-0.00097909,-2.689,-564425,-2.497,621058815,999716567,1000000000,1.97,1708100697454,0.0273673,1760131854307,1.403,-2.689,-17.817,-18.053,-29.298,-92.071,1763337600000
