address,moniker,commission,rank,token,votingPower,timestamp
neutronvaloper1ap2gshzfwglun4y2gpz6meugggat42s7vndhsw,Cosmostation,0.1,1,13306840,0.055993,1765152000000
neutronvaloper1rlyy2ltkc9t9s8gp2tmqxk6guggf6h9g6xj26y,01node,0.04,2,13000403,0.054703,1765152000000
neutronvaloper1pypmhaet69f57ymv526e78em6n9u9dshkx0npn,Stakecito,0.1,3,12601296,0.053024,1765152000000
neutronvaloper1xvl6sq77k6eq8kg9pyjyt8dzxzpyv9ukuuvsay,polkachucom,0.1,4,12567639,0.052882,1765152000000
neutronvaloper1v2azgtqlaj5xxktswpclsgn8zrr4960vhu50r2,PRO Delegators,0.1,5,12489259,0.052552,1765152000000
neutronvaloper1e6rw7a7ngjmn8qjqfymu4en0px7hlr27fpf55k, CryptoCrew Validators,0.1,6,12472663,0.052483,1765152000000
neutronvaloper1md0k6m8y58w8u98x82kjah7r5zcajw7c5v5ypa,POSTHUMAN  StakeDrop,0.1,7,12454188,0.052405,1765152000000
neutronvaloper1pggzzg4wzsyxpcg9g57h5hkwumf3507yvcf4u6,SG1,0.1,8,12439222,0.052342,1765152000000
neutronvaloper1uaz9tnrxlvad37t8d7vcevwd7z7xlp7lmu5pjv,P2Porg ,0.1,9,12430992,0.052307,1765152000000
neutronvaloper15mfl7wxqww7zrvq2zw3d76mwsdxxff8cju5h5c,Crosnest,0.1,10,12412553,0.05223,1765152000000
neutronvaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7rvf204j,Kiln,0.1,11,12411410,0.052225,1765152000000
neutronvaloper1uysyegglcpchzy47dsf5vngnn7wvac6zl0hvh6,cosmosrescue,0.1,12,12401594,0.052184,1765152000000
neutronvaloper1c0rct7nkj4evl3j3s5sqzky4str95yr4fsg2mk,Golden Ratio Staking,0.1,13,12391800,0.052142,1765152000000
neutronvaloper1ksuxjvl70y9a60prfa4drqztsx8g7yuhvf36q6,Allnodes,0.1,14,12389633,0.052133,1765152000000
neutronvaloper16pj5gljqnqs0ajxakccfjhu05yczp987csggnk,Chorus One,0.1,15,12388526,0.052129,1765152000000
neutronvaloper1jkva4td5hfmmpdtjuxdk2yxg2q2pvslr287hg9,Smart Stake ,0.1,16,12387628,0.052125,1765152000000
neutronvaloper12ysnwtjx5d87m0vffjerfu5vh2hm8qz6p4fppq,StakeRelax ,0.1,17,12386139,0.052119,1765152000000
neutronvaloper1ekvdq09eczgjuv2yh86pesjkh6lt805dpw2qrw,Informal Systems,0.1,18,12379577,0.052091,1765152000000
neutronvaloper104du2yqarz2uhnkakmytfwc58e79dftkmf9xz8,Hadron,0.1,19,12368414,0.052044,1765152000000
neutronvaloper1kfqxeuqx2rxp0q6yh299737676r274398twxz8, Quokka Stake,0.1,20,12363770,0.052024,1765152000000
neutronvaloper1p67acd7swsuykfzvrmr8zzdlxqqr8mcxt9n4nc,QuantNode,0.01,21,11364,0.000048,1765152000000
neutronvaloper1l9u5clqt4y4746dugkhfmm50xq2nqnkvh4jsml, Silk Nodes,0.05,21,640,0.000003,1765152000000
neutronvaloper13pty0d8shekp0nfwet0783cvp78t9vcyjtmhln,CosmosSpaces,0.05,21,502,0.000002,1765152000000
neutronvaloper1cvwrxye2g79ggstv403rn7tu952hs88udwclch,Newt Node,0.05,21,395,0.000002,1765152000000
neutronvaloper1v9xys5c4zdr89tvwq983ycnj3j4pekpjwr0raa,Acrux,0.05,21,361,0.000002,1765152000000
neutronvaloper1z38vy5yj4k5n4d9k48g6e86fy2rum29qlarsg2,test,0.05,21,3,0,1765152000000
neutronvaloper1ee0938ywnxda8x0z0zyd7kqsf2q0d2kqywkn4k,r93AX Nodes,0,21,3,0,1765152000000
neutronvaloper1yszy0et7htz9c9affn58jcnc5ejjlm8ymzldjf,Orbital Command,0.1,21,2,0,1765152000000
