chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
nillion,0.313049,5.5902755,4559968,0.01,32152273,1006522469,0,42,10,52,418387,0.09175217896265939,0.09175217896265939,38690,163048,nillion,0.067148,18877469,1141,66954120,6412087,0.072123,0.066586,-0.00453369,-6.325,-1319308,-6.532,281946333,1000000000,0,0.897077,1742823035773,0.066586,1765149329779,-0.57,-6.325,-24.39,-28.306,-66.492,0,1765152000000
nillion,0.313088,5.5841237999999995,4544511,0.01,32147449,1006497819,0,42,10,52,418183,0.09201936137903506,0.09201936137903506,38708,162988,nillion,0.071718,20219903,1120,71715431,7626918,0.072801,0.068744,-0.00052181,-0.722,-170831,-0.838,281946333,1000000000,0,0.897077,1742823035773,0.068744,1765035317418,0.788,-0.722,-19.097,-23.196,-59.892,0,1765065600000
nillion,0.313928,5.5866584999999995,4529042,0.01,32060685,1006473151,0,42,10,52,417948,0.09228176731414724,0.09228176731414724,39134,162930,nillion,0.0724,20363173,1112,72223578,9644376,0.074731,0.069954,-0.00167479,-2.261,-545242,-2.608,281946333,1000000000,0,0.897077,1742823035773,0.069954,1764961904804,0.818,-2.261,-23.541,-27.343,-59.785,0,1764979200000
nillion,0.310976,5.5738918,4513569,0.01,32364164,1006448477,0,42,10,52,417566,0.09251348544799028,0.09251348544799028,39134,162930,nillion,0.074158,20908415,1111,74157428,8044254,0.076696,0.074156,-0.00147475,-1.95,-412967,-1.937,281946333,1000000000,0,0.897077,1742823035773,0.072915,1764671790682,-0.427,-1.95,-20.046,-40.96,-56.371,0,1764892800000
nillion,0.311121,5.5828173,4498069,0.01,32348295,1006423759,0,42,10,52,416962,0.09269799996398455,0.09269799996398455,39127,162930,nillion,0.075653,21321381,1112,75622126,9534500,0.078455,0.074852,0.00039909,0.53,114186,0.538,281946333,1000000000,0,0.897077,1742823035773,0.072915,1764671790682,-0.563,0.53,-21.399,-40.897,-58.209,0,1764806400000
nillion,0.311579,5.5771307,4482593,0.01,32300009,1006399082,0,42,10,52,416637,0.09294553397999773,0.09294553397999773,39134,162913,nillion,0.075233,21207195,1101,75217134,10752965,0.077881,0.072915,-0.00028571,-0.378,-104856,-0.492,281946333,1000000000,0,0.897077,1742823035773,0.072915,1764671790682,-0.711,-0.378,-22.618,-67.781,-66.63,0,1764720000000
nillion,0.311476,5.5752939,4467099,0.01,32309883,1006374378,0,42,10,52,416428,0.09322112628352315,0.09322112628352315,39141,162913,nillion,0.075591,21312051,1076,75589034,13136840,0.088262,0.074634,-0.01267065,-14.356,-3515921,-14.161,281946333,1000000000,0,0.897077,1742823035773,0.074634,1764608457790,0.32,-14.356,-19.067,-65.699,-67.977,0,1764633600000
nillion,0.317369,5.5852665,4451616,0.01,31709120,1006349689,0,42,10,52,416122,0.09347661613220906,0.09347661613220906,39131,162906,nillion,0.088059,24827972,1021,88059212,8814607,0.089803,0.086555,-0.00131677,-1.473,-378759,-1.503,281946333,1000000000,0,0.897077,1742823035773,0.085502,1764441402250,-0.274,-1.473,-5.442,-62.113,-61.47,0,1764547200000
nillion,0.317898,5.5955896,4436149,0.01,31655557,1006325029,0,42,10,52,415884,0.0937488799406873,0.0937488799406873,39166,162892,nillion,0.089405,25206731,1016,89402584,9918763,0.095625,0.085502,-0.0062197,-6.504,-1754380,-6.507,281946333,1000000000,0,0.897077,1742823035773,0.085502,1764441402250,1.266,-6.504,-5.046,-51.997,-64.02,0,1764460800000
nillion,0.181061,5.6019583,4420726,0.01,55577869,1006300439,0,42,10,52,415496,0.09398818203163915,0.09398818203163915,39175,162875,nillion,0.095473,27010423,981,95799873,13458105,0.097421,0.090162,0.00310843,3.365,968115,3.717,281946333,1000000000,0,0.897077,1742823035773,0.089464,1763881841158,-0.093,3.365,-4.188,-41.333,-66.978,0,1764374400000
nillion,0.181137,5.6089262,4405296,0.01,55564634,1006480774,0,42,10,52,415195,0.09424905840606397,0.09424905840606397,39181,162875,nillion,0.09226,26042308,1013,92366187,11685098,0.09621,0.09132,-0.00365455,-3.81,-1017425,-3.76,281946333,1000000000,0,0.897077,1742823035773,0.089464,1763881841158,0.249,-3.81,-27.332,-45.697,-69.709,0,1764288000000
nillion,0.179848,5.6026539,4389888,0.01,55961576,1006456204,0,42,10,52,414985,0.09453202450723117,0.09453202450723117,39202,162866,nillion,0.095957,27035117,983,95887456,19396810,0.0993,0.091163,-0.0023558,-2.396,-707339,-2.55,281946333,1000000000,0,0.897077,1742823035773,0.089464,1763881841158,-0.304,-2.396,-28.461,-45.438,-67.473,0,1764201600000
nillion,0.180886,5.6125598,4374475,0.01,55640417,1006457589,0,42,10,52,414516,0.09475788523194212,0.09475788523194212,39208,162866,nillion,0.09831,27742455,967,98396226,33285412,0.111784,0.092793,0.00525061,5.642,1462970,5.567,281946333,1000000000,0,0.897077,1742823035773,0.089464,1763881841158,0.699,5.642,-57.029,-44.593,-69.563,0,1764115200000
nillion,0.174795,5.6139425,4359084,0.01,57577879,1006433047,0,42,10,52,414078,0.09499197537831343,0.09499197537831343,39208,162866,nillion,0.093134,26279486,997,93207403,15860387,0.09588,0.09012,0.00222735,2.45,1494931,6.032,281946333,1000000000,0,0.897077,1742823035773,0.089464,1763881841158,-0.947,2.45,-57.739,-49.591,-71.336,0,1764028800000
nillion,0.174869,5.6126735,4343698,0.01,57552154,1006408514,0,42,10,52,413776,0.09525892453849232,0.09525892453849232,39214,162836,nillion,0.0909,24702364,1017,91116685,18718087,0.098781,0.089464,-0.0028031,-2.991,-755159,-2.966,271106916,1000000000,0,0.897077,1742823035773,0.089464,1763881841158,-2.445,-2.991,-60.89,-53.608,-71.466,0,1763942400000
nillion,0.174837,5.6094111,4328304,0.01,57561432,1006383968,0,42,10,52,413267,0.09548012339244194,0.09548012339244194,39329,162828,nillion,0.093705,25457522,1002,93902148,19861966,0.102641,0.090712,-0.00509988,-5.162,-1331754,-4.971,271106916,1000000000,0,0.897077,1742823035773,0.090649,1763577456332,0.964,-5.162,-49.688,-52.321,-70.575,0,1763856000000
nillion,0.174786,5.6157948,4312899,0.01,57576497,1006359403,0,42,10,52,412629,0.09567323510242183,0.09567323510242183,5091,128566,nillion,0.098695,26789275,979,98814428,41026813,0.130688,0.09578,-0.02892906,-22.667,-7675747,-22.271,271106916,1000000000,0,0.897077,1742823035773,0.090649,1763577456332,2.7,-22.667,-39.354,-50.614,-69.738,0,1763769600000
nillion,0.175128,5.6158409,4297512,0.01,57462671,1006334872,0,42,10,52,411990,0.09586709705522638,0.09586709705522638,2603,126111,nillion,0.127457,34465022,842,127127046,128104527,0.144956,0.109557,0.0018588,1.48,253820,0.742,271106916,1000000000,0,0.897077,1742823035773,0.090649,1763577456332,3.533,1.48,-24.98,-27.489,-54.654,0,1763683200000
nillion,0.15983,5.6280381,4282139,0.01,62961207,1006310359,0,42,10,52,375702,0.08773699312423067,0.08773699312423067,2580,126090,nillion,0.125741,34211202,845,126190811,98801254,0.230444,0.090649,-0.10189177,-44.761,-27501584,-44.564,271106916,1000000000,0,0.897077,1742823035773,0.090649,1763577456332,-1.766,-44.761,-28.502,-30.156,-56.598,0,1763596800000
nillion,0.159867,5.6247763,4266788,0.01,62945360,1006285884,0,42,10,52,370677,0.08687495136857046,0.08687495136857046,2736,126090,nillion,0.22818,61712786,600,227632649,23807299,0.246861,0.22404,0.00235314,1.042,492889,0.805,271106916,1000000000,0,0.897077,1742823035773,0.159784,1762306623654,-0.399,1.042,30.195,41.085,-14.783,0,1763510400000
