address,moniker,commission,rank,token,votingPower,timestamp
nillionvaloper1uceaqqezre5dhnatmkkat5jp2q3adgf5rheucx,Keplr,0.1,1,4876330,0.151664,1765152000000
nillionvaloper1p09jx4vxed6xzxexa6yj0v7zdazva08urlmdgj,Cosmostation,0.1,2,2002152,0.062271,1765152000000
nillionvaloper1hnuzd2csqu9uexnfgf5qgn9r6x9lefg92jvy3u,NodesGuru,0.1,3,1795076,0.05583,1765152000000
nillionvaloper1gpdekjg2xuwy2dm49kw6xf6gnlysqq0rxeypg8,Finoa Consensus Services,0.1,4,1762719,0.054824,1765152000000
nillionvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57ze0uqtu, LavenderFive Nodes ,0.1,5,1537643,0.047824,1765152000000
nillionvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7q4rta43,Stakecito,0.1,6,1260962,0.039218,1765152000000
nillionvaloper19lum2dltxs7r3c79j0xzvx067920mx4fdjzs5x,InfStones,0.1,7,1235786,0.038435,1765152000000
nillionvaloper14kwqmau5r06tey9c4y05n7re0n50gdwgva29yd,Binary Builders,0.1,8,1106577,0.034417,1765152000000
nillionvaloper1p8rjcsmld67xkqfd8c3fjq8s3d3ahgql5at4m6, kjnodescom ,0.1,9,1089646,0.03389,1765152000000
nillionvaloper1m0jknxsq2zz0yw2mns8q49zcf0jwjar8qgz2y0,stakeFi by BCW,0.1,10,1039404,0.032328,1765152000000
nillionvaloper1yeh3qtklwkaz8vyake92uf9ah07zytsypqcjpe,Imperatorco,0.1,11,855406,0.026605,1765152000000
nillionvaloper16d2qk3xvyardj53hna23jzl4eg8pugjjv0qxq3,polkachucom,0.1,12,849526,0.026422,1765152000000
nillionvaloper1mn5pentaqll9xfxrldw5v826q3wgh6sr9vyd2m,extramile  tv asahi group ,0.1,13,845018,0.026282,1765152000000
nillionvaloper140f45sa6fprknxyt2p9h2p5ml47vpkn87h2n07,Informal Systems,0.1,14,806129,0.025072,1765152000000
nillionvaloper1zmkl07j5stt2w67nc9vp7fxfxk5rvk30eskswl,FCS,0.1,15,760414,0.02365,1765152000000
nillionvaloper12dzevy6zu7kyqvx6hsa4ajru8835wga6k0tphu,NODERS,0.1,16,748500,0.02328,1765152000000
nillionvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wky65fr,Finality,0.1,17,693341,0.021564,1765152000000
nillionvaloper16gzdnr4zvadgflplunjhq7uh0xyjeejccstwrj,Hoss Army by Kleomedes,0.1,18,655365,0.020383,1765152000000
nillionvaloper13znhs8slthmzkny50844l8nk9945f59r00zxhq,Nocturnal Labs,0.1,19,618057,0.019223,1765152000000
nillionvaloper1v6qtaspu4zcyvmzwh85wj6duwteyzcxyq9ljwk,Crosnest,0.1,20,602365,0.018735,1765152000000
nillionvaloper1h5r8asndymxur6zdwakn7sax4s407zkjzgulgc,Republic,0.1,21,591331,0.018392,1765152000000
nillionvaloper10dnxf2kdkdwfmpr37g5xnw06zc7pr7r2ee0t89, RHINO ,0.1,22,586900,0.018254,1765152000000
nillionvaloper1tus76s82236crsfpztttetwdpgasxxxf768dpr,DecentrioLabs,0.1,23,575472,0.017898,1765152000000
