source,target,messages,txs,channel,timestamp,volume,type
noble,osmosis,850,841,transfer/channel-1,1764892800000,1000191.1414372405,ack
noble,archway,5,5,transfer/channel-12,1764892800000,30899.607695,ack
noble,stargaze,0,0,transfer/channel-11,1764892800000,0,ack
noble,secret,34,34,transfer/channel-17,1764892800000,30511.874616,ack
noble,neutron,241,240,transfer/channel-18,1764892800000,58290.699275000006,ack
noble,agoric,8,8,transfer/channel-21,1764892800000,766.700459,ack
noble,juno,0,0,transfer/channel-3,1764892800000,0,ack
noble,terra,579,560,transfer/channel-30,1764892800000,285114.611615,ack
noble,injective,4,4,transfer/channel-31,1764892800000,721.906994,ack
noble,dydx,188,181,transfer/channel-33,1764892800000,448565.82163,ack
noble,persistence,15,15,transfer/channel-36,1764892800000,657.297913,ack
noble,cosmos,8,8,transfer/channel-4,1764892800000,3449.041593,ack
noble,evmos,0,0,transfer/channel-7,1764892800000,0,ack
noble,sei,0,0,transfer/channel-39,1764892800000,0,ack
noble,coreum,14,14,transfer/channel-49,1764892800000,13127.03077,ack
noble,umee,0,0,transfer/channel-51,1764892800000,0,ack
noble,dymension,25,25,transfer/channel-62,1764892800000,58220.14657,ack
noble,mantra,15,15,transfer/channel-101,1764892800000,10406.06333524054,ack
noble,xion,0,0,transfer/channel-113,1764892800000,0,ack
noble,crescent,0,0,transfer/channel-0,1764892800000,0,ack
noble,injective,0,0,transfer/channel-10,1764892800000,0,ack
noble,centauri-1,0,0,transfer/channel-13,1764892800000,0,ack
noble,migaloo-1,0,0,transfer/channel-14,1764892800000,0,ack
noble,carbon-1,0,0,transfer/channel-16,1764892800000,0,ack
noble,ixo,0,0,transfer/channel-15,1764892800000,0,ack
noble,kujira,1,1,transfer/channel-2,1764892800000,7.978276,ack
noble,provenance,0,0,transfer/channel-20,1764892800000,0,ack
noble,persistence,0,0,transfer/channel-22,1764892800000,0,ack
noble,sync-devnet-e18a5491,0,0,transfer/channel-23,1764892800000,0,ack
noble,sync-devnet-f0e470f1,0,0,transfer/channel-24,1764892800000,0,ack
noble,sync-devnet-f0e470f1,0,0,transfer/channel-25,1764892800000,0,ack
noble,sync-devnet-f0e470f1,0,0,transfer/channel-26,1764892800000,0,ack
noble,sei,0,0,transfer/channel-29,1764892800000,0,ack
noble,sync-devnet-f666006f,0,0,transfer/channel-28,1764892800000,0,ack
noble,sync-devnet-f0e470f1,0,0,transfer/channel-27,1764892800000,0,ack
noble,Oraichain,1,1,transfer/channel-34,1764892800000,1499.5575,ack
noble,haqq_11235-1,0,0,transfer/channel-32,1764892800000,0,ack
noble,Oraichain,0,0,transfer/channel-35,1764892800000,0,ack
noble,kava,0,0,transfer/channel-37,1764892800000,0,ack
noble,evmos,0,0,transfer/channel-6,1764892800000,0,ack
noble,noble-testnet,0,0,transfer/channel-5,1764892800000,0,ack
noble,terra,0,0,transfer/channel-9,1764892800000,0,ack
noble,canto,0,0,transfer/channel-8,1764892800000,0,ack
noble,sei,0,0,transfer/channel-38,1764892800000,0,ack
noble,sifchain,0,0,transfer/channel-40,1764892800000,0,ack
noble,xstaxy-1,0,0,transfer/channel-41,1764892800000,0,ack
noble,furya-1,0,0,transfer/channel-42,1764892800000,0,ack
noble,omniflix,0,0,transfer/channel-44,1764892800000,0,ack
noble,coreum,0,0,transfer/channel-47,1764892800000,0,ack
noble,kujira,0,0,transfer/channel-48,1764892800000,0,ack
noble,chihuahua,0,0,transfer/channel-50,1764892800000,0,ack
noble,uptick_117-1,0,0,transfer/channel-52,1764892800000,0,ack
noble,comdex,0,0,transfer/channel-53,1764892800000,0,ack
noble,teritori,0,0,transfer/channel-54,1764892800000,0,ack
noble,empowerchain-1,0,0,transfer/channel-55,1764892800000,0,ack
noble,stride,0,0,transfer/channel-60,1764892800000,0,ack
noble,dymension,0,0,transfer/channel-63,1764892800000,0,ack
noble,onomy-protocol,0,0,transfer/channel-64,1764892800000,0,ack
noble,nibiru,1,1,transfer/channel-67,1764892800000,2.305742,ack
