chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
noble,0,1.2848177,40516503,0,19,1000000018,0,19,5,24,16546922,0.4083995600508761,0.4083995600508761,12078,191767,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1765152000000
noble,0,1.4110187,40450372,0,19,1000000018,0,19,5,24,16539990,0.40889586874503897,0.40889586874503897,12173,191647,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1765065600000
noble,0,1.2903415,40384348,0,19,1000000018,0,19,5,24,16532495,0.4093787771440559,0.4093787771440559,12648,191450,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764979200000
noble,0,1.2678382,40316907,0,19,1000000018,0,19,5,24,16520145,0.4097572514677279,0.4097572514677279,12648,191450,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764892800000
noble,0,1.3010511,40249631,0,19,1000000018,0,19,5,24,16513984,0.41028907817813287,0.41028907817813287,12967,191261,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764806400000
noble,0,1.3154814000000001,40183269,0,19,1000000018,0,19,5,24,16507106,0.41079549799694,0.41079549799694,13199,191053,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764720000000
noble,0,1.2911308000000001,40116602,0,19,1000000018,0,19,5,24,16500346,0.411309661770456,0.411309661770456,14426,190746,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764633600000
noble,0,1.2877862,40049881,0,19,1000000018,0,19,5,24,16491218,0.4117669662988512,0.4117669662988512,14566,190603,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764547200000
noble,0,1.2986539000000001,39982800,0,19,1000000018,0,19,5,24,16486099,0.4123297768040257,0.4123297768040257,14527,190465,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764460800000
noble,0,1.2878665,39916092,0,19,1000000018,0,19,5,24,16481271,0.4128979109477952,0.4128979109477952,14400,190215,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764374400000
noble,0,1.288084,39849435,0,19,1000000018,0,19,5,24,16475847,0.4134524617475756,0.4134524617475756,14693,190040,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764288000000
noble,0,1.3049046,39786603,0,20,1000000018,0,20,4,24,16469857,0.41395484304101055,0.41395484304101055,14850,189874,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764201600000
noble,0,1.2817408,39720271,0,20,1000000018,0,20,4,24,16459444,0.4143839804114126,0.4143839804114126,15109,189731,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764115200000
noble,0,1.2876913,39653451,0,20,1000000018,0,20,4,24,16452124,0.41489765922264876,0.41489765922264876,15109,189731,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1764028800000
noble,0,1.305029,39586871,0,20,1000000018,0,20,4,24,16444071,0.4153920374257415,0.4153920374257415,15271,189560,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763942400000
noble,0,1.2828945999999999,39520212,0,20,1000000018,0,20,4,24,16435442,0.41587433792106177,0.41587433792106177,14925,189284,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763856000000
noble,0,1.2980863,39453570,0,20,1000000018,0,20,4,24,16427855,0.41638449955225854,0.41638449955225854,14917,189111,noble,null,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,null,0,0,0,0,0,0,0,1763769600000
