timestamp,blockCount,txCount
1765065600000,66137,6927
1764979200000,66016,7496
1764892800000,67443,12346
1764806400000,67275,6166
1764720000000,66361,6879
1764633600000,66670,6758
1764547200000,66720,9123
1764460800000,67081,5128
1764374400000,66711,4828
1764288000000,66655,5420
1764201600000,62833,5992
1764115200000,66330,10413
1764028800000,66817,7318
1763942400000,66582,8054
1763856000000,66660,8627
1763769600000,66641,7592
1763683200000,66759,14412
1763596800000,66475,15156
1763510400000,66537,8355
1763424000000,67290,8055
1763337600000,67251,10688
1763251200000,67175,7170
1763164800000,66720,6914
1763078400000,66250,10851
1762992000000,66452,10836
1762905600000,67053,9331
1762819200000,67064,10470
1762732800000,67266,9900
1762646400000,67376,7399
1762560000000,67119,8551
1762473600000,66648,13272
1762387200000,67228,8812
1762300800000,67135,8965
1762214400000,67318,13866
1762128000000,67360,11844
1762041600000,67156,6698
1761955200000,67260,6793
1761868800000,67400,12177
1761782400000,67471,14689
1761696000000,67325,13055
1761609600000,67617,12922
1761523200000,67307,9807
1761436800000,0,0
1761350400000,0,0
1761264000000,0,0
1761177600000,40929,4143
1761091200000,67149,7884
1761004800000,66887,8953
1760918400000,66372,6215
1760832000000,66932,5472
1760745600000,67040,6644
1760659200000,66636,12489
1760572800000,66829,10346
1760486400000,66922,10741
1760400000000,62899,9518
1760313600000,66218,8910
1760227200000,66420,11129
1760140800000,66116,22520
1760054400000,66299,23919
1759968000000,63769,16244
1759881600000,66091,15028
1759795200000,66446,17079
1759708800000,66261,16643
1759622400000,66202,15228
1759536000000,66451,15294
1759449600000,66240,18825
1759363200000,65961,19207
1759276800000,65879,20485
1759190400000,65424,14713
1759104000000,66097,15851
1759017600000,66259,34764
1758931200000,66162,15044
1758844800000,65360,17048
1758758400000,66323,18348
1758672000000,65068,8321
1758585600000,65146,7432
1758499200000,66216,10131
1758412800000,65565,7485
1758326400000,65721,7261
1758240000000,66115,7112
1758153600000,65769,7479
1758067200000,65935,8170
1757980800000,65902,7417
1757894400000,65839,6921
1757808000000,66249,5766
1757721600000,66049,6198
1757635200000,65629,6602
1757548800000,66329,6533
1757462400000,66369,6512
1757376000000,65900,6783
1757289600000,66068,11166
1757203200000,65902,5828
1757116800000,65497,6254
1757030400000,66251,10230
1756944000000,66322,6742
1756857600000,66144,5972
1756771200000,66375,10547
1756684800000,66835,9455
1756598400000,66944,6775
1756512000000,67297,8302
1756425600000,67144,12424
1756339200000,67039,9176
1756252800000,67254,9950
1756166400000,67322,10416
1756080000000,64647,354229
1755993600000,66806,8875
1755907200000,66947,8665
1755820800000,66641,11886
1755734400000,66857,8397
1755648000000,66599,20285
1755561600000,66778,8732
1755475200000,67044,12516
1755388800000,66721,8284
1755302400000,66387,9846
1755216000000,67203,18419
1755129600000,67469,21432
1755043200000,67256,14627
1754956800000,67680,10657
1754870400000,67873,10426
1754784000000,67388,9941
1754697600000,67669,10182
1754611200000,67670,9109
1754524800000,66910,8550
1754438400000,67486,9862
1754352000000,62340,17211
1754265600000,65694,111008
1754179200000,65619,97093
1754092800000,65100,25464
1754006400000,64793,20930
1753920000000,65280,15073
1753833600000,65515,16382
1753747200000,65807,30789
1753660800000,66337,37832
1753574400000,66462,13091
1753488000000,66139,20727
1753401600000,65058,19847
1753315200000,64387,11453
1753228800000,64560,10334
1753142400000,64810,10880
1753056000000,64828,12293
1752969600000,64528,12075
1752883200000,65022,8373
1752796800000,64750,15722
1752710400000,65028,15282
1752624000000,65299,10759
1752537600000,64652,10712
1752451200000,64733,10481
1752364800000,64930,7901
1752278400000,64238,8460
1752192000000,64707,13167
1752105600000,64980,10401
1752019200000,64258,8921
1751932800000,64461,7983
1751846400000,64639,8759
1751760000000,64797,5455
1751673600000,65094,7555
1751587200000,64809,16965
1751500800000,64668,7646
1751414400000,64714,9660
1751328000000,64389,12005
1751241600000,45179,7284
1751155200000,64465,8280
1751068800000,63952,7119
1750982400000,63712,10799
1750896000000,64343,10085
1750809600000,64329,9975
1750723200000,64836,10463
1750636800000,64744,26382
1750550400000,64342,12547
1750464000000,64611,9141
1750377600000,64506,10266
1750291200000,64454,8737
1750204800000,64495,10988
1750118400000,64492,11969
1750032000000,64900,9487
1749945600000,64991,6655
1749859200000,64789,7273
1749772800000,64787,11150
1749686400000,65036,9629
1749600000000,64457,10906
