chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
osmosis,0.038778908,1.191098,50102692,0.019439080372134588,264685315,754493853,93009268,100,281,381,301729940,6.022230102925407,6.022230102925407,41876,1576495,osmosis,0.071193,53519993,612,70235618,3537604,0.072916,0.069338,-0.00131795,-1.818,-1137811,-2.082,754250300,989821440,1000000000,11.25,1646370738707,0.068722,1764608838031,-0.055,-1.818,-8.077,-13.816,-35.631,-91.068,1765152000000
osmosis,0.04097938,1.1874707,50030157,0.0194422180960049,265194285,754372088,92927683,100,281,381,301665486,6.0296729830370115,6.0296729830370115,42651,1576295,osmosis,0.072548,54681017,605,71774190,3748399,0.072802,0.070049,0.00197456,2.798,1409732,2.646,754128600,989867650,1000000000,11.25,1646370738707,0.068722,1764608838031,-0.111,2.798,-5.591,-12.716,-24.771,-91.275,1765065600000
osmosis,0.040663953,1.196515,49957500,0.019445356832978742,264871843,754250322,92846098,100,281,381,301609869,6.037329109743282,6.037329109743282,77398,1576195,osmosis,0.070623,53271285,615,69938250,4325937,0.073909,0.069796,-0.00156009,-2.161,-1264255,-2.318,754006800,989912600,1000000000,11.25,1646370738707,0.068722,1764608838031,0.498,-2.161,-9.124,-15.692,-27.102,-89.922,1764979200000
osmosis,0.0402711,1.1969308,49885322,0.01944849658354686,264559805,754128557,92764515,100,281,381,301521916,6.0443012876613285,6.0443012876613285,77398,1576195,osmosis,0.072336,54535540,610,71612630,3794379,0.076771,0.071512,-0.00415894,-5.437,-3172385,-5.497,753885060,989954300,1000000000,11.25,1646370738707,0.068722,1764608838031,0.318,-5.437,-11.959,-18.412,-21.599,-89.754,1764892800000
osmosis,0.04217427,1.1818245,49812509,0.019451637348200317,265126627,754006791,92682932,100,281,381,301450425,6.051701290533267,6.051701290533267,82694,1575637,osmosis,0.076558,57707924,597,75794165,5068155,0.076641,0.073735,0.00164116,2.191,1269152,2.249,753763260,990000200,1000000000,11.25,1646370738707,0.068722,1764608838031,0.057,2.191,-7.618,-13.764,-24.07,-88.191,1764806400000
osmosis,0.042249136,1.1848852,49739647,0.019454779127430488,265245108,753885025,92601349,100,281,381,301371592,6.058981319268309,6.058981319268309,83605,1575637,osmosis,0.074906,56502818,595,74228236,4567027,0.078617,0.070147,0.00427809,6.057,3267435,6.138,753641500,990065300,1000000000,11.25,1646370738707,0.068722,1764608838031,-0.723,6.057,-9.493,-18.077,-32.982,-87.546,1764720000000
osmosis,0.038079975,1.2412908999999999,49669697,0.019457921921729068,266130791,753763260,92519766,100,281,381,301291769,6.065907126431635,6.065907126431635,85072,1575437,osmosis,0.070627,53235383,606,69948705,5145486,0.076343,0.068722,-0.00571579,-7.487,-4376470,-7.596,753519740,990088300,1000000000,11.25,1646370738707,0.068722,1764608838031,0.118,-7.487,-15.513,-22.416,-38.055,-88.456,1764633600000
osmosis,0.038515658,1.2045865,49599383,0.01946106573158807,266163465,753641494,92438183,100,281,381,301181432,6.072281826570302,6.072281826570302,86435,1575362,osmosis,0.076374,57590799,592,75685921,2231886,0.077807,0.076449,-0.00050795,-0.661,-311945,-0.539,753397950,990116800,1000000000,11.25,1646370738707,0.076477,1764447695410,-0.77,-0.661,-7.545,-18.197,-31.258,-87.789,1764547200000
osmosis,0.04221875,1.2138649,49528212,0.01946421055749967,266249337,753519729,92356600,100,281,381,301128925,6.079947424712202,6.079947424712202,87656,1575362,osmosis,0.076858,57902744,594,76110934,2521498,0.078217,0.076477,-0.00056847,-0.734,-442602,-0.759,753276200,990152640,1000000000,11.25,1646370738707,0.076477,1764447695410,-0.082,-0.734,-6.792,-20.408,-30.657,-87.016,1764460800000
osmosis,0.039938083,1.2190290000000001,49456555,0.019467356399956674,266216831,753397963,92275017,100,281,381,301081845,6.0878046398500665,6.0878046398500665,88851,1574399,osmosis,0.077468,58345345,593,76707773,4874358,0.082097,0.077342,-0.00433777,-5.303,-3272171,-5.31,753154430,990186940,1000000000,11.25,1646370738707,0.077342,1764356813788,-0.179,-5.303,-7.521,-20.42,-36.412,-86.695,1764374400000
osmosis,0.045216064,1.2250603,49387843,0.019470503259452043,266414876,753276197,92193434,100,281,381,301016116,6.094943567387626,6.094943567387626,89998,1573063,osmosis,0.081847,61632578,584,81046732,3490430,0.083364,0.081695,-0.00088511,-1.07,-726023,-1.164,753032640,990236600,1000000000,11.25,1646370738707,0.080298,1763993744598,0.075,-1.07,-8.371,-16.862,-32.597,-85.941,1764288000000
osmosis,0.04154019,1.6296882,49317664,0.019473651136479073,265271939,753154432,92111851,100,281,381,300959690,6.102472533978901,6.102472533978901,91757,1572939,osmosis,0.082795,62339404,578,81992881,4402651,0.083724,0.080998,-0.00024856,-0.299,-232767,-0.372,752910900,990277900,1000000000,11.25,1646370738707,0.080298,1763993744598,-0.132,-0.299,-6.738,-18.748,-33.086,-85.076,1764201600000
osmosis,0.04184381,1.1892428,49249127,0.019476800031531363,265014678,753032666,92030268,100,280,380,300874800,6.109241286652654,6.109241286652654,94140,1572901,osmosis,0.083026,62572171,577,82316270,3560306,0.084317,0.081875,-0.00067221,-0.803,-457091,-0.725,752789100,990325100,1000000000,11.25,1646370738707,0.080298,1763993744598,0.088,-0.803,-9.196,-19.862,-34.314,-86.313,1764115200000
osmosis,0.04137349,1.2141406000000001,49177834,0.01947994994510284,266762420,752910901,91948681,100,280,380,300793826,6.116451285756099,6.116451285756099,94140,1572901,osmosis,0.083805,63029262,576,82933604,3882337,0.083977,0.080298,0.00180695,2.204,1362679,2.21,752667400,990356200,1000000000,11.25,1646370738707,0.080298,1763993744598,0.368,2.204,-7.939,-21.532,-27.722,-86.708,1764028800000
osmosis,0.04287169,1.208214,49106580,0.019483100877687745,265397183,752789135,91867097,100,280,380,300703653,6.123490029238444,6.123490029238444,95771,1572901,osmosis,0.082013,61706418,571,81210261,3390799,0.083799,0.081767,-0.00117448,-1.412,-880091,-1.406,752545600,990406300,1000000000,11.25,1646370738707,0.081211,1763818900785,-0.656,-1.412,-12.157,-23.087,-29.592,-86.71,1763942400000
osmosis,0.05048231,1.204908,49035072,0.019486252829780646,265345405,752667369,91785513,100,280,380,300622400,6.130762895586245,6.130762895586245,96600,1572752,osmosis,0.08321,62584570,563,82415242,4763111,0.083938,0.081211,-0.00018692,-0.224,-116237,-0.185,752423800,990838300,1000000000,11.25,1646370738707,0.081211,1763818900785,0.112,-0.224,-13.831,-22.941,-27.942,-84.966,1763856000000
osmosis,0.04325511,1.2186066,48963584,0.019489405801876428,267130447,752545604,91703930,100,280,380,300539034,6.138011343287289,6.138011343287289,96893,1572452,osmosis,0.083448,62733879,564,82631996,5269586,0.088494,0.082115,-0.00458899,-5.213,-3385355,-5.12,752302100,990919500,1000000000,11.25,1646370738707,0.082115,1763766167061,1.409,-5.213,-14.326,-25.072,-25.313,-84.761,1763769600000
osmosis,0.040396876,1.2192535,48892835,0.019492559794470295,266701825,752423838,91622347,100,280,380,300367394,6.143382644921285,6.143382644921285,97612,1572303,osmosis,0.088002,66194555,561,87209017,8095667,0.093616,0.086795,-0.00117611,-1.319,-927287,-1.381,752180300,990971300,1000000000,11.25,1646370738707,0.08667,1763583046611,-1.596,-1.319,-10.611,-8.746,-26.085,-83.792,1763683200000
osmosis,0.039819038,1.2180995000000001,48821617,0.019495714808057767,266882323,752302073,91540764,100,280,380,300212111,6.149163617419718,6.149163617419718,98175,1572303,osmosis,0.089212,67103647,567,88429935,4998153,0.091384,0.08667,-0.00174851,-1.922,-1294400,-1.892,752058560,991071170,1000000000,11.25,1646370738707,0.08667,1763583046611,0.735,-1.922,-12.451,-7.914,-28.104,-83.858,1763596800000
osmosis,0.038678908,1.2069486999999999,48750489,0.019498870843134695,270672408,752180307,91459181,100,279,379,300097484,6.155784078391501,6.155784078391501,98353,1572303,osmosis,0.090991,68398046,565,90155710,4665562,0.092294,0.090067,-0.00013411,-0.147,-112259,-0.164,751936770,991130560,1000000000,11.25,1646370738707,0.090067,1763468219198,-0.522,-0.147,-12.174,-1.379,-26.752,-83.409,1763510400000
osmosis,0.036040506,1.1512818,48678000,0.019502027900197248,268010204,752058541,91377598,100,279,379,299973919,6.162412568306011,6.162412568306011,99129,1572303,osmosis,0.091089,68510304,564,90321329,5226943,0.094379,0.090938,-0.00261596,-2.792,-1864045,-2.649,751815040,991163800,1000000000,11.25,1646370738707,0.090938,1763416580296,-0.493,-2.792,-14.711,-9.658,-25.244,-81.964,1763424000000
osmosis,0.034620998,1.1692385,48602718,0.01950518597974191,268380878,751936776,91296015,100,279,379,299828392,6.168963472372059,6.168963472372059,99801,1571705,osmosis,0.093782,70434768,565,92878296,4691560,0.098646,0.092817,-0.00313371,-3.233,-2404615,-3.301,751693250,991214850,1000000000,11.25,1646370738707,0.091314,1762292569994,0.503,-3.233,-12.05,-16.301,-21.96,-81.626,1763337600000
osmosis,0.057402606,1.1480555000000001,48527848,0.019508345082265496,268512858,751815010,91214431,100,279,379,299721781,6.176284202835452,6.176284202835452,99801,1571705,osmosis,0.096998,72839516,555,96073969,4009602,0.09953,0.096212,0.00038832,0.402,360098,0.497,751571460,991308800,1000000000,11.25,1646370738707,0.091314,1762292569994,0.127,0.402,-10.171,-14.749,-21.696,-79.328,1763251200000
osmosis,0.05470374,1.1617498,48452985,0.019511505208265133,267788505,751693245,91132848,100,278,378,299641148,6.184162812672945,6.184162812672945,100450,1571705,osmosis,0.096421,72423085,550,95604350,8599227,0.1009,0.095416,-0.00289239,-2.912,-2186176,-2.93,751449700,991974600,1000000000,11.25,1646370738707,0.091314,1762292569994,-1.008,-2.912,-13.424,-13.215,-24.335,-78.813,1763164800000
