id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
997,Update Developer Vesting Addresses,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1764173588000,1764173588000,1764605588000,undefined,49298021,osmo19w2t4ue7qpdh6022m3yxmxvv3w7jla7u3hfq0r,101070133.973906,2061.739224,10052.13,12948616.444309
996,Increase Staking Rewards Smoothing Factor to 14,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1762787793000,1762787793000,1763219793000,undefined,48135225,osmo19w2t4ue7qpdh6022m3yxmxvv3w7jla7u3hfq0r,112750683.481745,3547.569618,0.153543,10402357.674493
995,Allocate additional USDC to OSMO buyback and liquidity strategy November 2025,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1762769938000,1762769938000,1763201938000,undefined,48120231,osmo19w2t4ue7qpdh6022m3yxmxvv3w7jla7u3hfq0r,118655014.230604,6912.488792,1009.433051,10494777.049463
994,FixedRevive expired IBC client for dHealth,/ibc.core.client.v1.MsgRecoverClient,PASSED,1762430321000,1762430427000,1762862427000,undefined,47835526,osmo1cmt5j83q77mvu7m7g3mz6cvkgm4tq2zcygpsdp,127536788.180064,33919.589995,5900.668376,13734224.324032
993,Monthly OSMO Taker Fee Burn October 2025,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1762192906000,1762192906000,1762624906000,undefined,47635776,osmo19w2t4ue7qpdh6022m3yxmxvv3w7jla7u3hfq0r,134442954.338442,6798.977589,4857.861384,10374053.394824
992,Update stJUNOJUNO Scaling Factor Controller to Auto Update Contract,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1761916701000,1761916701000,1762348701000,undefined,47408157,osmo1na05cry4g23hwt4x5lknktn3nnffgakg7cwgez,109536631.37133,962.756479,3735.572257,11706290.422887
991,Update stSTARSSTARS Scaling Factor Controller to Auto Update Contract,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1761768676000,1761768884000,1762200884000,undefined,47284826,osmo1na05cry4g23hwt4x5lknktn3nnffgakg7cwgez,121292644.961789,6158.573947,1689.213082,8049252.971814
990,Osmosis v31 Software Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1761577364000,1761577364000,1762009364000,undefined,47124612,osmo19w2t4ue7qpdh6022m3yxmxvv3w7jla7u3hfq0r,144953258.226797,23970.544471,5564.949764,2665048.929765
989,Recover expired IBC client for channel95 to Bostrom,/ibc.core.client.v1.MsgRecoverClient,PASSED,1761296369000,1761296615000,1761728615000,undefined,46893569,osmo1cg79pj70mgl8xlum0rw5yy6enk9jszsrfyf8cx,121173581.508787,318499.647355,8799.784766,7441627.146546
988,Update stEVMOSEVMOS Scaling Factor Controller to Auto Update Contract,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1761245271000,1761245271000,1761677271000,undefined,46851376,osmo1na05cry4g23hwt4x5lknktn3nnffgakg7cwgez,121527590.866205,34219.837033,7009.538024,789944.002849
