address,moniker,commission,rank,token,votingPower,timestamp
osmovaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep88n0y4,Cosmostation,0.05,1,19735367,0.075168,1765152000000
osmovaloper1z89utvygweg5l56fsk8ak7t6hh88fd0axx2fya,Inotel,0.05,2,12787283,0.048704,1765152000000
osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,Keplr,0.05,3,11259976,0.042887,1765152000000
osmovaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqv5qgdz9,Nansen  Stake to Stack Points,0.05,4,8713714,0.033189,1765152000000
osmovaloper10w06wvmdd4xn7hr76gzrv570f7q5uweem5jcd7,TheCybernetics,0.05,5,8609412,0.032791,1765152000000
osmovaloper1e20nfplac6cp5mga25a3ujvcgly3mfu73e6scn,Mendel,0.05,6,7232044,0.027545,1765152000000
osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,Stakecito,0.05,7,6456318,0.024591,1765152000000
osmovaloper1u5v0m74mql5nzfx2yh43s2tke4mvzghr6m2n5t,ECO Stake   REStakeapp,0.05,8,5853981,0.022297,1765152000000
osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,CryptoCrew Validators ,0.05,9,5814360,0.022146,1765152000000
osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,polkachucom,0.05,10,5405474,0.020588,1765152000000
osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,Binary Builders,0.05,11,5341374,0.020344,1765152000000
osmovaloper14n8pf9uxhuyxqnqryvjdr8g68na98wn5amq3e5,PRYZM  StakeDrop,0.2,12,5222987,0.019893,1765152000000
osmovaloper15urq2dtp9qce4fyc85m6upwm9xul3049wh9czc,Chorus One,0.05,13,5190879,0.019771,1765152000000
osmovaloper146mj09yzu3mvz7pmy4dvs4z9wr2mst7rq8p8gy,Interop,0.08,14,5049419,0.019232,1765152000000
osmovaloper17cp6fxccqxrpj4zc00w2c7u6y0umc2jajsyc5t,Ledger by Figment,0.05,15,4850482,0.018474,1765152000000
osmovaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpf6t4agt,Figment,0.05,16,4707396,0.01793,1765152000000
osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,Crosnest,0.05,17,4415874,0.016819,1765152000000
osmovaloper1e9ucjn5fjmetky5wezzcsccp7hqcwzrrdulz7n,Allnodes,0.05,18,4317593,0.016445,1765152000000
osmovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxwmj9we,Citadelone,0.05,19,4218262,0.016066,1765152000000
osmovaloper1xvl4vrlh3epl7desfnqydt4tvexl380ue86syc,Mad Scientists,0.05,20,4201662,0.016003,1765152000000
osmovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s833swz,Informal Systems,0.05,21,4043546,0.015401,1765152000000
osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n, LavenderFive Nodes ,0.05,22,4041112,0.015392,1765152000000
osmovaloper1wlagucxdxvsmvj6330864x8q3vxz4x025rraa6,DSRV,0.1,23,3791429,0.014441,1765152000000
osmovaloper1l7hln0l79erqaw6jdfdwx0hkfmj3dp27gr77ja,Smart Stake ,0.05,24,3618965,0.013784,1765152000000
osmovaloper1cyw4vw20el8e7ez8080md0r8psg25n0cq98a9n,Sentinel dVPN,0.05,25,3553302,0.013534,1765152000000
osmovaloper12zwq8pcmmgwsl95rueqsf65avfg5zcj047ucw6,OmniFlix Network,0.05,26,3513455,0.013382,1765152000000
osmovaloper16n0t7lmy4wnhjytzkncjdkxrsu9yfjm3ex7hxr,Golden Ratio Staking,0.05,27,3362266,0.012806,1765152000000
osmovaloper1r7spsjagrmcfv96w5dxtttajvnxczhcpgfk74g,PRO Delegators,0.05,28,3236692,0.012328,1765152000000
osmovaloper1t8qckan2yrygq7kl9apwhzfalwzgc2429p8f0s,Imperatorco,0.05,29,3162324,0.012045,1765152000000
