source,target,messages,txs,channel,timestamp,volume,type
persistence,kava,7,7,transfer/channel-129,1764892800000,1330.940594,ack
persistence,dydx,1,1,transfer/channel-131,1764892800000,0.14798238240751815,ack
persistence,noble,14,14,transfer/channel-132,1764892800000,1019.122558,ack
persistence,cosmos,83,83,transfer/channel-24,1764892800000,1899.392639,ack
persistence,juno,0,0,transfer/channel-37,1764892800000,0,ack
persistence,gravity-bridge,0,0,transfer/channel-38,1764892800000,0,ack
persistence,injective,0,0,transfer/channel-41,1764892800000,0,ack
persistence,osmosis,166,166,transfer/channel-6,1764892800000,2752.2304016173966,ack
persistence,crescent,0,0,transfer/channel-68,1764892800000,0,ack
persistence,quicksilver,0,0,transfer/channel-73,1764892800000,0,ack
persistence,secret,6,6,transfer/channel-82,1764892800000,0.0410676173964181,ack
persistence,neutron,0,0,transfer/channel-136,1764892800000,0,ack
persistence,secret,0,0,transfer/channel-159,1764892800000,0,ack
persistence,sifchain,0,0,transfer/channel-26,1764892800000,0,ack
persistence,cosmos,0,0,transfer/channel-0,1764892800000,0,ack
persistence,cosmos,0,0,transfer/channel-1,1764892800000,0,ack
persistence,regen,0,0,transfer/channel-10,1764892800000,0,ack
persistence,jackal-1,0,0,transfer/channel-100,1764892800000,0,ack
persistence,migaloo-1,0,0,transfer/channel-102,1764892800000,0,ack
persistence,sommelier,0,0,transfer/channel-105,1764892800000,0,ack
persistence,odin-mainnet-freya,0,0,transfer/channel-103,1764892800000,0,ack
persistence,stargaze,0,0,transfer/channel-106,1764892800000,0,ack
persistence,regen,0,0,transfer/channel-104,1764892800000,0,ack
persistence,teritori,0,0,transfer/channel-107,1764892800000,0,ack
persistence,crypto-org,0,0,transfer/channel-11,1764892800000,0,ack
persistence,regen,0,0,transfer/channel-108,1764892800000,0,ack
persistence,starname,0,0,transfer/channel-109,1764892800000,0,ack
persistence,archway,0,0,transfer/channel-113,1764892800000,0,ack
persistence,terra,0,0,transfer/channel-112,1764892800000,0,ack
persistence,centauri-1,0,0,transfer/channel-114,1764892800000,0,ack
persistence,centauri-1,0,0,transfer/channel-118,1764892800000,0,ack
persistence,crypto-org,0,0,transfer/channel-12,1764892800000,0,ack
persistence,terra,0,0,transfer/channel-119,1764892800000,0,ack
persistence,noble,0,0,transfer/channel-128,1764892800000,0,ack
persistence,cosmos,0,0,transfer/channel-13,1764892800000,0,ack
persistence,agoric,0,0,transfer/channel-130,1764892800000,0,ack
persistence,dig-testnet-1,0,0,transfer/channel-18,1764892800000,0,ack
persistence,iris,0,0,transfer/channel-19,1764892800000,0,ack
persistence,akash,0,0,transfer/channel-20,1764892800000,0,ack
persistence,regen,0,0,transfer/channel-21,1764892800000,0,ack
persistence,sentinel,0,0,transfer/channel-22,1764892800000,0,ack
persistence,crypto-org,0,0,transfer/channel-23,1764892800000,0,ack
persistence,osmosis,0,0,transfer/channel-25,1764892800000,0,ack
persistence,microtick-1,0,0,transfer/channel-28,1764892800000,0,ack
persistence,starname,0,0,transfer/channel-27,1764892800000,0,ack
persistence,test-core-1,0,0,transfer/channel-29,1764892800000,0,ack
