chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
persistence,0.218059,5.7668437,25039784,0.125,126210957,244635314,3728849,71,149,220,6226102,0.24864839089666269,0.24864839089666269,1719,62081,persistence,0.01352501,3295703,2459,3308671,30891,0.01355494,0.01317603,0.00029608,2.238,75929,2.358,243674733,244633576,403308352,16.59,1621064068920,0.01154272,1764673378727,0.269,2.238,-2.214,-15.259,-48.699,-93.142,1765152000000
persistence,0.218311,5.7715986,25024804,0.125,126020400,244548230,3728849,70,150,220,6224315,0.24872582418627534,0.24872582418627534,1729,62081,persistence,0.01321341,3223590,2480,3235133,25717,0.01361038,0.01317562,-0.00038121,-2.804,-87461,-2.641,243674733,244547277,403308352,16.59,1621064068920,0.01154272,1764673378727,-0.097,-2.804,-13.576,-15.8,-46.432,-93.356,1765065600000
persistence,0.218043,5.7654162,25009826,0.125,126130337,244461200,3728849,70,150,220,6222510,0.24880261062192116,0.24880261062192116,1755,62081,persistence,0.01358166,3311050,2455,3321718,38507,0.01371865,0.01347929,-0.00006169,-0.452,-11839,-0.356,243674733,244459875,403308352,16.59,1621064068920,0.01154272,1764673378727,-0.123,-0.452,8.141,-22.014,-44.406,-92.872,1764979200000
persistence,0.218053,5.765534199999999,24994833,0.125,126079952,244374108,3728849,70,150,220,6220221,0.24886027444152156,0.24886027444152156,1755,62081,persistence,0.01363795,3322888,2475,3332412,31015,0.01377564,0.01312719,0.00042556,3.221,83635,2.582,243674733,244373161,403308352,16.59,1621064068920,0.01154272,1764673378727,-0.388,3.221,-10.985,-25.725,-43.85,-93.037,1764892800000
persistence,0.218039,5.8356427,24979847,0.125,126043266,244287299,3728849,70,150,220,6218489,0.24894023570280474,0.24894023570280474,1766,62073,persistence,0.01325663,3204212,2531,3212244,45373,0.01330708,0.01210397,0.00099879,8.148,217296,7.275,243674733,244285569,403308352,16.59,1621064068920,0.01154272,1764673378727,-0.052,8.148,-13.212,-46.787,-48.479,-93.109,1764806400000
persistence,0.219331,5.7548865,24964973,0.125,125256564,244200954,3728849,70,150,220,6216931,0.24902614555201,0.24902614555201,1757,62073,persistence,0.01225783,2986916,2579,2993355,33561,0.01236316,0.01154272,0.00048544,4.124,125878,4.4,243674733,244199996,403308352,16.59,1621064068920,0.01154272,1764673378727,-0.453,4.124,-11.475,-49.875,-55.09,-93.239,1764720000000
persistence,0.219742,5.7526817,24949958,0.125,124977738,244113833,3728849,70,150,220,6215800,0.2491306798993409,0.2491306798993409,1766,62064,persistence,0.01174306,2861038,2576,2866174,29993,0.01319422,0.01159176,-0.00145116,-10.998,-383168,-11.811,243674733,244112127,403308352,16.59,1621064068920,0.01159176,1764625543632,-0.146,-10.998,-26.923,-52.253,-57.242,-93.417,1764633600000
persistence,0.219729,5.757752399999999,24934943,0.125,124940117,244026737,3728849,70,150,220,6214392,0.24922423123245158,0.24922423123245158,1792,62046,persistence,0.01331321,3244206,2506,3248872,609870,0.01680942,0.01311162,-0.001684,-11.229,-401407,-11.011,243674733,244025148,403308352,16.59,1621064068920,0.01214488,1764358511742,1.219,-11.229,-16.586,-45.456,-50.729,-92.542,1764547200000
persistence,0.219948,5.7580286,24919940,0.125,124771446,243939741,3728849,70,150,220,6212361,0.24929277518324683,0.24929277518324683,1813,62046,persistence,0.01499573,3645613,2401,3649554,109408,0.01530701,0.01247344,0.00246298,19.652,591435,19.365,243674733,243938159,403308352,16.59,1621064068920,0.01214488,1764358511742,-0.932,19.652,-4.442,-38.794,-42.932,-91.431,1764460800000
persistence,0.220131,5.7568334000000005,24904931,0.125,124623362,243852743,3728849,70,150,220,6210707,0.2493765993569707,0.2493765993569707,1811,62043,persistence,0.01253356,3054178,2570,3056395,71486,0.01498718,0.01214488,-0.00242298,-16.2,-590588,-16.204,243674733,243851636,403308352,16.59,1621064068920,0.01214488,1764358511742,0.181,-16.2,-28.032,-49.227,-53.179,-92.338,1764374400000
persistence,0.220367,5.7860859,24889921,0.125,124445418,243765763,3728849,70,150,220,6208827,0.24945145466713212,0.24945145466713212,1861,62038,persistence,0.01495665,3644766,2417,3646108,161483,0.01619188,0.01476741,-0.0001119,-0.743,37553,1.041,243674733,243764500,403308352,16.59,1621064068920,0.01300379,1764090403259,-2.16,-0.743,-18.543,-43.88,-45.729,-90.884,1764288000000
persistence,0.227228,5.7799827,24875048,0.125,120645480,243679864,3728849,70,150,220,6206629,0.24951224214723122,0.24951224214723122,1870,62036,persistence,0.0150581,3670002,2426,3670065,346114,0.01535642,0.01341313,0.00128975,9.367,314862,9.384,243674733,243678897,403308352,16.59,1621064068920,0.01300379,1764090403259,1.58,9.367,-39.52,-44.79,-42.573,-90.865,1764201600000
persistence,0.229305,5.7588983,24860075,0.125,119510125,243593161,3728849,70,150,220,6204938,0.24959450041884426,0.24959450041884426,1880,62036,persistence,0.01376902,3355140,2462,3356058,197745,0.02199088,0.01300379,-0.00236389,-14.653,-510184,-13.199,243525008,243591650,403308352,16.59,1621064068920,0.01300379,1764090403259,-0.439,-14.653,-43.696,-49.533,-48.573,-92.243,1764115200000
