id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
154,PersistenceCore v1600,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1763475961000,1763476768000,1763908768000,undefined,24750030,persistence18dsfsljczehwd5yem9qq2jcz56dz3shp48j3zj,75610923.884937,0,0,0
153,Recover expired ibc client on Injective,/ibc.core.client.v1.MsgRecoverClient,PASSED,1761580572000,1761581869000,1762013869000,undefined,24421946,persistence1yvcrahdpctyg77l67cnnhqf4ef5j8kanfrjyf4,72249656.162307,0,0,538737.861695
152,Recover expired ibc client on Injective,/ibc.core.client.v1.MsgRecoverClient,FAILED,1761545153000,1761571151000,1762003151000,undefined,24415812,persistence1yvcrahdpctyg77l67cnnhqf4ef5j8kanfrjyf4,47383547.093871,20527382.449639,0,2701678.779658
151,Incentivization of Persistence DEX pools with stkXPRT rewards for November 2025,/cosmwasm.wasm.v1.MsgExecuteContract,PASSED,1761400014000,1761400014000,1761832014000,undefined,0,null,56946787.404029,350,0,4946539.081728
150,Recover expired ibc client on Injective,/ibc.core.client.v1.MsgRecoverClient,FAILED,1761047450000,1761067721000,1761499721000,undefined,24331104,persistence1yvcrahdpctyg77l67cnnhqf4ef5j8kanfrjyf4,65616412.844196,350,0,87.1
149,PersistenceCore v1500,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1760636057000,1760645291000,1761077291000,undefined,24259987,persistence18dsfsljczehwd5yem9qq2jcz56dz3shp48j3zj,65051988.42079,0,0,208.037212
148,Persistence DEX Vault Contract Upgrade to v122  Fix Query Pools Function for Defunct Pool Handling,/cosmwasm.wasm.v1.MsgMigrateContract,PASSED,1759901292000,1759901292000,1760333292000,undefined,24134466,persistence10h0xshu73ylnguew3uf9c7tv23nneuecfv50m5,66864011.636858,0,0,5271057.718166
147,PersistenceCore v1400,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1759511515000,1759511809000,1759943809000,undefined,24066947,persistence18dsfsljczehwd5yem9qq2jcz56dz3shp48j3zj,78578319.706894,65.01831,0,87.1
146,Incentivization of Persistence DEX pools with stkXPRT rewards for October 2025,/cosmwasm.wasm.v1.MsgExecuteContract,PASSED,1758696035000,1758696035000,1759128035000,undefined,0,null,73828958.366552,90,0,2531046.900375
145,PersistenceCore v1300,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1757075556000,1757076080000,1757508080000,undefined,23647196,persistence18dsfsljczehwd5yem9qq2jcz56dz3shp48j3zj,79260290.85617,65.01831,0,281.080599
144,Incentivization of Persistence DEX pools with stkXPRT rewards for September 2025,/cosmwasm.wasm.v1.MsgExecuteContract,PASSED,1756049655000,1756049655000,1756481655000,undefined,0,null,69048690.910941,0,1049.047571,6377964.024117
143,Proposal for 1M XPRT allocation to enhance Persistence DEX  Interop incentives,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1755525121000,1755525121000,1755957121000,undefined,23382093,persistence19665h6z2c27mz7cs3mmrs5kkan5jqq0d0ytuc6,73849932.248776,5.304231,0,7331563.408185
142,Incentivization of Persistence DEX pools with stkXPRT rewards for August 2025,/cosmwasm.wasm.v1.MsgExecuteContract,PASSED,1753426397000,1753426397000,1753858397000,undefined,0,null,71172657.955631,21.732995,0,5594908.78715
141,PersistenceCore v1200,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1752217065000,1752217507000,1752649507000,undefined,22815207,persistence18dsfsljczehwd5yem9qq2jcz56dz3shp48j3zj,90104406.758908,0,0,0.452019
140,Upgrade the Persistence Dex Vault contract for stkASSET deprecation process,/cosmwasm.wasm.v1.MsgMigrateContract,PASSED,1751740421000,1751740421000,1752172421000,undefined,22733329,persistence1eld9dngatavy9nqu9j0d5ratjvp2887zsnqp6x,74592643.245311,0,250,6060230.458067
139,Incentivization of Persistence DEX pools with stkXPRT rewards for July 2025,/cosmwasm.wasm.v1.MsgExecuteContract,PASSED,1750661745000,1750661745000,1751093745000,undefined,0,null,83005115.823168,0,0,7787791.502996
138,Reinvesting PCOL Rewards into XPRTPSTAKE Pool on Persistence DEX,Text,PASSED,1750075558000,1750079450000,1750511450000,undefined,22448521,persistence18dsfsljczehwd5yem9qq2jcz56dz3shp48j3zj,74126513.871308,0,0,10450267.075457
137,PersistenceCore v11210,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1749800201000,1749800201000,1750232201000,undefined,22402230,persistence15xgu3ueqlpakse8ma2u4dvq3y7n6zte8fpzlyn,83047281.718026,0,0,281.080599
136,Incentivization of Persistence DEX pools with stkXPRT rewards for June 2025,/cosmwasm.wasm.v1.MsgExecuteContract,PASSED,1748246527000,1748246527000,1748678527000,undefined,0,null,72634720.494964,0,165.240943,10853831.71731
135,Incentivization of Persistence DEX pools with stkXPRT rewards for May 2025,/cosmwasm.wasm.v1.MsgExecuteContract,PASSED,1745502769000,1745502769000,1745934769000,undefined,0,null,75633021.840147,0,0,4123280.656577
134,Disable Validator Bond Factor in LSM Module,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1743952597000,1743952597000,1744384597000,undefined,21414203,persistence1cn2z4fc2ay5ggj248hzlflse6y9l0rqxfq9e8m,83391954.056553,0,0,6448624.006188
