address,moniker,commission,rank,token,votingPower,timestamp
persistencevaloper1rq598kexpsdmhxq63qq74v3tf22u6yvlre4r00,Cosmostation,0.05,1,10340038,0.081895,1765152000000
persistencevaloper13frxdtypzz722wy3ylzlmh8tqcyje8lhzchtqp,GPooLio,0.05,2,10095967,0.079962,1765152000000
persistencevaloper1tzn8rk09ez2gm55sffpyzt7ccn5yzshpql8rug,Staking4All,0.05,3,5034166,0.039871,1765152000000
persistencevaloper1lcq5t7fmn8lfgadmaf5khgsnzrnsdqccefdv92,AUDITone,0.07,4,4888687,0.038719,1765152000000
persistencevaloper1t9evdw09hgt8p4z5at5325scwdhszka92vafvr,Allnodes,0.05,5,4405308,0.034891,1765152000000
persistencevaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pz9tqdf,polkachucom,0.05,6,3713205,0.029409,1765152000000
persistencevaloper19v94c3z7ckarwsum76kaagma0wqsqhh5qzp9t7,Validatus,0.05,7,3388149,0.026835,1765152000000
persistencevaloper1jkm09sq53ssqqrqactjfzv630t50ggxq9sr5va,avo,0.05,8,3314989,0.026255,1765152000000
persistencevaloper1yvcrahdpctyg77l67cnnhqf4ef5j8kanq8jeqv,HighStakesch  Daily Airdrops,0.05,9,3040738,0.024083,1765152000000
persistencevaloper1qtggtsmexluvzulehxs7ypsfl82yk5aznrr2zd,Smart Stake ,0.05,10,3033744,0.024028,1765152000000
persistencevaloper12czgp2x5xsq6tc2kv75ljxzl4vvtys53eyg0yj,Swiss Staking,0.05,11,2982948,0.023625,1765152000000
persistencevaloper16jd664rd04j5lyckykjedt7vrha7k822vlkxty, AutoStake  Slash Protected,0.05,12,2872571,0.022751,1765152000000
persistencevaloper1hqkd74jatslcc6le9snhun2lzjzqd4fs9448ga,Kitkat by EVIA,0.1,13,2781105,0.022027,1765152000000
persistencevaloper1tv288tg8fa0a53742949m4swph0x2mfg7jsc22,Citadelone,0.05,14,2736738,0.021675,1765152000000
persistencevaloper1nchnrey36nrvzjslscu0c3l8j0r4z92hlsz3gk,Crosnest,0.05,15,2693996,0.021337,1765152000000
persistencevaloper1f9p23ru4sw8p2044237ckfhwdpklrn0ahdaujg,BlueStake   100 insurance,0.05,16,2691624,0.021318,1765152000000
persistencevaloper14mpv6jvnze04glh4wx7h6j0gp609rafskjlclx,StakeRelax ,0.05,17,2601812,0.020607,1765152000000
persistencevaloper1hmugz9ge5kmfvfaf3ljjzz4phl0rd3mks00v9z,Stakelyio,0.05,18,2586286,0.020484,1765152000000
persistencevaloper1rxjmg3l0myaz6fzzvkum82lzyqz5acyxqqc08l,Stakewollecom  Autocompound,0.1,19,2502425,0.01982,1765152000000
persistencevaloper1hmwny3xptmzlhc5kvqgp89stpynywezsjvsmp5,PoS Node,0.05,20,2452786,0.019426,1765152000000
persistencevaloper1055u0llfcdrvr5uqajldxpnkzd2pangl4vjeuu,Architect Nodes,0.05,21,2449429,0.0194,1765152000000
persistencevaloper1l9m7l6l8k8g7ss7mgjwjgchpclrt74a2uyv879, CryptoCrew Validators IBCgang,0.05,22,2431686,0.019259,1765152000000
persistencevaloper1pcy2f3mrutccpt9gnzdujh5p8yp375dc697vdr,Leonoors Cryptoman,0.05,23,2369896,0.01877,1765152000000
persistencevaloper19js8g75nfmy9t9fjjqde7nktl4axyuuc292v57,RockX,0.05,24,2303291,0.018242,1765152000000
persistencevaloper1gc3ayjd9fq7ac3kacz4q3xlpupuw3ftetutwnj, Deep Fields,0.05,25,2245104,0.017782,1765152000000
persistencevaloper1y9h20gplhj55agqe3ntgch666yjx4qy0yr3mhu,Stakeflow,0.1,26,2237606,0.017722,1765152000000
persistencevaloper1rzauu3undh97yvdnj7wu2wwstm9wj8heeq2vcz,Cosmonaut Stakes ,0.1,27,2139594,0.016946,1765152000000
persistencevaloper1kd0qu2anfah4uswlm2c9gwmd99kne0g7d6e9pj,Autonomy  Formerly PrithviDevs ,0.05,28,2115870,0.016758,1765152000000
persistencevaloper16nfvpqmfeg8q6mzs246nwpcnjdkvsjr2gnuqvn,Atlassian ,0.1,29,2104529,0.016668,1765152000000
persistencevaloper1ah2f9ulrlwda3khs0wgdaj07xwjgczj0xx3e9u,Xenea,0.05,30,1956251,0.015494,1765152000000
persistencevaloper1n6zud2xv8cr26kdqdpmd6z0z3vxfy2j8m3nm0j,CommonwealthCollectiveio,0.05,31,1862603,0.014752,1765152000000
persistencevaloper1etueaqe9teaamq40pln9xrncwgfns8mtdfr02c,01node,0.05,32,1794367,0.014212,1765152000000
persistencevaloper1k8hgrfy2n55txekdm57z7na2k4fwjs8lp2r57k,SmartNodes,0.05,33,1746912,0.013836,1765152000000
persistencevaloper10sc98vt6saux8asexnsp2hgvkgmjmful8w5cuw,POSTHUMAN  StakeDrop,0.1,34,1691354,0.013396,1765152000000
persistencevaloper12h04lmculrelc2jeqhfd87688jsn8edflk5t5q,POSITIVA Ultra,0.1,35,1644975,0.013028,1765152000000
persistencevaloper1rurj7z2xgr9dk7xadep6ly84xqgzlc543eq58r,dForce,0.05,36,1614440,0.012787,1765152000000
persistencevaloper1v30sahg85jc9sxevn4mn2pm8wckpllrda87x3u,LoulouCrypto,0.05,37,1550705,0.012282,1765152000000
persistencevaloper1c386cr9kzxs83h60qsuwyv8f0gnl2y47t744sq,Kleomedes,0.1,38,1524128,0.012071,1765152000000
persistencevaloper1x6t7qgm8yrf3sxl5gl5uhv44rgxv2jccr8kf7t,Synergy Nodes,0.05,39,1381850,0.010944,1765152000000
persistencevaloper109yg6yhcyy5mfyteqmcn3pjca9nu9s39fxwh07,Strata One ,0.05,40,1373544,0.010879,1765152000000
persistencevaloper155u6atxp979xe7c5zlzz76u0fqlthtx9ptdxm3,OWALLET,0.05,41,1159733,0.009185,1765152000000
persistencevaloper1aje9dcrunpsq47nfj4lt84fp74n8nprsmfhwyg,Provalidator,0.1,42,1111680,0.008805,1765152000000
persistencevaloper1s4yf5ks8ynmealpa0qq7rc4psu89ym3v942e2s,StakePool,0.05,43,1037463,0.008217,1765152000000
persistencevaloper1up955mscr5l038qfn786uqjzcu9ruanhqqwsuv,NodesGuru,0.1,44,1033271,0.008184,1765152000000
persistencevaloper1tuedp72uprur89p550nvd2lf2dyy09kv9wz4tr,KalpaTech,0.05,45,1004187,0.007953,1765152000000
persistencevaloper1w0vwc82emz0ufyuvmvwps8s0lcyxl39nsct0w0,Vault Staking,0.07,46,937190,0.007423,1765152000000
persistencevaloper1p509xkuc9a085rjetrp6gs2q6ca2246r59k9q3,MaxFoton nodes,0.08,47,732528,0.005802,1765152000000
persistencevaloper1qz6xsskhyyd6mrqns2e3empull7el0gqp5dkru,COSMSTAKE,0.05,48,654342,0.005183,1765152000000
persistencevaloper1jqthhp2py5wkvc2aa84psldrrtdwph0rckxqrx,DokiaCapital,0.05,49,568580,0.004503,1765152000000
persistencevaloper1fgklp9hemczlwtqp9jqzq3xahh38hznxatty38,Ledger by Chorus One,0.1,50,552599,0.004377,1765152000000
persistencevaloper1hr0qkndaquar7tdjr2s4ngvd7w49mc433f6c7p,SG1,0.05,51,491520,0.003893,1765152000000
persistencevaloper1adrvp3ckqjwlszj9z3mfndp3d0xku497pnhnyd,Sunsetting  Please redelegate,0.05,52,417191,0.003304,1765152000000
persistencevaloper1x3ecxjgg6mlq34g3pm7dyuz8n4jz2exxx7eh0n,Coinage x DAIC,0.05,53,400547,0.003172,1765152000000
persistencevaloper1ytlms83e2qjan94y0nxl6vlm2gjgxp44z6s636,BlackNodes,0.05,54,329009,0.002606,1765152000000
persistencevaloper1q9wmhxajlfg8jun9994t8sgevvypul6hm60qza,Zenscape,0.05,55,307331,0.002434,1765152000000
persistencevaloper1zmw23x2udyw7yk8uett77ktpc6vqvu5420wq2k,StakeTown,0.1,56,276036,0.002186,1765152000000
persistencevaloper1gam85ccyykxzvkqyv8tqdgktnp5czwx2llupnk,EthicalNode,0.1,57,274322,0.002173,1765152000000
persistencevaloper1r7gdc8ag4ktmrvhed2xp09n3klrjuznwdzsru2,StakeLabzone,0.05,58,199041,0.001576,1765152000000
persistencevaloper1psk9f4ll6q2vehkqu3g4ya2ch006ht8z5w9p6m,Earn Network,0.05,59,196086,0.001553,1765152000000
persistencevaloper1wzn3djmqn2wq6apjg50xnlhuwarwuv99q9y3yn,Chainbase Staking,0.1,60,183708,0.001455,1765152000000
persistencevaloper1yk3j9m9z344fj02lctwtsjns2kyz4vshpqu32n,Atomstaking,0.1,61,150956,0.001196,1765152000000
persistencevaloper17hjdqkdlcpjwescklzcwzf7evtdhm4g2yccswh,HBStake,0.82,62,127407,0.001009,1765152000000
persistencevaloper139m55980vfzvg2l8qndg0ps700zx7fa88dkthg,BitStack1,0.05,63,126183,0.000999,1765152000000
persistencevaloper1sr4x8cs5aelettzrhwfqdarj8jzy0jhmeestyj,shutting down please redelegate,0.05,64,117564,0.000931,1765152000000
persistencevaloper155e333y5pvv3q7h2c9cf620lsc04m2vmvh2wtx,Shutting down please redelegate,0.05,65,110332,0.000874,1765152000000
