chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
provenance,0,4.3347538,27920069,0,16608104870,100000000000,20737324,106,22,128,16147611,0.5783514002060668,0.5783514002060668,2247,34651,hash-2,0.02632853,1369447161,74,2632852731,2636.46,0.02906707,0.02491589,-0.00114041,-4.152,-58200685,-4.077,52013815466,100000000000,100000000000,0.060147,1757868761627,0.00976953,1764887133898,0.025,-4.152,13.314,0.577,-9.948,0,1765152000000
provenance,0,4.3438117,27900140,0,16608287865,100000000000,20716011,106,22,128,16142327,0.5785751254294781,0.5785751254294781,2212,34605,hash-2,0.0274778,1427725209,73,2746894109,7897.3,0.02895309,0.02594439,-0.00040603,-1.456,-19434882,-1.343,51975982767,100000000000,100000000000,0.060147,1757868761627,0.00976953,1764887133898,-0.277,-1.456,8.97,-0.747,8.624,0,1765065600000
provenance,0,4.3554635,27880266,0,16598622869,100000000000,20686858,106,22,128,16135826,0.578754377738003,0.578754377738003,2184,34547,hash-2,0.02788384,1447162134,72,2788433899,107960,0.03172845,0.0215069,-0.00310843,-10.03,-160081629,-9.96,51898742681,100000000000,100000000000,0.060147,1757868761627,0.00976953,1764887133898,0.143,-10.03,16.082,7.048,3.07,0,1764979200000
provenance,0,4.5522992,27860431,0,16598035583,100000000000,20619831,106,22,128,16123378,0.578719618515593,0.578719618515593,2184,34547,hash-2,0.03099227,1607243763,69,3099227030,125390,0.03099227,0.00976953,0.00929601,42.846,483357852,43.008,51859503894,100000000000,100000000000,0.060147,1757868761627,0.00976953,1764887133898,35.74,42.846,21.526,24.682,13.284,0,1764892800000
provenance,0,4.3998233,27841122,0,16598018976,100000000000,20614452,106,22,128,16104809,0.5784540220756907,0.5784540220756907,2160,34469,hash-2,0.02169115,1124076925,98,2169058666,10198.49,0.02523688,0.02160559,-0.00352833,-13.991,-181976504,-13.933,51823260591,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,-0.074,-13.99,-1.845,-20.488,-23.378,0,1764806400000
provenance,0,4.4090619,27821523,0,16598007439,100000000000,20608825,106,22,128,16073650,0.5777415564201859,0.5777415564201859,2173,34445,hash-2,0.02522019,1305885408,81,2521719546,12474.41,0.02637029,0.02215319,0.00179006,7.64,92965947,7.665,51785513202,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,-0.253,7.64,-8.466,-16.273,-11.41,0,1764720000000
provenance,0,4.3956366000000004,27801912,0,16598152259,100000000000,20603662,106,22,128,16049759,0.5772897561865529,0.5772897561865529,2199,34421,hash-2,0.02343013,1212452258,84,2343013121,10957.34,0.02544081,0.02063481,-0.00012541,-0.532,-5595719,-0.459,51747565882,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,-1.771,-0.532,2.576,-21.622,-15.448,0,1764633600000
provenance,0,4.3825174,27782240,0,16596561521,100000000000,20567038,106,22,128,16034068,0.5771337372364503,0.5771337372364503,2200,34393,hash-2,0.02355543,1218047977,88,2355543256,920.41,0.02523644,0.02284256,-0.00168101,-6.661,-85981507,-6.594,51709853930,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,1.547,-6.661,-10.017,-21,-20.125,0,1764547200000
provenance,0,4.4044341000000005,27762560,0,16596558999,100000000000,20554810,106,22,128,16020885,0.5770680009336315,0.5770680009336315,2185,34264,hash-2,0.02523644,1304029484,81,2523644459,9198.54,0.02757246,0.0221479,0.00126976,5.298,66479139,5.372,51672472281,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,0.073,5.298,-8.843,-16.271,-15.365,0,1764460800000
provenance,0,4.3861433,27742880,0,16596539658,100000000000,20537789,106,22,128,16005868,0.5769360643163218,0.5769360643163218,2209,34263,hash-2,0.02396765,1237550344,86,2396765156,21596,0.02596713,0.02209021,-0.0014126,-5.566,-72000044,-5.498,51634192907,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,0.02,-5.566,-0.803,-16.794,-27.296,0,1764374400000
provenance,0,4.4016544,27723192,0,16596237118,100000000000,20523658,106,22,128,15994439,0.57693352915494,0.57693352915494,2210,34253,hash-2,0.02538026,1309550388,80,2538025610,1793.31,0.02573639,0.02220307,0.00315017,14.171,163420996,14.259,51597209373,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,-0.171,14.171,-3.081,-9.575,-21.712,0,1764288000000
provenance,0,4.403378699999999,27703553,0,16596188091,100000000000,20511705,106,22,128,15979063,0.5767874972571208,0.5767874972571208,2202,34243,hash-2,0.02223009,1146129392,95,2222961736,22592,0.02764756,0.02042752,-0.00530195,-19.257,-272344727,-19.2,51558664880,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,0.009,-19.257,-18.512,-30.23,-34.821,0,1764201600000
provenance,0,4.401918,27683935,0,16596254238,100000000000,20468252,106,22,128,15951864,0.57621374996004,0.57621374996004,2208,34226,hash-2,0.02753204,1418474118,75,2753204491,22692,0.02755324,0.02313007,0.00347454,14.443,179905625,14.525,51520841369,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,-0.016,14.443,-8.598,-9.968,-19.42,0,1764115200000
provenance,0,4.4085425,27664318,0,16596188969,100000000000,20419625,106,22,128,15928776,0.5757877710919893,0.5757877710919893,2208,34226,hash-2,0.02405751,1238556547,83,2405750682,8697.74,0.02530076,0.02276325,-0.00090589,-3.629,-47626581,-3.703,51483163103,100000000000,100000000000,0.060147,1757868761627,0.01378736,1749035756153,5.26,-3.629,-18.063,-20.062,-26.586,0,1764028800000
