id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
96,Upgrade bouvardia for v1260,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1764627093000,1764627093000,1764799893000,undefined,27800449,pb1yquakyj3p68ugvwmxrw53uv58rr2lv4xzt6ue2,5326052715.747029,0,0,1492145642.226467
95,Increase max mintable amount,/provenance.marker.v1.MsgUpdateParamsRequest,PASSED,1763592552000,1763592552000,1763678952000,undefined,27565187,pb1yquakyj3p68ugvwmxrw53uv58rr2lv4xzt6ue2,6582358317.736909,0,0,4186761520.454611
94,Remove added msg fee from MsgAddAttributeRequest,/provenance.msgfees.v1.MsgRemoveMsgFeeProposalRequest,PASSED,1759431629000,1759431629000,1759604429000,undefined,0,null,4840001312.32673,0,0,2212707707.919962
93,Unlock hash account for retail proven holder,/provenance.hold.v1.MsgUnlockVestingAccountsRequest,PASSED,1752858637000,1752859152000,1753031952000,undefined,0,null,2847888884.520973,25014898.09746864,0,4672752517.027053
92,Upgrade alyssum for v1250,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1752595239000,1752595239000,1752768039000,undefined,0,null,4932789789.677052,0,0,3934253979.7527227
91,Create Figure CBL Market,/provenance.exchange.v1.MsgGovCreateMarketRequest,PASSED,1750883544000,1750887317000,1751060117000,undefined,0,null,6998595238.397064,0,0,0
90,Upgrade zomp for v1240,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1749588553000,1749588553000,1749761353000,undefined,0,null,5384111531.660763,0,0,1594096692.1423247
89,Upgrade yellow for v1230 with hash lockup,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1747773087000,1747773513000,1747946313000,undefined,0,null,6544819721.248899,20240301.803021144,0,4277387868.920721
88,Figure Connect Market,/provenance.exchange.v1.MsgGovCreateMarketRequest,PASSED,1744829341000,1744829341000,1745002141000,undefined,0,null,5877972585.528132,0,0,0
87,Upgrade xenon for v1220,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1744665465000,1744665526000,1744838326000,undefined,0,null,6497440144.040876,0,0,0
86,Provenance Blockchain Tokenomics Upgrade,Text,PASSED,1742227524000,1742227524000,1742400324000,undefined,0,null,5317169850.1805315,54306,0,1210164157.4858928
84,Securitization Smart Contract,/cosmwasm.wasm.v1.MsgStoreCode,PASSED,1736891857000,1736891857000,1737064657000,undefined,0,null,8382867125.260583,0,0,70907918.03906631
83,Upgrade wisteria for v1210,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1736806892000,1736808388000,1736981188000,undefined,0,null,8636375437.836863,0,0,0
82,Increase Validator Minimum and Maximum Commissions,Text,PASSED,1736181260000,1736181260000,1736354060000,undefined,0,null,6977782995.090153,2504.20667322,0,222940698.61025614
81,Upgrade Asset Classification Smart Contract to v341,/cosmwasm.wasm.v1.MsgStoreCode,PASSED,1732055724000,1732125198000,1732297998000,undefined,20340835,pb1j0awflhevrz9mz2pxc07dszjxz5cscr63pehgd,6138676292.227328,0,0,0
80,Upgrade viridian for v1201,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1731368229000,1731368310000,1731541110000,undefined,20182870,pb1yquakyj3p68ugvwmxrw53uv58rr2lv4xzt6ue2,8242524856.5689535,0,0,0
79,Upload Group Manager Approval Smart Contract v130,/cosmwasm.wasm.v1.MsgStoreCode,PASSED,1730388261000,1730388893000,1730561693000,undefined,19955103,pb122helvp42nc5mx0wfahc8wuauc4wjryafrrsr6,7404985665.686594,0,0,0
78,ATS Smart Contract Update v101,/cosmwasm.wasm.v1.MsgStoreCode,PASSED,1725992543000,1725992543000,1726165343000,undefined,18910383,pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca,7089594693.681337,0,0,0
77,Forward Market Contract Update v100,/cosmwasm.wasm.v1.MsgStoreCode,PASSED,1724784882000,1724784882000,1724957682000,undefined,18624078,pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca,7322097772.54528,21.431715826,0,0
76,Forward Market Contract Update v012,/cosmwasm.wasm.v1.MsgStoreCode,PASSED,1722890533000,1722890533000,1723063333000,undefined,18172844,pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca,5059108965.46866,0,0,0
75,Upgrade umber for v1190,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1721678506000,1721679251000,1721852051000,undefined,17888758,pb1yquakyj3p68ugvwmxrw53uv58rr2lv4xzt6ue2,7504158442.109609,0,0,0
74,provenancemarkerv1MsgUpdateForcedTransferRequest,/provenance.marker.v1.MsgUpdateForcedTransferRequest,PASSED,1717522276000,1717522596000,1717695396000,undefined,16964808,pb1ulr82fgkqxzsv2tqflq0nhndjs9m67d4fxvcla,6311735827.114969,0,0,0
73,Forward Market Smart Contract,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1715007182000,1715007182000,1715179982000,undefined,16404321,pb1zsherr3eat6gvq9ptg3m0n3dj33xf2mwevk3ca,5140005828.341242,0,0,98000115.8
72,Store the Funding Trading Bridge Smart Contract v101 Code on Mainnet,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1713964935000,1713964935000,1714137735000,undefined,16182256,pb175gx39t90xyg88fx0jqwrfp5ppusaekrl0cggk,7137619474.398556,48.608442085,0,0
71,provenanceexchangev1MsgGovCreateMarketRequest,/provenance.exchange.v1.MsgGovCreateMarketRequest,PASSED,1712272049000,1712321787000,1712494587000,undefined,15841214,pb1ktgsj6ap4cfq45g5dyw5vj47zhcrd6cl9p6z43,6028119128.013052,0,0,98000115.8
