address,moniker,commission,rank,token,votingPower,timestamp
pbvaloper193mx3wsed089rnmuf0t9080qlefgyf60cehfz9,Blockdaemon,0.6,1,864647919,0.052062,1765152000000
pbvaloper1d7yum2cxwkhmmuxa096prlv5gawjxw0gc2sykq,Figure,0.6,2,810759491,0.048817,1765152000000
pbvaloper1g0ksqyf6rehy5j8hzsq34tdl9kkc8cetgdgmat,Figment,0.6,3,800734177,0.048213,1765152000000
pbvaloper19las05t2lhx88ku07qesxdnlpmzcj3c6dne6wz,NU,0.6,4,767039187,0.046185,1765152000000
pbvaloper1j9ad0elz28djyz58qv6tlst2ytg5xschh7ywxk,NU2,0.6,5,721836855,0.043463,1765152000000
pbvaloper1n3r4awn30h65v3g4vudc3flec6slk0m93zldqp,Radix,0.6,6,720716813,0.043395,1765152000000
pbvaloper1kc99epky40lvjclxhj7f4em7jtk0qns8hhk2px,Osetra,0.6,7,700351605,0.042169,1765152000000
pbvaloper13905qnf0mc8f8h3dawsq0894ded0ct83f66l56,Cosmostation,0.6,8,699777134,0.042135,1765152000000
pbvaloper1n2cmecmtd6xlgaw3sxy4m6pkfxjj2tfz9vl9v0,MP Validator One,0.6,9,650710610,0.03918,1765152000000
pbvaloper1zkqvgkxuhwmlxlgyde2s42ge9kdy0d7d520ukk,Little Resonance,0.6,10,605719770,0.036471,1765152000000
pbvaloper17yx96jtu0r24jp8gyxc8y8pj0lgvcz964w2gyg,Treestaker,0.6,11,601985138,0.036246,1765152000000
pbvaloper16xt2xdmunjmye2y2yjrxmc05s7r2yzhtycg3jd,Provenance West,0.6,12,546648386,0.032915,1765152000000
pbvaloper157vsjx6f3pvd0gszvh6q6emc04trpznwqn8wap,arbiter34  Figure,0.6,13,536358694,0.032295,1765152000000
pbvaloper1txptqv99rde4vfqvjd8c552apa3g9d8y0ddpje,Lakestar Europe Tech Solutions,0.6,14,533121504,0.0321,1765152000000
pbvaloper1x3v3kgvg4p5l007gjnmckgfmvw87tvd8df50a0,Provenance East,0.6,15,468654437,0.028218,1765152000000
pbvaloper1jxv0u20scum4trha72c7ltfgfqef6nsc5nn6cf,Ping,0.6,16,447672174,0.026955,1765152000000
pbvaloper10lkmc6kvym23ykylgzpghalgwnw33w0cq8mu8m,Validator Prime,0.6,17,433313093,0.02609,1765152000000
pbvaloper1crecuxdshhqzj90ystksv02mmccqtqyhpzq3m8,Validation Cloud,0.6,18,399099814,0.02403,1765152000000
pbvaloper1p33y32wakunngawyh6790cgwamxa44eqg0wrdj,ftprodvalidator,0.6,19,348729079,0.020998,1765152000000
pbvaloper1wh4yc8q7jpxg5tlh94yafjeza7a6nlmd85jhre,HighStakesch  Daily Airdrops,0.6,20,344524896,0.020744,1765152000000
pbvaloper1966q3gqs5gdhcggkg0754rg4qwave3lmsrt3ju,NUVA,0.6,21,280568733,0.016893,1765152000000
pbvaloper1uglzzcxuttys5a2gcts07c608hu6ujncdcxm2n,Citadelone,0.6,22,250386628,0.015076,1765152000000
pbvaloper10npugxrlpyt9jlqr5ns5z30n5wgaltvylrp4yz,ftprodvalidator2,0.6,23,240674001,0.014491,1765152000000
pbvaloper1ljkpfgxr5cut9u2wfdtfyuhuz5vz7uxm2faqg5,Alien,0.6,24,207154865,0.012473,1765152000000
pbvaloper1s9f4e20xtqrk9tdfhhpavrf26cqjr4eyt3yjqg,DSRV,0.6,25,200012050,0.012043,1765152000000
pbvaloper1g0ej8awgp9nhk07ezen0m6gvkfkyp47a4u6qp6,Boba1,0.6,26,171048139,0.010299,1765152000000
pbvaloper1lzgdym2g6vhp2w7298hvmcdv6aatxeajrj694m,Cosmonaut Stakes ,0.6,27,140006020,0.00843,1765152000000
pbvaloper12kx756pvdtfq76fndp5ytepks4hq94rrw3f8t8,SHUTDOWN ON 31 DECEMBER 2024,0.5,28,125000020,0.007526,1765152000000
pbvaloper1jjlna8ge2wj9v2xp8ta7xxclgpskjm8uqjkyy4,Blockval  Restake,0.6,29,88140150,0.005307,1765152000000
pbvaloper1k8jkvp8cd8zxsej2z25up5ylvnxlvp2ep903hk, AutoStake  Slash Protected,0.6,30,71357792,0.004297,1765152000000
pbvaloper18p0yht6025kzj0lwle3lqf2maa9x382q8wh9mr,CryptoNet,0.1,31,71250009,0.00429,1765152000000
