chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
regen,0.168533,5.5968086999999995,24536279,0.1,108469057,220247839,3333390,21,110,131,1440913,0.05872581576040931,0.05872581576040931,857,18331,regen,0.00916035,1358712,3366,1358712,1830.7,0.00944931,0.00891908,-0.00004385,-0.476,-6773,-0.496,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.383,-0.476,0.572,-3.757,-13.184,-71.175,1765152000000
regen,0.168473,5.5930024,24520840,0.1,108469149,220169862,3320133,21,110,131,1440491,0.058745581309612556,0.058745581309612556,857,18331,regen,0.00919955,1365484,3359,1365484,337.71,0.00931812,0.00900734,0.00013068,1.441,20077,1.492,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.434,1.441,-0.594,1.608,-5.009,-72.035,1765065600000
regen,0.168415,5.6006254,24505391,0.1,108467934,220091862,3306873,21,110,131,1440069,0.05876539574496077,0.05876539574496077,856,18331,regen,0.00906887,1345407,3390,1345407,4763.86,0.00937477,0.00874843,-0.00004563,-0.501,-6770,-0.501,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.172,-0.501,-3.899,-1.122,-4.999,-67.256,1764979200000
regen,0.1622,5.6095627,24489971,0.1,112583965,220014036,3293643,21,110,131,1439611,0.05878369557889636,0.05878369557889636,856,18331,regen,0.00911181,1352177,3404,1352177,6382.5,0.00961353,0.00884274,-0.00023047,-2.467,-40091,-2.88,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.239,-2.467,-6.55,-2.097,-1.327,-61.794,1764892800000
regen,0.162142,5.6026425,24474569,0.1,112584396,219936328,3280432,21,110,131,1439155,0.05880205694327038,0.05880205694327038,859,18327,regen,0.00938474,1392267,3389,1392267,1676.31,0.00947796,0.00889332,0.00047987,5.389,71191,5.389,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.595,5.389,-8.514,1.524,-1.183,-52.267,1764806400000
regen,0.162099,5.6125172,24459146,0.1,112574476,219858542,3502808,21,110,131,1438697,0.05882041016477026,0.05882041016477026,877,18327,regen,0.00890096,1322963,3422,1322963,4130.39,0.00932211,0.00855277,0.00020016,2.3,32161,2.492,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.453,2.3,-17.026,2.276,-13.261,-52.828,1764720000000
regen,0.162332,5.6294870999999995,24443759,0.1,112373359,219780965,3489622,21,110,131,1438250,0.058839149903253424,0.058839149903253424,863,18325,regen,0.00869452,1289887,3387,1289887,5479.28,0.00910229,0.00841647,-0.00017207,-1.941,-24393,-1.856,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.689,-1.941,-11.104,-4.16,-15.955,-51.028,1764633600000
regen,0.162279,5.622486299999999,24428416,0.1,112370422,219703631,3476474,21,110,131,1437810,0.05885809378716983,0.05885809378716983,861,18320,regen,0.00886789,1320534,3438,1320534,3478.94,0.00938246,0.00885906,-0.00031568,-3.437,-41740,-3.064,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-1.529,-3.437,-7.025,5.907,-3.487,-50.747,1764547200000
regen,0.162235,5.6241083,24413051,0.1,112361210,219626225,3463315,21,110,131,1437327,0.05887535318711291,0.05887535318711291,868,18320,regen,0.00918357,1362274,3404,1362274,2923.09,0.00956318,0.00910783,-0.00022434,-2.385,-37759,-2.697,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.504,-2.385,1.551,6.29,3.035,-45.916,1764460800000
regen,0.162179,5.6219152,24397684,0.1,112360841,219548830,3450156,21,110,131,1436890,0.058894524578644435,0.058894524578644435,882,18320,regen,0.00943708,1400032,3377,1400032,4940.26,0.01005324,0.00928441,-0.00061616,-6.129,-91337,-6.124,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.819,-6.129,2.892,2.918,-0.221,-42.478,1764374400000
regen,0.162135,5.6218693,24382315,0.1,112351356,219471453,3437000,21,110,131,1436455,0.05891380699494695,0.05891380699494695,885,18320,regen,0.01005324,1490305,3316,1490305,3285.9,0.01057153,0.00972263,0.00010771,1.083,14322,0.97,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,3.127,1.083,7.985,19.824,19.03,-37.873,1764288000000
regen,0.162082,5.7438525,24366944,0.1,112348407,219394093,3423849,21,110,131,1435989,0.05893184635709755,0.05893184635709755,887,18320,regen,0.00994553,1475983,3314,1475983,4203.54,0.01084971,0.00992239,-0.00082101,-7.626,-122689,-7.674,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-3,-7.626,10.584,-5.646,16.086,-34.917,1764201600000
regen,0.155339,5.6711811999999995,24351921,0.1,117185162,219318996,3411003,21,110,131,1435562,0.05895066758799029,0.05895066758799029,900,18320,regen,0.01076653,1598672,3210,1598672,8790.5,0.01093858,0.00886408,0.00081956,8.239,122994,8.335,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.215,8.239,23.713,3.155,39.974,-30.231,1764115200000
regen,0.15496,5.6643657,24336656,0.1,117431116,219242222,3397953,21,110,131,1435099,0.05896861918909484,0.05896861918909484,900,18320,regen,0.00994697,1475501,3284,1475501,5489.67,0.00998451,0.00903188,0.00064236,6.904,95792,6.943,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,1.702,6.904,9.646,-7.258,25.536,-36.023,1764028800000
regen,0.154919,5.6242532,24321367,0.1,117420740,219165360,3384881,21,110,131,1434628,0.05898632260267279,0.05898632260267279,917,18319,regen,0.00930461,1379708,3327,1379708,3832.34,0.00954353,0.00895252,0.00027392,3.033,39964,2.983,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-2.446,3.033,11.122,-13.385,14.764,-40.417,1763942400000
regen,0.154872,5.627366599999999,24306005,0.1,117415281,219088158,3371756,21,110,131,1434212,0.05900648831430751,0.05900648831430751,935,18319,regen,0.0090307,1339820,3351,1339820,4006.95,0.00923788,0.00875514,-0.000045,-0.496,-2886,-0.215,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.14,-0.496,4.521,-12.788,13.984,-34.795,1763856000000
regen,0.154819,5.6228027,24290648,0.1,117413721,219010999,3358639,21,110,131,1433770,0.0590255970116565,0.0590255970116565,929,18316,regen,0.0090757,1342706,3354,1342706,5122.43,0.00933047,0.00864027,-0.00007143,-0.781,-14312,-1.055,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,0.909,-0.781,-1.023,-13.994,11.583,-37.201,1763769600000
regen,0.154741,5.6339377,24275289,0.1,117431793,218933861,3345525,21,110,131,1433357,0.0590459293811085,0.0590459293811085,928,18316,regen,0.00923991,1375707,3379,1375707,5675.89,0.01006371,0.00895137,-0.00030667,-3.212,-40571,-2.865,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,-0.721,-3.212,10.13,-4.006,10.333,-50.377,1763683200000
regen,0.154688,5.6250803,24259945,0.1,117430636,218856826,3332430,21,110,131,1432883,0.05906373654185943,0.05906373654185943,932,18316,regen,0.00954658,1416277,3392,1416277,7373.71,0.00949119,0.00832036,0.00083669,9.606,124281,9.619,148354422,148354422,0,5.07,1631550222428,0.00559223,1760132211842,3.311,9.606,-9.43,0.005,13.093,-37.55,1763596800000
