timestamp,blockCount,txCount
1765065600000,15439,421
1764979200000,15449,423
1764892800000,15421,458
1764806400000,15401,456
1764720000000,15423,457
1764633600000,15387,448
1764547200000,15344,440
1764460800000,15364,483
1764374400000,15367,437
1764288000000,15369,435
1764201600000,15372,465
1764115200000,15023,428
1764028800000,15265,463
1763942400000,15288,471
1763856000000,15361,416
1763769600000,15358,440
1763683200000,15359,415
1763596800000,15344,474
1763510400000,15369,427
1763424000000,15304,460
1763337600000,15352,412
1763251200000,15387,452
1763164800000,15397,502
1763078400000,15396,419
1762992000000,15262,521
1762905600000,15255,506
1762819200000,15156,445
1762732800000,15189,475
1762646400000,15218,479
1762560000000,15214,446
1762473600000,15200,526
1762387200000,15168,466
1762300800000,15233,436
1762214400000,15190,455
1762128000000,15257,428
1762041600000,15265,472
1761955200000,15238,465
1761868800000,15229,456
1761782400000,15236,430
1761696000000,15257,476
1761609600000,15268,515
1761523200000,15256,486
1761436800000,15196,519
1761350400000,15275,495
1761264000000,15282,469
1761177600000,15301,492
1761091200000,15285,507
1761004800000,15301,448
1760918400000,15319,434
1760832000000,15319,436
1760745600000,15319,440
1760659200000,15312,437
1760572800000,15300,476
1760486400000,15313,465
1760400000000,15197,440
1760313600000,15226,511
1760227200000,15302,453
1760140800000,15278,448
1760054400000,15258,483
1759968000000,15206,439
1759881600000,15250,466
1759795200000,15231,521
1759708800000,15259,508
1759622400000,15261,477
1759536000000,15251,491
1759449600000,15260,478
1759363200000,15268,549
1759276800000,15278,627
1759190400000,15278,501
1759104000000,15273,556
1759017600000,15226,468
1758931200000,15237,440
1758844800000,15248,434
1758758400000,15261,444
1758672000000,15136,398
1758585600000,15228,362
1758499200000,15253,214
1758412800000,15285,222
1758326400000,15259,176
1758240000000,15259,260
1758153600000,15276,305
1758067200000,15272,213
1757980800000,15298,228
1757894400000,15320,185
1757808000000,15323,212
1757721600000,15314,181
1757635200000,15303,209
1757548800000,15250,172
1757462400000,15257,164
1757376000000,14776,206
1757289600000,14976,248
1757203200000,14966,216
1757116800000,15007,150
1757030400000,15046,170
1756944000000,15072,259
1756857600000,15076,394
1756771200000,15070,195
1756684800000,15079,163
1756598400000,15102,173
1756512000000,15099,196
1756425600000,15115,164
1756339200000,15102,298
1756252800000,15127,218
1756166400000,15139,221
1756080000000,15162,152
1755993600000,15167,149
1755907200000,15153,167
1755820800000,15147,155
1755734400000,15162,149
1755648000000,15163,128
1755561600000,15197,172
1755475200000,15204,173
1755388800000,15172,206
1755302400000,15182,176
1755216000000,15184,195
1755129600000,15193,221
1755043200000,15192,209
1754956800000,15149,196
1754870400000,15142,219
1754784000000,15137,197
1754697600000,15142,219
1754611200000,15215,206
1754524800000,15216,208
1754438400000,15209,222
1754352000000,15097,227
1754265600000,15147,252
1754179200000,15186,182
1754092800000,15192,207
1754006400000,15175,195
1753920000000,15145,198
1753833600000,15128,206
1753747200000,15096,224
1753660800000,15058,214
1753574400000,15056,232
1753488000000,15049,214
1753401600000,15046,233
1753315200000,15039,188
1753228800000,15003,179
1753142400000,14552,267
1753056000000,14972,277
1752969600000,14990,271
1752883200000,14985,257
1752796800000,14982,231
1752710400000,14984,219
1752624000000,14964,265
1752537600000,14886,227
1752451200000,14883,311
1752364800000,14913,271
1752278400000,14890,295
1752192000000,14939,323
1752105600000,14928,256
1752019200000,14961,287
1751932800000,14945,275
1751846400000,14408,208
1751760000000,14973,218
1751673600000,15003,159
1751587200000,15016,192
1751500800000,15038,208
1751414400000,15031,199
1751328000000,14985,212
1751241600000,15004,248
1751155200000,15012,241
1751068800000,15023,206
1750982400000,15004,212
1750896000000,14911,168
1750809600000,14849,199
1750723200000,14852,225
1750636800000,14852,218
1750550400000,14850,205
1750464000000,14890,257
1750377600000,14887,171
1750291200000,14854,170
1750204800000,14867,232
1750118400000,14883,189
1750032000000,14904,199
1749945600000,14890,212
1749859200000,14913,203
1749772800000,14922,170
1749686400000,14933,242
1749600000000,14933,223
