id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
60,LiquidityDAO Emissions Transfer 4  Oct 21Nov 26 2025,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1764194729000,1764194729000,1764799529000,undefined,24365730,regen1guxj7n4twyal7kgznlwaa25lpuhsl73u3hfxsq,70914864.722379,0,0,183.290121
59,Engage XInfluencers  Phase 1  Pilot,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1762885529000,1762885529000,1763490329000,undefined,24133700,regen1tp9u796xh6zzl4mvsn042u2hycveltepzj5utw,71550836.658837,62.821775,0,1175.27283
58,LiquidityDAO Emissions Transfer 3  Sept 13Oct 21 2025,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1761106435000,1761106435000,1761711235000,undefined,0,null,69500237.545835,0.010409,0,0
57,Request for the funding for the Tokenomics working group in Q4,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1758200182000,1758200182000,1758804982000,undefined,23306637,regen13htuznz7xtar7xrgwgww3lrcefw774p27xzgel,58515848.287009,0,0,11106524.940643
56,Revive REGENAXELAR client,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1758095054000,1758095568000,1758700368000,undefined,23288053,regen13r30ey609ztqvz3erhceye7cve4nraqlmxmzcu,79470213.825393,0,0,0
55,LiquidityDAO Emissions Transfer 2  Aug 26  Sep 13 2025,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1757813074000,1757816883000,1758421683000,undefined,23238082,regen1guxj7n4twyal7kgznlwaa25lpuhsl73u3hfxsq,73305308.564044,0,0,0
54,LiquidityDAO Emissions Transfer 1 Aug 1126 2025,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1756275636000,1756275636000,1756880436000,undefined,22969449,regen1vpxm32hark2kh4l6jcrn2c40pwgzw40jnzpjs3,66807567.44497,0,0,3609.476376
53,Signalling Vote Interest to explore further Fixed Cap Dynamic Supply for REGEN,Text,PASSED,1755195189000,1755195189000,1755799989000,undefined,22779755,regen13htuznz7xtar7xrgwgww3lrcefw774p27xzgel,50812894.622208,7.110869,0,7442151.300142
52,Technical change associated with proposal 49 postupgrade,/cosmos.distribution.v1beta1.MsgUpdateParams,PASSED,1754293783000,1754293783000,1754898583000,undefined,22621527,regen1unj77tavcgsh3c70tp9yvhwlngz2a6azc9xljt,68917061.6375,89517.411339,0,0
51,Technical change associated with proposal 49,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1753093939000,1753093939000,1753698739000,undefined,22412455,regen1unj77tavcgsh3c70tp9yvhwlngz2a6azc9xljt,68294121.906005,0,0,0
