address,moniker,commission,rank,token,votingPower,timestamp
regenvaloper1rh7v5zrzmqlqp5ttn2uxna0cp0yh4mwk6k5rpa,ecoBridgeearth,0.05,1,11831800,0.10908,1765152000000
regenvaloper1aa945sl2gzeq8s7cnl8dwcvutxnqs5ca72pd6g,Ekonavi,0.05,2,9399711,0.086658,1765152000000
regenvaloper1ceunjpth8nds7sfmfd9yjmh97vxmwqfyf7r2cn,Simply Staking,0.1,3,9368358,0.086369,1765152000000
regenvaloper1vys9dreue4e8xrga2zmuzth4z4gkmmgvjdxfdz,Stakecito,0.05,4,7485616,0.069012,1765152000000
regenvaloper174tvh2dty7vsvwn2cfsmkwq8tplqgr5f3m3nw8,Regenerator,0.05,5,7319107,0.067476,1765152000000
regenvaloper1wexza7kxc8qktxqcwrt65anwuxjw8pg0akx36t,Earthist,0.09,6,6986577,0.064411,1765152000000
regenvaloper1c4y3j05qx652rnxm5mg4yesqdkmhz2f6dl7hhk,ECO Stake   REStakeapp,0.05,7,6933977,0.063926,1765152000000
regenvaloper1h5z08rzvrwt3pzdjc03upvuh2x0j3yskldyqvj,Vitwit Previously Witval,0.05,8,6818963,0.062866,1765152000000
regenvaloper1ypwzuhaffvr06ktu0ne6lnm69gxj32qww0relw,KalpaTech,0.1,9,6784535,0.062548,1765152000000
regenvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ucmxys,0basevc,0.1,10,6285002,0.057943,1765152000000
regenvaloper105g89nqllu33nend0ce5eup4zxn0d4kfr2v7w8,polkachucom,0.05,11,6217734,0.057323,1765152000000
regenvaloper1aymx97z6eanltjg8cwarf6hrmasmnvquhzdcr4,Commons Hub,0.1,12,4903467,0.045206,1765152000000
regenvaloper1ss2f0nl7sn42x8x0d337mj9welzml8h0f5erue,Cosmostation,0.1,13,4843121,0.04465,1765152000000
regenvaloper1snn4uhxh04gzpgk4l8naw3n6fu7ucwx37w320z,Chainflow,0.08,14,4364822,0.04024,1765152000000
regenvaloper1k4pe2gjahthx2zmrs9dchhv9wfkfg6an90c0mv,Alex Bambarello Validator,0.1,15,3317804,0.030588,1765152000000
regenvaloper1vmps9sn7vlgnd5latct889qyh62ulmgk72umu8,Allnodes,0.05,16,2538345,0.023402,1765152000000
regenvaloper1zcll4k60y9v6edkht0xadexl62kjew36ezy799,Shutting Down,1,17,2304442,0.021245,1765152000000
regenvaloper1tdc350ylkjfvqk4mjs6rqqksgl2wfghz2fx95h,LOA Labs,0.075,18,2296322,0.02117,1765152000000
regenvaloper1y4dagnwxsza5tm45m3te3rpkfe74ceqvv56hs0,Sunsetting on Jan 24  please redelegate,0.1,19,2130470,0.019641,1765152000000
regenvaloper1najll0c2p8y55ym67ghvehezrlj5e9x4z240fv,MekongLabs,0.1,20,1659672,0.015301,1765152000000
regenvaloper1t8p3zdu3h8qzggfmvvvmtdnaj4trcsfh79xp4e,Shutting Down 331,0.05,21,1584260,0.014606,1765152000000
regenvaloper1mpy34essw3hawylg4k393m08nnvsfv6ag2dcqn,StartStakingcc,0.05,22,1415674,0.013051,1765152000000
regenvaloper10mseqwnwtjaqfrwwp2nyrruwmjp6u5jhah4c3y,Shutting Down 9825,0.1,22,1231199,0.011351,1765152000000
regenvaloper1wm7d4285myyd276zcnhex73eyhqh0h7jh0kst0,Arcane Forge,0.1,22,1214641,0.011198,1765152000000
regenvaloper1exenx9cyg49y6zj84r7l29xff9eu7jx9ygwnv5,Empower Validator   20 to plastic waste cleanups,0.05,22,1175747,0.010839,1765152000000
regenvaloper1mvvypwrdpr4esn6g4rz7upj9wd4szrgl65qvwa,PoS Node,0.05,22,1109003,0.010224,1765152000000
regenvaloper1kl83t6gm2y5lgg5c5h3sz87tt5fg3cmyl2sksd,Informal Systems,0.0811,22,995618,0.009179,1765152000000
regenvaloper1zppjyal5emta5cquje8ndkpz0rs046m7zqxrpp,Shutting down please redelegate,0.05,22,786234,0.007248,1765152000000
regenvaloper15urq2dtp9qce4fyc85m6upwm9xul3049l7gjdc,Sunsetting  please redelegate,0.2,22,649638,0.005989,1765152000000
regenvaloper1hp6rhq5mcqdz6qjpde4dz89q7qd5czwn44maq9,Akik Takat,0.1,22,607541,0.005601,1765152000000
regenvaloper197y23lwql3js4dr8ujwf65falwtnl0edn8w2jv,kano,0.1,22,605613,0.005583,1765152000000
regenvaloper1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4kgjrtdq,DokiaCapital,0.05,22,488138,0.0045,1765152000000
regenvaloper1ra6p2sy9hnrvrvtmkjkfwh7yfzpqpv0cmdeuaf, The Chicken Coop  Homestead,0.05,22,270152,0.002491,1765152000000
regenvaloper15t7cmpmlgzllvs2wv4zly3lhsd0yd02ktppmsm,Shutting down please redelegate,0.05,22,249845,0.002303,1765152000000
