chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
saga,0,5.5545985,9292401,0.03,459618653,1084282697,13678979,21,34,55,9512972,1.0237367070146888,1.0237367070146888,3253,140308,saga-2,0.069048,22810887,1041,74739267,7547955,0.073381,0.068701,-0.00329755,-4.558,-1134131,-4.736,330929258,1084280936,0,7.6,1712660727037,0.06395,1760131825728,-0.955,-4.558,-13.398,-21.629,-32.072,-97.494,1765152000000
saga,0,5.5571137,9276878,0.03,460852281,1084190635,13586920,21,34,55,9512069,1.025352386869807,1.025352386869807,3325,140308,saga-2,0.072348,23945018,1022,78456521,7035447,0.072965,0.068879,0.00338235,4.904,1141711,5.007,330895656,1084188868,0,7.6,1712660727037,0.06395,1760131825728,0.112,4.904,-8.683,-15.914,-13.508,-97.438,1765065600000
saga,0,5.5638631,9261336,0.03,460862843,1084098474,13494745,21,34,55,9511476,1.0270090621914592,1.0270090621914592,3505,140299,saga-2,0.068966,22817995,1051,74765043,8152159,0.07317,0.066989,-0.00303278,-4.212,-1003867,-4.214,330862017,1084096701,0,7.6,1712660727037,0.06395,1760131825728,-0.14,-4.212,-14.511,-27.277,-18.873,-97.436,1764979200000
saga,0,5.561285300000001,9245806,0.03,460882418,1084006386,14074635,21,34,55,9510234,1.0285997781047969,1.0285997781047969,3505,140299,saga-2,0.071998,23821861,1039,78055630,7786109,0.07531,0.07136,-0.00291808,-3.895,-959748,-3.873,330828398,1084005117,0,7.6,1712660727037,0.06395,1760131825728,-0.282,-3.895,-15.971,-31.806,-8.928,-97.362,1764892800000
saga,0,5.5682415,9230278,0.03,460896714,1083914317,13982570,21,34,55,9509326,1.0302318088360936,1.0302318088360936,3638,140292,saga-2,0.074883,24781609,1025,81201691,8591009,0.076171,0.072489,-0.0001074,-0.143,-30189,-0.122,330794797,1083912562,0,7.6,1712660727037,0.06395,1760131825728,-0.129,-0.143,-14.923,-10.564,-10.709,-97.116,1764806400000
saga,0,5.5695691,9214760,0.03,465755243,1083822315,13890559,21,34,55,9508126,1.0318365318250284,1.0318365318250284,3641,140288,saga-2,0.074991,24811797,1018,81301961,8955367,0.076881,0.069553,0.00408608,5.763,1361552,5.806,330761221,1083820573,0,7.6,1712660727037,0.06395,1760131825728,-0.365,5.763,-14.898,-8.767,-24.461,-96.765,1764720000000
saga,0,5.6168072,9199256,0.03,465777882,1083730399,13798646,21,34,55,9507453,1.0335023832362096,1.0335023832362096,3695,140281,saga-2,0.070888,23450245,1025,76841767,14541443,0.078991,0.069086,-0.00810351,-10.259,-1787923,-7.084,330727670,1083728479,0,7.6,1712660727037,0.06395,1760131825728,-0.034,-10.259,-20.335,-8.951,-29.094,-97.075,1764633600000
saga,0,5.6339258999999995,9183899,0.03,473226580,1083639367,13707636,21,34,55,9506705,1.0351491234823031,1.0351491234823031,3804,140270,saga-2,0.078991,25238168,1009,85592008,7000952,0.080619,0.07794,-0.00000852,-0.011,-24541,-0.097,319527783,1083637489,0,7.6,1712660727037,0.06395,1760131825728,-0.926,-0.011,-10.343,-1.538,-15.941,-96.852,1764547200000
saga,0,5.6356565000000005,9168566,0.03,473248012,1083548486,13616746,21,34,55,9506114,1.0368157899501405,1.0368157899501405,3896,140251,saga-2,0.079085,25262708,1014,85676993,7444425,0.082137,0.078343,-0.00175181,-2.167,-550991,-2.134,319494618,1083547248,0,7.6,1712660727037,0.06395,1760131825728,0.234,-2.167,-9.18,-7.116,-14.573,-96.484,1764460800000
saga,0,5.6374636,9153239,0.03,473235297,1083457653,13525918,21,34,55,9505595,1.0384952255698776,1.0384952255698776,3910,140251,saga-2,0.080832,25816456,1012,87556711,11238115,0.084408,0.079625,-0.0031291,-3.727,-988199,-3.687,319461460,1083456024,0,7.6,1712660727037,0.06395,1760131825728,0.16,-3.727,-14.764,-7.09,-24.18,-96.479,1764374400000
