id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
22,Inflation v2,/cosmos.slashing.v1beta1.MsgUpdateParams,PASSED,1752630372000,1752630372000,1753235172000,undefined,7056878,saga1yuvju0cztlahsf6f37z9j83vwyzgj6pzhx090f,529461559.37844,37832.780444,4235.48083,40954878.419438
21,Inflation v2,/cosmos.slashing.v1beta1.MsgUpdateParams,FAILED,1751999234000,1751999234000,1752604034000,undefined,6945070,saga1yuvju0cztlahsf6f37z9j83vwyzgj6pzhx090f,501268888.559514,4714876.062383,10245.132959,40970776.438785
19,ATOM Airdrop   Last Chance,Text,REJECTED,1751898047000,1751898047000,1752502847000,undefined,6927089,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,3575.401357,50941878.998978,204505103.113709,11027.503106
18,ATOM Airdrop  Last Chance,Text,REJECTED,1751119057000,1751119057000,1751723857000,undefined,6788717,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,7351.171839,69386900.704302,166001786.988058,3246.020846
17,SAGA Airdrop  Last chance ,Text,REJECTED,1750867756000,1750867756000,1751472556000,undefined,6744228,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,4911.564209,69384568.439802,201491190.96311,205.137422
16,Get Airdrop   SAGA  Feeling Lucky ,Text,REJECTED,1749986655000,1749986655000,1750591455000,undefined,6588230,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,15481.049794,37476.912152,266701506.888731,3466.85173
15,SAGA Airdrop    New Version 2025 ,Text,REJECTED,1749353184000,1749353184000,1749957984000,undefined,6476116,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,28217.563251,16642.293053,219959787.969089,1072.723283
14,Get Airdrop   SAGA  Feeling Lucky  ,Text,REJECTED,1749046252000,1749046252000,1749651052000,undefined,6421633,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,24523.953319,17049.398992,294897575.943799,102
13,Feeling Lucky   Get Airdrop   SAGA,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1748826790000,1748826790000,1749431590000,undefined,6382780,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,102839.2528,60645.464264,296707554.834931,1506.533688
12,Upgrade to 04,Text,REJECTED,1748394773000,1748394773000,1748999573000,undefined,6306444,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,70567.626365,12365.377826,179927553.40761,0
11,Feeling Lucky   Get Airdrop   SAGA,Text,REJECTED,1748143651000,1748143651000,1748748451000,undefined,6262004,saga17xj7l4fwa60ysp4aqcluler8xlpzdz5gtf56yq,47690.155357,16150.5251,181896362.817467,0
10,Upgrade to 03,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1747317998000,1747317998000,1747922798000,undefined,6115798,saga1rqap99m5p5nshz33r9vlckef3nftupwyy0wvrn,468606652.207927,36706.12557,19006.162196,5191.284465
9,Upgrade to 02,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1733938498000,1733938498000,1734543298000,undefined,3734096,saga1njwms5k56n9vnhap4gm0gn8rta7k9qk3nmaqe7,629567349.773642,129550.443924,9356.791447,20968.058936
8,Layerzero x SAGA airdrop,Text,REJECTED,1726295350000,1726295350000,1726900150000,undefined,2391553,saga1vgyvt6xml92vl9l04qj3vqffqyz4j4es63555z,34151.0314,30463.835934,354601567.903605,7982.25441
6,SAGA Airdrop ,Text,REJECTED,1720731121000,1720731121000,1721335921000,undefined,1409710,saga1d63f3plagk2hjfrqc4ngdhypvaa0tacmxr9d3e,55654.700112,61212.422528,453827937.353003,10457.525189
5,Layerzero ZRO x Cosmos airdrop,Text,REJECTED,1720225747000,1720225747000,1720830547000,undefined,1320545,saga1d63f3plagk2hjfrqc4ngdhypvaa0tacmxr9d3e,20624366.515997,11113596.458556,422488080.089311,4015.669926
4,SAGA Airdrop  New Version 2024 ,Text,REJECTED,1719025012000,1719025012000,1719629812000,undefined,1109865,saga1d63f3plagk2hjfrqc4ngdhypvaa0tacmxr9d3e,58554.589259,39575.772402,363672235.67809,2287.434568
3,SAGA Airdrop New Version 2024,Text,REJECTED,1718764969000,1718764969000,1719369769000,undefined,1064483,saga1d63f3plagk2hjfrqc4ngdhypvaa0tacmxr9d3e,75602.443321,63801.626326,358352133.322281,7881.591695
2,Decrease downtime slashing to 001,/cosmos.slashing.v1beta1.MsgUpdateParams,PASSED,1713296654000,1713296654000,1713901454000,undefined,114366,saga1pt2ecwxkaq7vs09lgwmazsl0umg7s468avu402,589295269.198435,146993.714091,14230.747385,35669.095862
1,Namada x Cosmos airdrop,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1712749559000,1712749559000,1713354359000,undefined,20172,saga1vgyvt6xml92vl9l04qj3vqffqyz4j4es63555z,94835.953446,48317124.056686,429736449.338287,7101.681041
