address,moniker,commission,rank,token,votingPower,timestamp
sagavaloper1am6qxsfxpzxdk7j8e8s37vs6pe8zr6m922nqte,Omnistakecom,0,1,40015687,0.087063,1765152000000
sagavaloper19f0w9svr905fhefusyx4z8sf83j6et0gsn0qkm,NodeStake,0,2,39826888,0.086652,1765152000000
sagavaloper1nv7mzp90rjxkgrr7ymcfqufgjeqtr7ptfeflz8,Cosmostation,0.015,3,39733211,0.086448,1765152000000
sagavaloper1c24csqxrfqktgpn94anp4xmtn7pz772gl903kj,Finoa Consensus Services,0.0275,4,37033165,0.080574,1765152000000
sagavaloper1nfha2308jhh2k7jfsa29gpa5t7kqv48wzuje4w,Golden Ratio Staking,0.02744,5,34282128,0.074588,1765152000000
sagavaloper15eryzkm5y7d2ldqf6he7g943g9hepxwa6puvjz,P2Porg ,0.0275,6,31911052,0.069429,1765152000000
sagavaloper140l6y2gp3gxvay6qtn70re7z2s0gn57zupu4tk, LavenderFive Nodes ,0.0275,7,25390270,0.055242,1765152000000
sagavaloper1qara34gyn54s9693rntr7gxj4a34te6gxkx97m,Luganodes,0.0275,8,24297514,0.052865,1765152000000
sagavaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qsdtg4m,Stakecito,0.0275,9,23920238,0.052044,1765152000000
sagavaloper1smw8w75qzprplv5g4afkrjkxz0sh4d84qqz4cw,StakingCabin,0.0274999,10,23748140,0.051669,1765152000000
sagavaloper1v9uqwx20c7f3nf4ckzzvzjr4kxuqw37293gkv9,Enigma,0.0275,11,21802628,0.047436,1765152000000
sagavaloper1qpsluy5pgjt84jl4yf83e6kz02npgynwsqslj9,Simply Staking,0.0275,12,20858120,0.045381,1765152000000
sagavaloper13p45c6z865muxdycah0amqhjkfexh0ztejq9gw,Stakin,0.0275,13,20751418,0.045149,1765152000000
sagavaloper1axyv94rv40cug6acgh0zlzvq9awf4ajea3yrd4,Nocturnal Labs,0.0275,14,12923031,0.028117,1765152000000
sagavaloper1pg3u9vl53jngwfly0370jne8fv533hd6emrfmd,UnityFarms 20 to charity,0.0275,15,11790915,0.025654,1765152000000
sagavaloper13dfsqypv3rjucvncpjy9p6jm47hc0e7827g0cq,polkachucom,0.01,16,10713944,0.023311,1765152000000
sagavaloper14z9v2s2w2kkua70t20vpcvcgpxqekl7lufz3rs,HashKey Cloud,0.0275,17,10344281,0.022506,1765152000000
sagavaloper17wv4hy9h3a8wdxeq0cd652zv8eyw7ytmep2237,A41,0.0275,18,9895701,0.02153,1765152000000
sagavaloper1v7f0980q2z3he88fc7cs6tx7le70578rgcn6re,SG1,0.026,19,8694401,0.018917,1765152000000
sagavaloper1l9aqqku8yk0p3w8kljmrwj32ztzz74earjl0sp,StakeRelax ,0.0275,20,7292066,0.015865,1765152000000
sagavaloper106y6thy7gphzrsqq443hl69vfdvntgz2rcxrw2,Chandra Station,0.0275,21,7228700,0.015728,1765152000000
sagavaloper1su2yh6xsh5cahxgtrv88vms54jlmes4k8m3dd0,Validation Cloud,0,22,7069891,0.015382,1765152000000
sagavaloper1a08q0lesrstewscr6myyy5fy2rfzcdjfq79k4e,Liquify,0.0275,22,7060844,0.015362,1765152000000
sagavaloper1wja9f0d7pllx35k34evemkvh4x56tjxxw8p8g5,Restake,0.1,22,7059256,0.015359,1765152000000
sagavaloper1ye8pyhexlj6asl0ytd6j3frarxqsfyx58de7s8,Developer DAO,0.1,22,7058482,0.015357,1765152000000
sagavaloper13pcp0cstupahzz3n36x0dlhpa9fr8m9vlcy78y, CryptoCrew Validators,0.05,22,7058393,0.015357,1765152000000
sagavaloper1symf474wnypes2d3mecllqk6l26rwz8mu7mfa5,BlockHunters ,0.05,22,7057148,0.015354,1765152000000
sagavaloper12zh2xrqzj0rymlg7v9hn0t085eumgz4xp5zjvv,Informal Systems,0.05,22,7057143,0.015354,1765152000000
sagavaloper1sl97x54v0u3extuj2zrf7h0qrrtpgpsldww2zc,strangelove,0.0275,22,420809,0.000916,1765152000000
sagavaloper14p4s4s9ryn6uar7qvlmxsfcnt3e759vplykhs2,redelegate,0.026,22,107232,0.000233,1765152000000
sagavaloper1t4pxlwh9sfp5u2ghpwm73y5c47ucq3wappnx7q,Shutting down on Sept 6  please redelegate,0.0275,22,62996,0.000137,1765152000000
sagavaloper1zjaqvcq4jmydnrcxtnpw5fdsggg6dvmapkdels,01node,0.05,22,24750,0.000054,1765152000000
sagavaloper143k55pqumrrlwj06uepv7v8wyvajjcnmu3zkn4,Marblex,0.02,22,21296,0.000046,1765152000000
sagavaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucfpe0ga,KalpaTech,0.05,22,200,0,1765152000000
sagavaloper1c0pnlvu83gzv7lz46ynw4l6y63l8p3em6jevuv,0 fees   BlueStake,0,22,181,0,1765152000000
sagavaloper1z9jc2p9qljyzt4mu0qxv9kz6rpdyexp5u42r8u,Ponderosa Cloud,0.01,22,69,0,1765152000000
sagavaloper1dazs5hls68jrgtlsr5xf9wkc9m4ueza3g2ltfl,BronBro,0.05,22,23,0,1765152000000
sagavaloper1xq7yfdkzkgqnymes720p5pnnrwj28naz6fc3yk,Shutdown  please redelegate,0.05,22,15,0,1765152000000
sagavaloper1naz4vjgjrvq9fzey7n8rr23kjqqj9lxw4p6fud,PathrockNetwork,0,22,10,0,1765152000000
sagavaloper1lrzxwu4dmy8030waevcpft7rpxjjz26c5whc6f,node101,0.05,22,4,0,1765152000000
sagavaloper1s0622kejpslxynzwr9qq33nf3zyg0vq2x4060l,SyaNodes,0,22,3,0,1765152000000
sagavaloper1c2uuulu9agt02fz4ynun2h32qxpydul8f5cqm9, AutoStake  Slash Protected,0,22,3,0,1765152000000
sagavaloper1yuxfnuap28h7dmy43m3p8l6jf0z3tea8pj5wjn,WhisperNode ,0.05,22,2,0,1765152000000
sagavaloper1a29k2w89zvu0j7kcka59cuj4lx6k775zldqlwe,WHENMOONWHENLAMBO,0.05,22,2,0,1765152000000
