address,moniker,commission,rank,token,votingPower,timestamp
secretvaloper1nsf2zmhe3ktn5fqtrpffnktc4g7uag05ggse54,Kraken01,0.1,1,28089536,0.222901,1765152000000
secretvaloper1xj5ykuzn0mkq9642yxgqmh4ycplzhr2pza25mk,0 Fee 2024   melea,0,2,19636027,0.155819,1765152000000
secretvaloper1yst8m2sqztxujshyeggwm2nncutk57cx2tm8u7,SNF,0.05,3,10295742,0.081701,1765152000000
secretvaloper1x76f2c2cuwa4e3lttjgqeqva0725ftmqvgvfnv,Citadelone,0.05,4,6948386,0.055138,1765152000000
secretvaloper1q0rth4fu4svxnw63vjd7w74nadzsdp0fmkhj3d, Secret Saturn  Min Com forever,0.05,5,5965536,0.047339,1765152000000
secretvaloper16p9uqwcq2gvz75y5p9zvhn7vek9ra9zfunwyf0,MARIO,0.09,6,5650806,0.044841,1765152000000
secretvaloper1sa8av4qw3xerr58kwvnm8wvd87zgp36mv6cnyg,Consensus One,0.05,7,4974459,0.039474,1765152000000
secretvaloper16k26akna7h295rfjx3278s7xusnt736vy437y8,WhisperNode ,0.07,8,3771802,0.029931,1765152000000
secretvaloper1hjd20hjvkx06y8p42xl0uzr3gr3ue3nkvd79jj,secretnodescom,0.05,9,3488231,0.02768,1765152000000
secretvaloper12y30xefd0wg53xtyv9lw7mjcdvf8nxgzzva3sr, AutoStake  Slash Protected,0.05,10,3442291,0.027316,1765152000000
secretvaloper1rfnmcuwzf3zn7r025j9zr3ncc7mt9ge56l7se7,securesecretsorg,0.08,11,3119418,0.024754,1765152000000
secretvaloper1t5wtcuwjkdct9qkw2h6m48zu2hectpd6ulmekk, LavenderFive Nodes ,0.05,12,3042162,0.024141,1765152000000
secretvaloper1ahawe276d250zpxt0xgpfg63ymmu63a0svuvgw,Trivium  TriviumNetwork,0.03,13,2750179,0.021824,1765152000000
secretvaloper15q3f508smwa0v79qd0rjkdpfs475yd8vm0lr2n,1 Fee and Free on Xmas  Secret Santa,0.01,14,2738340,0.02173,1765152000000
secretvaloper1nnt3t7ms82vf86jwq88zvwvzvm2mkhxx67zl3z,Mr Roboto s Secret,0.08,15,2651993,0.021045,1765152000000
secretvaloper1dpajv4su00mzf4r7rhzytc0vs23njkh2wll6lp,NodeMonster,0.1,16,2045923,0.016235,1765152000000
secretvaloper12ancx2qcgk04rrkexuhjq93etgktq4nn58z9yu,Stakewollecom  Autocompound,0.05,17,1748334,0.013874,1765152000000
secretvaloper1nqxdqq6qhtaj9m2t2mgvzds0xa6fa2g9sk5ymu,secretSauce ,0.05,18,1669046,0.013245,1765152000000
secretvaloper1larnhgur2ts7hlhphmtk65c3qz6dt52y79szst,01node,0.05,19,1628317,0.012921,1765152000000
secretvaloper1yv9f4tankaktdtf8lq6rjsx9c9rpfptc7kzhz2,StarShell,0.1,20,1607039,0.012752,1765152000000
secretvaloper1xyvlmw93ytmcju4suuk8tpuhzu6rtnnwqc6a7y,Finacash,0.045,21,1575577,0.012503,1765152000000
secretvaloper1vzkdmu0sa8gaj686jh5all7hpmmsp8x87vyz8z,Stakelyio,0.05,22,1548384,0.012287,1765152000000
secretvaloper1tums792cvpugaydvqgl7t6r5khfsgh7n78hs5w, CryptoCrew Validators IBCgang,0.05,23,1487205,0.011802,1765152000000
secretvaloper1wg085tj9xtv84q9l2zgdml46n6ju3mryun4fsu,crosnest,0.05,24,1461391,0.011597,1765152000000
secretvaloper1qjk5uduu3zg356chmstcp2eqgdn35jp3ztxh4x,secretchaingirl  Please UNDELEGATE by 11192025,0.04,25,1427735,0.01133,1765152000000
secretvaloper1dyfats3mqaphz7wyj8r89lt3gze88eenwu7tmf,PathrockNetwork,0.01,26,1341860,0.010648,1765152000000
secretvaloper1f8chr3y3s9h8g4vc5pg8wvzzhfy3hcxm0re5zc,POSTHUMAN  StakeDrop,0.1,27,1319873,0.010474,1765152000000
secretvaloper1pujrvwt9xve0u0t472x5wm0lf5r37thakp7pvw,Obi,0.05,28,1306485,0.010367,1765152000000
secretvaloper1glyaxntl2jm3sruafq4rhxfrq4vzrgz0mg9m90,Cosmonaut Stakes ,0.1,29,1282234,0.010175,1765152000000
secretvaloper10lyfk2zehtklppcvpf903qp82526k6h7s72au7,seltonstake,0.1,30,1222811,0.009703,1765152000000
secretvaloper1jgx4pn3acae9esq5zha5ym3kzhq6x60frjwkrp,HighStakesch  Daily Airdrops,0.05,31,1214639,0.009639,1765152000000
secretvaloper14cmhv376dth9tm3shcuextyhksu8cnfs0kq76p,SecretAlf,0.19,32,1175276,0.009326,1765152000000
secretvaloper14mwwdad00y7lwwmmk3yw2l2qhn6jzjpy28fmfw,Chilly Waifu Validation Chill Validation,0.02,33,1129776,0.008965,1765152000000
secretvaloper18acdn4vaxfkqj0ta25u3ulzdyzekrqe5w9q2n4,    secretanalyticsxyz,0.18,34,1063114,0.008436,1765152000000
secretvaloper12haa5h8wker0x07e6unxgjjvr9wtqn68sptvvh,Please Undelegate,0.1,35,1004386,0.00797,1765152000000
secretvaloper1hzryhvapnq4x6cvx0yakd49vzkld5wx25h00fd,Order of Secrets  1 fees,0.01,36,940888,0.007466,1765152000000
secretvaloper1hscf4cjrhzsea5an5smt4z9aezhh4sf5jjrqka,ChainofSecretsorg,0.09,37,898157,0.007127,1765152000000
secretvaloper1cpp4s3t962tsn737fj4v8jr7net50qgxpn3nap,Quiet monkey mind,0.08,38,747322,0.00593,1765152000000
secretvaloper1ghq67qyjf9exqjw4s3ltg56zf5yceve7s4kj5u,Stashh,0.07,39,663487,0.005265,1765152000000
secretvaloper182dg8p7nshdjjt5sypcx6hw9p8vlwqpntpm5k6,FreshSTAKING,0.0949,40,662671,0.005259,1765152000000
secretvaloper18762353s6ulgla3efvf0hpe5rjjxp5ndfvl8z7,SCRT LabRador,0.198,41,558906,0.004435,1765152000000
secretvaloper1qx5pppsfrqwlnmxj7prpx8rysxm2u5vzhaux25,Stake and Eggs,0.0999,42,522491,0.004146,1765152000000
