chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
sei,0,0.5276849,182827736,0,4360897078,9081867099,0,40,43,83,4136212591,22.62355089820726,22.62355089820726,9580,1399535,sei-network,0.12704,808225547,109,1268799917,55182938,0.132483,0.125193,-0.00122369,-0.954,-8811453,-1.078,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-0.695,-0.954,-9.231,-6.082,-30.886,-81.613,1765152000000
sei,0,0.5520681,182663945,0,4360806519,9081372594,0,40,43,83,4130810416,22.61426257929555,22.61426257929555,9698,1399535,sei-network,0.12833,817037000,110,1282632653,41389681,0.130276,0.125467,0.00148884,1.174,9112555,1.128,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-0.245,1.174,-5.253,-2.773,-20.078,-81.816,1765065600000
sei,0,0.5421841000000001,182504532,0,4359738881,9080878088,0,40,43,83,4125745242,22.606261865321787,22.606261865321787,10039,1399535,sei-network,0.126827,807924445,110,1268327229,61401885,0.136404,0.125063,-0.0088693,-6.536,-56478238,-6.534,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-0.144,-6.536,-8.321,-2.926,-23.721,-82.086,1764979200000
sei,0,0.5323304,182339252,0,4359618315,9080383583,0,40,43,83,4120659171,22.598859684913045,22.598859684913045,10039,1399535,sei-network,0.135736,865144333,108,1358154368,64897841,0.142252,0.135013,-0.00487596,-3.468,-30484614,-3.404,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-0.315,-3.468,-3.559,-6.878,-13.874,-80.577,1764892800000
sei,0,0.5009636000000001,182174747,0,4358766071,9079889077,0,40,43,83,4115298044,22.589838118452278,22.589838118452278,10308,1399278,sei-network,0.140632,895628947,108,1406010905,64568263,0.141831,0.136106,0.00287538,2.087,17961554,2.047,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-0.01,2.087,0.376,-3.538,-14.402,-79.286,1764806400000
sei,0,0.49607160000000006,182001251,0,4361939951,9079394572,0,40,43,83,4109964841,22.58206918039261,22.58206918039261,10334,1399238,sei-network,0.13772,877341675,108,1377302473,108354141,0.142582,0.120999,0.01433841,11.621,90882285,11.556,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-1.027,11.621,0.321,-9.04,-28.061,-77.884,1764720000000
sei,0,0.49796360000000006,181828383,0,4355887997,9078900066,0,40,43,83,4104383322,22.57284178785223,22.57284178785223,10482,1399238,sei-network,0.123463,786459390,110,1234630125,107201787,0.137818,0.120557,-0.01435546,-10.416,-91485415,-10.42,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,0.103,-10.416,-10.386,-16.067,-36.413,-81.116,1764633600000
sei,0,0.501957,181653815,0,4359804290,9078405561,0,40,43,83,4098710045,22.563302868150608,22.563302868150608,10592,1399179,sei-network,0.137769,877944804,110,1378249300,45683660,0.141285,0.135353,0.00223078,1.646,14425812,1.671,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-1.565,1.646,1.85,-11.728,-27.86,-79.778,1764547200000
sei,0,0.4938898,181482155,0,4360408704,9077911055,0,40,43,83,4092713742,22.55160427205639,22.55160427205639,10690,1399110,sei-network,0.135551,863518992,110,1355602813,34665230,0.137912,0.134175,-0.00236094,-1.712,-14872082,-1.693,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,0.355,-1.712,2.698,-17.317,-25.279,-79.877,1764460800000
sei,0,0.49193059999999994,181306599,0,4360338785,9077416550,0,40,43,83,4087087271,22.54240768699213,22.54240768699213,10699,1398883,sei-network,0.137933,878499458,110,1379120029,62659614,0.142708,0.137019,-0.00086633,-0.624,-5301631,-0.6,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,0.012,-0.624,5.574,-14.495,-31.346,-79.041,1764374400000
sei,0,0.48856009999999994,181131993,0,4360288270,9076922044,0,40,43,83,4081512806,22.533362209513147,22.533362209513147,10707,1398853,sei-network,0.138798,883801089,109,1387442840,58074139,0.141999,0.137833,-0.00177297,-1.261,-11489985,-1.283,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-0.318,-1.261,-4.778,-16.757,-29.236,-79.589,1764288000000
sei,0,0.4958787,180956709,0,4329388359,9076427539,0,40,43,83,4075926142,22.5243162551105,22.5243162551105,10694,1398774,sei-network,0.140567,895291073,110,1405480492,77587345,0.141664,0.132857,0.00197559,1.425,12377263,1.402,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,0.266,1.425,-4.09,-19.145,-29.839,-79.847,1764201600000
sei,0,0.5226914,180786075,0,4264078265,9075933033,0,40,43,83,4070371748,22.514852142234957,22.514852142234957,10694,1398243,sei-network,0.138513,882913811,110,1386049938,77153077,0.138826,0.133186,0.00120402,0.877,6766137,0.772,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,1.257,0.877,-7.268,-21.139,-32.541,-77.64,1764115200000
sei,0,0.5031095,180616441,0,4331325583,9075438528,0,40,43,83,4064774795,22.50500991213751,22.50500991213751,10694,1398243,sei-network,0.137402,876147674,109,1375428060,91717865,0.138905,0.130551,0.0042049,3.157,26870966,3.164,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-0.269,3.157,-6.591,-26.22,-31.615,-77.538,1764028800000
sei,0,0.4968055,180443077,0,4332921016,9074944022,0,40,43,83,4058992488,22.494586966060215,22.494586966060215,10788,1398223,sei-network,0.133283,849276708,109,1333244440,60508918,0.135361,0.130369,0.00231061,1.764,15027479,1.801,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-1.466,1.764,-13.31,-27.636,-31.861,-75.237,1763942400000
sei,0,0.5000848,180269136,0,4332875909,9074449517,0,40,43,83,4053382304,22.485170750471674,22.485170750471674,10678,1397932,sei-network,0.130989,834249230,110,1309653422,63140340,0.134132,0.128901,-0.0013887,-1.049,-9306314,-1.103,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-0.759,-1.049,-20.1,-27.624,-31.32,-73.108,1763856000000
sei,0,0.494841,180095952,0,4340869987,9073955011,0,40,43,83,4047628147,22.474842449540454,22.474842449540454,10648,1397893,sei-network,0.132426,843555543,111,1324263019,157415300,0.144507,0.128578,-0.00967526,-6.809,-63152279,-6.965,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,1.36,-6.809,-18.595,-27.956,-26.522,-72.435,1763769600000
sei,0,0.5023221,179922338,0,4453321373,9073460506,0,40,43,83,4041574664,22.462884314008857,22.462884314008857,10687,1397657,sei-network,0.142186,906707821,111,1423403173,117159339,0.154912,0.140085,-0.00531272,-3.602,-32604761,-3.471,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,-2.355,-3.602,-13.615,-11.449,-27.865,-69.556,1763683200000
sei,0,0.50192,179748219,0,4438642471,9072966000,0,40,43,83,4035824821,22.452655405726162,22.452655405726162,10699,1397657,sei-network,0.147458,939319922,111,1474599564,102584791,0.150915,0.140318,-0.00311822,-2.071,-21202378,-2.207,6370000000,10000000000,0,1.14,1710556223904,0.095364,1697702730655,1.143,-2.071,-15.181,-11.272,-26.308,-69.862,1763596800000
