id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
107,Raise EVM gas target and minimum fee,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1763153278000,1763154584000,1763413784000,undefined,178854167,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,2495319921.054282,0,0,0
105,v620,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1760726923000,1760726923000,1760986123000,undefined,173935637,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,2908112521.922819,0,0,0
104,v614,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1753982943000,1753982943000,1754242143000,undefined,160273504,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,3304564838.52265,0,0,0
103,Update Noble USDC name in pointer,/seiprotocol.seichain.evm.AddERCNativePointerProposalV2,PASSED,1753133982000,1753133982000,1753220382000,undefined,158559352,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,3253048016.704155,0,0,1931.04924
102,v610,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1750260124000,1750260124000,1750346524000,undefined,152891992,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,3791628382.676635,0,0,0
101,v606,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1749221698000,1749221698000,1749480898000,undefined,150899119,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,3454799543.977792,0,0,0
100,Recover IBC client 07tendermint135 for Zenrock,/ibc.core.client.v1.ClientUpdateProposal,PASSED,1748457644000,1748459866000,1748719066000,undefined,149496813,sei15a7g64fkkupwcaf3ad0ksr2hmuszfynxjfaant,2386303697.468785,0,0,0
99,Deprecating CosmWasm  Cosmos,/cosmos.gov.v1beta1.TextProposal,PASSED,1748451939000,1748451939000,1748711139000,undefined,149486262,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,2608012242.525653,61946882.809305,0,113788147.70572
98,Update Kava USDT name in pointer,/seiprotocol.seichain.evm.AddERCNativePointerProposalV2,PASSED,1744757291000,1744757291000,1744843691000,undefined,0,null,3712064882.032414,0,0,25
97,Update MinTxsPerBlock,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1744043710000,1744043710000,1744302910000,undefined,140840317,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,2398911367.306837,11.75,0,356
96,v605,/cosmos.upgrade.v1beta1.SoftwareUpgradeProposal,PASSED,1743182813000,1743182813000,1743442013000,undefined,139046245,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,3462791143.523808,0,0,307.664788
95,Increase validator set to 40,/cosmos.params.v1beta1.ParameterChangeProposal,PASSED,1740524561000,1740524561000,1740783761000,undefined,133700968,sei1z3r0ccsssnvuaheuakul58zlu65rngw7njrjcz,3363947534.610752,0,0,194.531371
94,Add Allo native pointer,/seiprotocol.seichain.evm.AddERCNativePointerProposalV2,PASSED,1739296804000,1739297586000,1739556786000,undefined,131104337,sei1854wg3cm6xfrx6r5qpyd7k0a320mamw98ymvz7,2794264103.151312,0,0,600
