address,moniker,commission,rank,token,votingPower,timestamp
seivaloper18tpdet22kpvswxayekwn55ry0r5acx4kaauupk,A41,0.05,1,292642623,0.067138,1765152000000
seivaloper1ummny4p645xraxc4m7nphf7vxawfzt3p5hn47t,Everstake,0.05,2,254980619,0.058498,1765152000000
seivaloper146m089lq8mkqw6w0mmlhxz6247g2taha89at74, RHINO ,0.05,3,217534306,0.049907,1765152000000
seivaloper1wwfpmcvehq6yqdxfccs5rdr745q3kmy06l9d0d,kingnodes ,0.05,4,203479211,0.046682,1765152000000
seivaloper16pj5gljqnqs0ajxakccfjhu05yczp98743ctgy,Chorus One,0.05,5,186884599,0.042875,1765152000000
seivaloper1xm0pjt3qsdlc6u4n7fjpycqd5h7zwla7tz8m37,Anchorage Digital,0.05,6,176484175,0.040489,1765152000000
seivaloper10c6rrz55ukkaf7rjeerhpxwpqel4tllzs8vgfq,Zellic,0.05,7,176056258,0.040391,1765152000000
seivaloper1xhxnad3c86q3d8ggsyu24j7r0y5k3ef4uhh9e2,sei0,0.05,8,175013828,0.040152,1765152000000
seivaloper1d3ar2psa9ca55q45jg3q6f3ltmpr0ndqqlty87,sei1,0.05,9,163845623,0.03759,1765152000000
seivaloper1eqgnd7ey0hnha8rrfukjrsawulhna0zagcg6a4,Stakin,0.05,10,160490563,0.03682,1765152000000
seivaloper10plkkmv757pfydyqc97s87zgqt84vry6dx6q9k,Kraken,0.05,11,151407237,0.034736,1765152000000
seivaloper12kv03zmlsqx8xpkk05d8e9d05jan76wxwtpdpd,One Node,0.05,12,150001368,0.034414,1765152000000
seivaloper1mpe9rdk7ycujge7r9ncjt4ekamgrdcygvzwqe8,polkachucom,0.05,13,149695671,0.034343,1765152000000
seivaloper1y82m5y3wevjneamzg0pmx87dzanyxzht0kepvn,Figment,0.05,14,134858027,0.030939,1765152000000
seivaloper1uxlf7mvr8nep3gm7udf2u9remms2jyjq6ee35g,Kiln,0.05,15,133339897,0.030591,1765152000000
seivaloper1x0c99e8huemhcjhue4np8c805w9k8nnvsccmff,Binance Node,0.05,16,132733989,0.030452,1765152000000
seivaloper15xgfk9cnt56xjvqvetjvg3wlqlslfnqfc03dwk,STAKEME,0.05,17,127725637,0.029303,1765152000000
seivaloper1hnkkqnzwmyw652muh6wfea7xlfgplnyj0ku4w4,Cosmostation,0.05,18,115506132,0.0265,1765152000000
