source,target,messages,txs,channel,timestamp,volume,type
shentu,osmosis,13,12,transfer/channel-8,1764892800000,292.499124,ack
shentu,emoney,0,0,transfer/channel-0,1764892800000,0,ack
shentu,comdex,0,0,transfer/channel-1,1764892800000,0,ack
shentu,cosmos,0,0,transfer/channel-10,1764892800000,0,ack
shentu,cosmos,0,0,transfer/channel-11,1764892800000,0,ack
shentu,osmosis,0,0,transfer/channel-12,1764892800000,0,ack
shentu,osmosis,0,0,transfer/channel-13,1764892800000,0,ack
shentu,osmosis,0,0,transfer/channel-14,1764892800000,0,ack
shentu,archway,0,0,transfer/channel-15,1764892800000,0,ack
shentu,osmosis,0,0,transfer/channel-2,1764892800000,0,ack
shentu,sifchain,0,0,transfer/channel-3,1764892800000,0,ack
shentu,iris,0,0,transfer/channel-4,1764892800000,0,ack
shentu,osmosis,0,0,transfer/channel-7,1764892800000,0,ack
shentu,persistence,0,0,transfer/channel-5,1764892800000,0,ack
shentu,gravity-bridge,0,0,transfer/channel-6,1764892800000,0,ack
shentu,gravity-bridge,0,0,transfer/channel-9,1764892800000,0,ack
shentu,osmosis,0,0,transfer/channel-16,1764892800000,0,ack
shentu,cosmos,0,0,transfer/channel-17,1764892800000,0,ack
shentu,noble,0,0,transfer/channel-18,1764892800000,0,ack
shentu,osmosis,10,10,transfer/channel-8,1764892800000,236.736302,receive
shentu,cosmos,0,0,transfer/channel-10,1764892800000,0,receive
shentu,cosmos,0,0,transfer/channel-11,1764892800000,0,receive
shentu,osmosis,0,0,transfer/channel-12,1764892800000,0,receive
shentu,osmosis,0,0,transfer/channel-13,1764892800000,0,receive
shentu,osmosis,0,0,transfer/channel-14,1764892800000,0,receive
shentu,archway,0,0,transfer/channel-15,1764892800000,0,receive
shentu,osmosis,0,0,transfer/channel-2,1764892800000,0,receive
shentu,osmosis,0,0,transfer/channel-7,1764892800000,0,receive
shentu,persistence,0,0,transfer/channel-5,1764892800000,0,receive
shentu,gravity-bridge,0,0,transfer/channel-6,1764892800000,0,receive
shentu,gravity-bridge,0,0,transfer/channel-9,1764892800000,0,receive
shentu,osmosis,0,0,transfer/channel-16,1764892800000,0,receive
shentu,cosmos,0,0,transfer/channel-17,1764892800000,0,receive
shentu,noble,0,0,transfer/channel-18,1764892800000,0,receive
shentu,osmosis,13,13,transfer/channel-8,1764806400000,237.296805,ack
shentu,emoney,0,0,transfer/channel-0,1764806400000,0,ack
shentu,comdex,0,0,transfer/channel-1,1764806400000,0,ack
shentu,cosmos,0,0,transfer/channel-10,1764806400000,0,ack
shentu,cosmos,0,0,transfer/channel-11,1764806400000,0,ack
shentu,osmosis,0,0,transfer/channel-12,1764806400000,0,ack
shentu,osmosis,0,0,transfer/channel-13,1764806400000,0,ack
shentu,osmosis,0,0,transfer/channel-14,1764806400000,0,ack
shentu,archway,0,0,transfer/channel-15,1764806400000,0,ack
shentu,osmosis,0,0,transfer/channel-2,1764806400000,0,ack
shentu,sifchain,0,0,transfer/channel-3,1764806400000,0,ack
shentu,iris,0,0,transfer/channel-4,1764806400000,0,ack
shentu,osmosis,0,0,transfer/channel-7,1764806400000,0,ack
shentu,persistence,0,0,transfer/channel-5,1764806400000,0,ack
shentu,gravity-bridge,0,0,transfer/channel-6,1764806400000,0,ack
shentu,gravity-bridge,0,0,transfer/channel-9,1764806400000,0,ack
shentu,osmosis,0,0,transfer/channel-16,1764806400000,0,ack
shentu,cosmos,0,0,transfer/channel-17,1764806400000,0,ack
shentu,noble,0,0,transfer/channel-18,1764806400000,0,ack
shentu,osmosis,47,45,transfer/channel-8,1764806400000,309.942874,receive
shentu,cosmos,0,0,transfer/channel-10,1764806400000,0,receive
shentu,cosmos,0,0,transfer/channel-11,1764806400000,0,receive
shentu,osmosis,0,0,transfer/channel-12,1764806400000,0,receive
shentu,osmosis,0,0,transfer/channel-13,1764806400000,0,receive
shentu,osmosis,0,0,transfer/channel-14,1764806400000,0,receive
shentu,archway,0,0,transfer/channel-15,1764806400000,0,receive
shentu,osmosis,0,0,transfer/channel-2,1764806400000,0,receive
