chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
shentu,0.302664,5.7652622000000004,26933676,0.1,45586406,153303920,17421701,115,120,235,15934859,0.5916332772399876,0.5916332772399876,1548,26755,certik,0.245126,36604103,790,37565106,792759,0.252554,0.242542,-0.00669124,-2.657,-1028426,-2.733,149381708,153303570,0,3.94,1617732620345,0.211993,1750624296963,-0.44,-2.657,-1.807,-1.814,-20.643,-74.55,1765152000000
shentu,0.302588,5.7655817,26918691,0.1,45586976,153267500,17418059,115,120,235,15934697,0.5919566073996688,0.5919566073996688,1548,26702,certik,0.251817,37616796,788,38595213,711080,0.252451,0.24676,0.00371192,1.496,565815,1.527,149381708,153267145,0,3.94,1617732620345,0.211993,1750624296963,-0.209,1.496,3.62,2.391,-10.52,-75.058,1765065600000
shentu,0.302029,5.7796934,26903706,0.1,45660568,153231092,17414418,115,120,235,15934575,0.5922817845244072,0.5922817845244072,1576,26668,certik,0.248028,37043661,785,37998147,1038701,0.256264,0.244072,-0.0062378,-2.453,-917640,-2.417,149381708,153230754,0,3.94,1617732620345,0.211993,1750624296963,-0.549,-2.453,0.395,0.055,-12.176,-73.914,1764979200000
shentu,0.30196,5.7659994,26888752,0.1,45660122,153194764,17410785,115,120,235,15934402,0.5926047441696067,0.5926047441696067,1576,26668,certik,0.254199,37961301,785,38930197,1924409,0.26059,0.251326,-0.00502496,-1.938,-796916,-2.056,149381708,153194414,0,3.94,1617732620345,0.211993,1750624296963,-0.06,-1.938,-1.834,-2.655,-6.111,-74.498,1764892800000
shentu,0.303905,5.7541806,26873759,0.1,45357149,153158354,17407143,115,120,235,15934209,0.5929281794928651,0.5929281794928651,1607,26595,certik,0.259211,38721516,785,39700379,4758812,0.259259,0.25147,0.00688841,2.73,1033481,2.742,149381708,153158010,0,3.94,1617732620345,0.211993,1750624296963,0.175,2.73,1.961,-1.126,-6.505,-73.677,1764806400000
shentu,0.303836,5.757096,26858742,0.1,45356621,153121893,17403497,115,120,235,15934030,0.593253027263898,0.593253027263898,1562,26559,certik,0.252299,37713559,785,38657738,5239324,0.256716,0.239871,0.00965932,3.981,1398850,3.852,149381708,153121558,0,3.94,1617732620345,0.211993,1750624296963,-0.248,3.981,1.775,-5.686,-14.182,-73.553,1764720000000
shentu,0.303838,5.767323,26843750,0.1,45345504,153085501,17399857,115,120,235,15933745,0.593573736903376,0.593573736903376,1530,26514,certik,0.242977,36314709,784,37215020,7521778,0.248005,0.231851,-0.00502786,-2.027,-737320,-1.99,149381708,153085163,0,3.94,1617732620345,0.211993,1750624296963,-0.1,-2.027,-3.208,-5.814,-18.602,-74.57,1764633600000
shentu,0.304839,5.7617534,26828770,0.1,45185870,153049144,17396222,113,121,234,15933438,0.593893719316987,0.593893719316987,1417,26405,certik,0.248197,37124773,803,38036132,4498858,0.251633,0.242812,0.0053413,2.199,853732,2.354,149381708,153048809,0,3.94,1617732620345,0.211993,1750624296963,-0.577,2.199,-0.584,-6.37,-14.33,-73.268,1764547200000
shentu,0.30477,5.7530218,26813767,0.1,45185444,153012744,17392581,113,121,234,15933207,0.5942174033212119,0.5942174033212119,1073,25847,certik,0.242915,36281033,821,37162842,2099849,0.250293,0.242351,-0.00510486,-2.058,-744281,-2.01,149381708,153012424,0,3.94,1617732620345,0.211993,1750624296963,-0.043,-2.058,-1.228,-7.531,-16.43,-73.293,1764460800000
shentu,0.304703,5.7605005,26798748,0.1,45184623,152976313,17388938,113,121,234,15932824,0.5945361328073984,0.5945361328073984,1072,25832,certik,0.248045,37025314,815,37916177,2997642,0.25617,0.245867,-0.00812493,-3.172,-1194229,-3.125,149381708,152975968,0,3.94,1617732620345,0.211993,1750624296963,0.255,-3.172,0.061,-6.1,-22.499,-72.306,1764374400000
