id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
51,shentud v2160 upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1760179501000,1760179501000,1760438701000,undefined,26072561,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,23444519.821415,0,0,0
50,Adjust Community Pool Mint Allocation to 10,/cosmos.distribution.v1beta1.MsgUpdateParams,PASSED,1753343727000,1753343727000,1753602927000,undefined,24891844,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,20745756.760462,0,0,0
49,shentud v2150 upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1751509634000,1751509634000,1751768834000,undefined,24574981,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,20169426.965806,0,0,0
48,Chain Code Audit for xbounty Module,Text,PASSED,1742439473000,1742439473000,1742698673000,undefined,23009478,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,22226394.34168,941260.163611,0,1021018.674601
47,shentud v2140 upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1737633463000,1737633463000,1737892663000,undefined,22193287,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,24023185.00359,0,0,0
46,Recover Shentu IBC Client on Osmosis,/ibc.core.client.v1.MsgRecoverClient,PASSED,1732438698000,1732438698000,1732697898000,undefined,21310867,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,26114647.325083,0,688614.252952,0
45,Recover Shentu IBC Client on Osmosis,/ibc.core.client.v1.MsgRecoverClient,FAILED,1732093225000,1732093225000,1732352425000,undefined,21252459,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,22948619.026169,0,0,0
44,shentud v2130 upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1731225705000,1731225705000,1731484905000,undefined,21105798,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,23636082.497289,0,0,0
43,shentud v2120 upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1729491004000,1729495360000,1729754560000,undefined,20815721,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,30848253.761365,0,0,0
42,Shentu DAPP Tools Auditing,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1724155929000,1724155929000,1724415129000,undefined,19927411,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,20902718.904418,0,0,5048795.840829
41,cosmosupgradev1beta1MsgSoftwareUpgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1720785564000,1720786591000,1721045791000,undefined,19367144,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,24518069.842962,0,0,14.72
40,shentu2100 upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1716378566000,1716378566000,1716637766000,undefined,18630026,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,24799068.666249,0,0,12.5
39,Allocate 100k CTK to the OpenBounty for Upfront Payment of Bounties to whitehat Hackers,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1711962683000,1711962683000,1712221883000,undefined,17890845,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,21146427.093996,1110.678241,0,4614576.260956
38,Set the maximum inflation rate to 10,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1711351817000,1711351817000,1711611017000,undefined,17788949,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,22354110.033351,540.637055,1.25,5013842.427942
37,Jeffs role change to Shentu Ecosystem Development Manager,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1711046171000,1711046171000,1711305371000,undefined,17737572,shentu1f96ca6nlf0t6tmzrz5f6qpdsxagjuc4vjz8rmf,13718617.132586,141349.395787,0,7274918.825353
36,Rewarding OpenBountys first hacker with 5000 CTK from the communitypool,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1710758812000,1710758812000,1711018012000,undefined,17689656,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,17519100.425435,372.597705,0,4723434.960274
35,Modify votingperiod,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1709727777000,1709727777000,1710159777000,undefined,17516491,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,24173217.8289,3247.766311,0,4399044.355543
34,Ben as Head of Business Development,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1707749101000,1707749101000,1708181101000,undefined,17184000,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,24592091.06697,70168.36,0,223069.32157
33,Chain Code Audit and Penetration Test for Dapps by Certik,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1703093072000,1703093072000,1703525072000,undefined,16406271,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,23505323.681691,500,0,1462412.36019
32,Edwin as a Shentu Community Manager,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1701901739000,1701901739000,1702333739000,undefined,16205183,shentu1f96ca6nlf0t6tmzrz5f6qpdsxagjuc4vjz8rmf,26333481.201081,88.99,0,2448.053527
31,Ivan as Shentu Partnership Manager,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1701291233000,1701291233000,1701723233000,undefined,16102501,shentu1f96ca6nlf0t6tmzrz5f6qpdsxagjuc4vjz8rmf,19817661.34684,88.99,0,261.526764
30,Felicia as Shentu Operation Manager,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1701195770000,1701195770000,1701627770000,undefined,16086450,shentu1f96ca6nlf0t6tmzrz5f6qpdsxagjuc4vjz8rmf,19877063.770657,88.99,0,87401.428213
29,shentu290 upgrade,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1700234895000,1700234895000,1700666895000,undefined,15926287,shentu1m556csc4khfj37na4r3catsmm8zc2gcngwsdsp,24521034.181233,0,17.01,0
