address,moniker,commission,rank,token,votingPower,timestamp
shentuvaloper19v90q02edxksq4pk9mrha7ss7gjc4g7f876eaq,Community Node,1,1,5943173,0.130372,1765152000000
shentuvaloper1ge40r5w778u9nzre60tsx2jf6da6y99ccng5ky,Binance Node,0.03,2,3953727,0.08673,1765152000000
shentuvaloper18tmu0lrfsdvke8e3a3jsd7fq2rs29krfyte2cf,Cosmostation,0.09,3,3065468,0.067245,1765152000000
shentuvaloper1yv5eqqjvsgpens6tfd8r9evtrcg8vhn5ta425m,CertiK,0.2,4,3044047,0.066775,1765152000000
shentuvaloper1795d6km32m8qtquepatf7npean9dgvrpxfnz02,StakeLabzone,0.05,5,1542156,0.033829,1765152000000
shentuvaloper1jlednjxak55pekp8ewg225wdy5wc9c5tzhgx2z,Nansen  Stake to Stack Points,0.1,6,1437878,0.031542,1765152000000
shentuvaloper1velh4j0yn0kwtytv4xfpeh4x76afadkvx274zu,AtlasNode,0.2,7,1327373,0.029118,1765152000000
shentuvaloper1vgpzxfmw8up2gugglj50t2uddlpd5shdu49c8g,DSRV,0.1,8,1080425,0.023701,1765152000000
shentuvaloper1hp9q527pz7qe242900zxrj5k6qcm7t0mspwn4c,Allnodes  0 fee,0,9,1028883,0.02257,1765152000000
shentuvaloper1tx2eqa5j3q8w6lwpsg2mam8w5f80vjqn535l3d,Ankr,0.1,10,1000182,0.02194,1765152000000
shentuvaloper1yauamh6kkusm77l20md8xgl4zve6hqmlhxpx2n,Validation Cloud,0.1,11,1000003,0.021936,1765152000000
shentuvaloper1ymt39v2qeegxtudnx7gyrjacj69uf4k023yt5m,Skyline,0.05,12,947344,0.020781,1765152000000
shentuvaloper1yhxsary5g7aquzp6d7lr7uvmtr90pu0ny95k3v,TTT VN,0.1,13,825550,0.01811,1765152000000
shentuvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4psfezn0, polkachucom,0.01,14,695330,0.015253,1765152000000
shentuvaloper1qy7jncf45lluxaya5jaxf9r284jnmzz5vkxzea,Stakewollecom  Autocompound,0.1,15,531770,0.011665,1765152000000
shentuvaloper1wt9lh4zqe8qqe7azc943l0cyn2kzwk3p4dm57a,stakelyio,0.09,16,497106,0.010905,1765152000000
shentuvaloper1xv6jr3mdu32rukec5af34cylmmw9r84vz23dnc,Stakin,0.2,17,477883,0.010483,1765152000000
shentuvaloper169zcqjmz5cejx4cm00g9mntn8xvuca86g9ph6j,InfStones,0.2,18,359850,0.007894,1765152000000
shentuvaloper1l5zz0v9ss3klrmga49uxha7f0fmpxmjx8kv6xy,HighStakesch  Stake for Airdrop,0.1,19,358250,0.007859,1765152000000
shentuvaloper1la3trfg35deqhp6srzq7zjpj6mgkvk6md3m65v,stakesystems,0.2,20,348317,0.007641,1765152000000
shentuvaloper1znxlkkrcpdazqtwcy3cknum0ws0xqk664jdzcc,Wudaokou Station,0.14,21,330932,0.007259,1765152000000
shentuvaloper1rk35hmly37qk672dknfq4x28ucd7jeq9r4jr5t,ByteVariety,0.2,22,320232,0.007025,1765152000000
shentuvaloper16lhapna7nfm0j3pnwt7tn4lxtx3q7hs4qe6r70,Crypto Lion ,0.01,23,308965,0.006778,1765152000000
shentuvaloper14wg0p9jlgp6vra7p4rw9vlyh5ra5svplqcmjtc,BlueStake   100 insurance,0.1,24,307083,0.006736,1765152000000
shentuvaloper1yvleuxlmg8vgmsczlqgufgkwj2p5x29lnmamkg,Panthea EU,0.2,25,301650,0.006617,1765152000000
shentuvaloper1qqrw7v5xcyxpp3f0gelp08td9q95ayfdugecw0,POSTHUMAN  StakeDrop,0.1,26,300232,0.006586,1765152000000
shentuvaloper1u05xu47w2hemqrpejn3dsxg7nqywx068q34y9z,STAVR REStake ON,0.2,27,280668,0.006157,1765152000000
shentuvaloper19q32eg8lu36xyqe3rfp85t6jwnymrjnsjxw8q0,ushakov,0.18,28,268671,0.005894,1765152000000
shentuvaloper19x3s23x9hvp98rdgrl6mnec8h5hy7zmnx7467v,Snow Fall,0.05,29,266389,0.005844,1765152000000
shentuvaloper1h9jylw5wrna0w8rlj8qcj8a3x05pht3uny9ryt,Topstake,0.1,30,263023,0.00577,1765152000000
shentuvaloper1nj59qd5h9tt4r0k40twj5ptp9f7xsmg0ez2vwu,Yurbason,0.15,31,256705,0.005631,1765152000000
shentuvaloper1ltwg39j75vkx06prtd9gaug25qgkv29xr9femj,StakeUp,0.2,32,254521,0.005583,1765152000000
shentuvaloper1zzgmgcq8m3hynpf9trxmpj5w5qzg9wsmgzgf75,SyaNodes,0.2,33,248441,0.00545,1765152000000
shentuvaloper1lrzxwu4dmy8030waevcpft7rpxjjz26c3jv9w9,node101,0.05,34,246368,0.005404,1765152000000
shentuvaloper1524p4k5yxs22ulw3jppjt0jtrhffj6hq6lg56x,agrestus,0.1,35,246158,0.0054,1765152000000
shentuvaloper1422gjxp0c343u0lypp728c48txuas8d2pknm82,OranG3cluB,0.2,36,244354,0.00536,1765152000000
shentuvaloper18grwhfspu435yw64dr077yws0am7y7knngh7cd,Anonstake,0.1,37,241823,0.005305,1765152000000
shentuvaloper1cn52t08yjvmxtfzzyvpyz0uz5tfnjkau6xne79,owlstake ,0.19,38,238401,0.00523,1765152000000
shentuvaloper1sqr3wnz7aujx8mpmydmdypuaafpvrgtsj50z02,AlxVoy  ANODETEAM,0.15,39,236860,0.005196,1765152000000
shentuvaloper1ta0ndyfue8dffhwxdmznkwmqssavsvpfxctths,LexPrime,0.14,40,236662,0.005192,1765152000000
shentuvaloper105d334nty5u38wc9scsz8659ucrhs2zjufxwh0,PoS Node,0.05,41,236216,0.005182,1765152000000
shentuvaloper1y6rsppgz9wwp83y906grhfq7gynshxknkd8q30,Cosmonaut Stakes ,0.2,42,235231,0.00516,1765152000000
shentuvaloper1xcyhwqussp9u6ul272ugfnqpq044m302fk55hv,ValidatorVN,0.2,43,232001,0.005089,1765152000000
shentuvaloper1d2x7lqmlduuu9zn76ewks8mv7f69xwq7txhg3v,Nodeasycom,0.1,44,232001,0.005089,1765152000000
shentuvaloper1k5t5cvx4dr6z70a3pz2kpa4gfu4nc8swfqe6wr,vas,0.15,45,224001,0.004914,1765152000000
shentuvaloper13ne32hkgeq7cz5mrhvedtavvvu7snv254yjhce,OtterSync,0.03,46,221167,0.004852,1765152000000
shentuvaloper1036rphfnyw49fzm5ajfud743j2qutlk9v8lgp2,web34ever,0.199,47,220102,0.004828,1765152000000
shentuvaloper14xy2wmrkwr43yjfnlpme24cu8r82nmpaf9g2ca,BlackBlocks,0.2,48,217602,0.004773,1765152000000
shentuvaloper1hqxy2ra9qn8a9mxjc3m09s2cvqa4f7ax05ahnh,sebytza05,0.2,49,216007,0.004738,1765152000000
