chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
stargaze,0.109242,2.4231401999999997,27402043,0.04064174676950842,898088467,2839991668,637866733,71,149,220,23859713,0.8707275220318427,0.8707275220318427,8132,263556,stargaze,0.0005341,1515448,3229,1593665,12419.61,0.00055778,0.00053275,-0.00000936,-1.722,-27515,-1.783,2839978150,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,0.05,-1.722,-9.314,-11.512,-28.116,-94.357,1765152000000
stargaze,0.108101,2.4712774,27366433,0.04065270810744841,907568571,2839225911,637828201,72,148,220,23856086,0.8717280034266797,0.8717280034266797,8222,263556,stargaze,0.00054346,1542962,3215,1623037,11632.45,0.00054641,0.00054222,2.8e-7,0.052,537,0.035,2839212760,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,-0.128,0.052,-6.54,-8.014,-18.417,-94.417,1765065600000
stargaze,0.107687,2.4368911,27331298,0.04066353252212711,911056387,2838470124,637790155,73,147,220,23853069,0.872738243167229,0.872738243167229,8332,263556,stargaze,0.00054322,1542424,3222,1622904,12864.33,0.00055441,0.0005407,-0.00000904,-1.636,-24810,-1.583,2838457059,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,-0.016,-1.636,-7.597,-13.64,-20.776,-93.635,1764979200000
stargaze,0.104486,2.4367869,27296254,0.040674363687340905,938965730,2837714269,637752201,74,146,220,23848868,0.8737047948044446,0.8737047948044446,8332,263556,stargaze,0.00055225,1567234,3225,1649447,16662.89,0.00063201,0.00055215,-0.000029,-4.99,-81353,-4.935,2837701296,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,-0.972,-4.99,-11.27,-15.835,-17.391,-93.757,1764892800000
stargaze,0.104579,2.4324976,27260936,0.04068526381011938,938130703,2836954007,637713912,74,146,220,23843962,0.8746567616020228,0.8746567616020228,8480,263556,stargaze,0.00058107,1648586,3204,1735532,12249.89,0.00058159,0.00052912,0.00004305,8.001,122379,8.019,2836940813,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,-0.028,8.001,-3.246,-9.147,-23.568,-92.836,1764806400000
stargaze,0.104762,2.4522817,27225515,0.040696200159302344,936488962,2836191628,637675511,74,146,220,23838980,0.8756117193742707,0.8756117193742707,8571,263556,stargaze,0.00053801,1526207,3257,1607130,10876.24,0.00054566,0.0005084,0.00002928,5.755,83016,5.752,2836178481,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,-0.114,5.755,-10.049,-21.833,-32,-92.989,1764720000000
stargaze,0.104708,2.4477583,27190062,0.040707169416882336,936975080,2835427389,637637037,74,146,220,23834021,0.876571042758196,0.876571042758196,8765,263556,stargaze,0.00050966,1443191,3267,1520123,12679.37,0.00058282,0.00049754,-0.00007316,-12.553,-209295,-12.665,2835414022,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,0.087,-12.553,-16.723,-26.731,-36.232,-93.539,1764633600000
stargaze,0.104427,2.4451369,27154773,0.040718063214249874,939498752,2834668771,637595497,74,146,220,23829721,0.877551839597407,0.877551839597407,8935,263556,stargaze,0.00058289,1652486,3183,1741040,12032.85,0.00059534,0.00057704,9.3e-7,0.16,3358,0.204,2834655450,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,-1.03,0.16,-3.173,-16.602,-25.647,-92.741,1764547200000
stargaze,0.104714,2.4454898000000003,27119468,0.04072901315893218,936926604,2833906674,637557174,74,146,220,23824691,0.8785087893317082,0.8785087893317082,9039,263556,stargaze,0.00058196,1649128,3192,1737969,12087.11,0.00058792,0.00055763,-0.00000561,-0.955,-15793,-0.949,2833893350,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,0.041,-0.955,-1.498,-20.698,-25.409,-92.485,1764460800000
stargaze,0.104589,2.4558476,27084179,0.04073996194087077,938044540,2833145067,637518945,74,146,220,23819688,0.8794687112354411,0.8794687112354411,9070,263556,stargaze,0.00058753,1664921,3197,1755085,13652.46,0.00062543,0.000562,-0.00003748,-5.997,-106273,-6,2833131743,2986560000,3000000000,0.83741,1644257249033,7.81e-9,1726692687952,-0.034,-5.997,-6.595,-22.989,-28.574,-92.138,1764374400000
