id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
329,Recover IBC Expired Client from AtomeOne,/ibc.core.client.v1.MsgRecoverClient,PASSED,1761758708000,1761758708000,1762017908000,undefined,26021679,stars1r5ecq7zn6hwh5e68e79ume8rp9ht7kjz352drk,493289216.342414,3720.000087,0,29188056.851106
328,   New Version  Borrow Stargaze,Text,REJECTED,1757434335000,1757434335000,1757693535000,undefined,24258768,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,0,556.583335,429465127.482404,0
327,Borrow ATOM   buy Stargaze ,Text,REJECTED,1755874408000,1755874408000,1756133608000,undefined,23622590,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,122570.129354,10886278.770449,386212066.809907,5100
326, Integration of Stargaze into Nebula7 for Quick CryptoBacked Loans,Text,REJECTED,1755582398000,1755582398000,1755841598000,undefined,23503718,stars1yknxl03nzyfx447mtdg7lgmede7vp5yqpqmdja,14853678.995549,141473859.207206,278702072.901497,15807023.004182
325,v17 Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1754320105000,1754320105000,1754579305000,undefined,22993817,stars1r5ecq7zn6hwh5e68e79ume8rp9ht7kjz352drk,585082885.266204,0,0,675
324,STARGAZE Airdrop   Last Chance,Text,REJECTED,1751897843000,1751897843000,1752157043000,undefined,22018774,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,249.999999,10601869.853031,376752492.701198,0
323,STARGAZE Airdrop  Last Chance,Text,REJECTED,1751118497000,1751118497000,1751377697000,undefined,21704933,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,7413.167759,10591357.882331,352140090.13809,0
322,STARGAZE Airdrop ,Text,REJECTED,1750867296000,1750867296000,1751126496000,undefined,21604543,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,3268.726335,10589292.845937,459919007.340938,175.522877
321,Reduce Validator Set to 75,/cosmos.staking.v1beta1.MsgUpdateParams,PASSED,1750710328000,1750710328000,1750969528000,undefined,21542776,stars1r5ecq7zn6hwh5e68e79ume8rp9ht7kjz352drk,373213479.47259,49624666.442641,381904.213256,148679038.387526
320,STARGAZE Airdrop ,Text,REJECTED,1749605534000,1749605534000,1749864734000,undefined,21106848,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,38425.937253,10696876.908671,381892974.311834,7470.765996
319,Feeling Lucky   Get Airdrop   STARGAZE,Text,REJECTED,1749352677000,1749352677000,1749611877000,undefined,21006952,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,51694.238608,10604866.866154,469673522.285267,1843.54688
318,Feeling Lucky   Get Airdrop ,Text,REJECTED,1749218579000,1749218579000,1749477779000,undefined,20954163,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,52739.17018,10630512.19698,389452061.218007,6328.04783
317,Get Airdrop   STARGAZE,Text,REJECTED,1748964115000,1748964115000,1749223315000,undefined,20854255,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,67730.657019,10609898.999923,430125099.242216,17445.472481
316,Feeling Lucky   Get Airdrop   STARGAZE,Text,REJECTED,1748828978000,1748828978000,1749088178000,undefined,20801129,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,52164.032821,10662716.855689,420049268.200873,48255.372038
315,Get Airdrop   STARGAZE,Text,REJECTED,1748631414000,1748631414000,1748890614000,undefined,20723209,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,37265.417643,8882.480422,385996726.116828,20985.535088
314,Get Money Airdrop   Feeling Lucky  ,Text,REJECTED,1748372224000,1748372224000,1748631424000,undefined,20621865,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,55089.588622,20529510.492065,424338045.813866,1283.27425
313,ATOM Airdrop ,Text,REJECTED,1748216142000,1748216142000,1748475342000,undefined,20561082,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,63982547.162119,9987686.152733,335450230.935217,20636.643225
312,Feeling Lucky   Get Airdrop   STARGAZE,Text,REJECTED,1748142821000,1748142821000,1748402021000,undefined,20532449,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,64402632.174734,9969527.010816,302821747.028031,6791.676242
311,Stargaze Airdrop  Get Airdrop ,Text,REJECTED,1748015894000,1748015894000,1748275094000,undefined,20483041,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,64073688.667369,10019538.07724,270415840.510279,6329.174763
310,New NFT Game ,Text,REJECTED,1747838965000,1747838965000,1748098165000,undefined,20414155,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,639605.688845,20553318.904502,450557912.095486,8186.133045
309,AtomONE Airdrop  New Airdrop ,Text,REJECTED,1747838427000,1747838427000,1748097627000,undefined,0,null,523900.090574,20562999.026437,442724456.181024,1218.27425
308,ATOM Airdrop  AtomONE Airdrop ,Text,REJECTED,1747672870000,1747672870000,1747932070000,undefined,20349878,stars17xj7l4fwa60ysp4aqcluler8xlpzdz5gpx64gh,172230.809715,20564936.225527,501402214.935589,9161.984998
307,Whitelist Kaka Labs Dev Address ,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1745774294000,1745774294000,1746033494000,undefined,0,null,510922947.03556,23124597.73504,15545.95171,68631204.065248
306,v16 Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1744729308000,1744729308000,1744988508000,undefined,19241510,stars1r5ecq7zn6hwh5e68e79ume8rp9ht7kjz352drk,603072082.305086,0,0,12025.044126
305,Revised Reactivate expired IBC client for Injective,/ibc.core.client.v1.MsgRecoverClient,PASSED,1741968714000,1742029166000,1742288366000,undefined,18432383,stars1kztn4xapr3mah9nc05wvvqhsg60t2l6tda9p9j,564851236.518614,700,0,8593023.027074
304,Send STARSMNTA LP to Liquidity DAO,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1741628856000,1741628856000,1741888056000,undefined,18333112,stars1dk3j0jmfgw3v3sv2nlm49ekq2zqdz9q5v6cf2p,573412194.191354,17752.061909,3153707.467756,54577173.13871
303,Reactivate expired IBC client for Injective,/ibc.core.client.v1.MsgRecoverClient,FAILED,1741515591000,1741516173000,1741775373000,undefined,18300016,stars1kztn4xapr3mah9nc05wvvqhsg60t2l6tda9p9j,643107123.244912,8643,0,17509267.570962
302,Proposal Sunset LiquidityDAO and Transition Liquidity Management to Marketplace DAO,Text,PASSED,1741126535000,1741126535000,1741385735000,undefined,18186883,stars1dk3j0jmfgw3v3sv2nlm49ekq2zqdz9q5v6cf2p,623288969.054265,9142.311028,0,31594452.547251
301,Whitelist Kromsten dev address,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1739353160000,1739353160000,1739612360000,undefined,17675670,stars1v85m4sxnndwmswtd8jrz3cd2m8u8eegqdxyluz,425248018.663513,36822627.893115,3292053.501697,129661682.939959
300,Establish STARSBTC Pool from Marketplace Revenue,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,PASSED,1738651812000,1738651812000,1738911012000,undefined,0,null,526439808.480569,0,0,28309902.437512
299,v15 Upgrade,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1738297194000,1738297194000,1738556394000,undefined,17416313,stars1r5ecq7zn6hwh5e68e79ume8rp9ht7kjz352drk,672362841.786435,10168.813753,0,9515.442713
298,Whitelist OM for use in Live Auctions,/cosmwasm.wasm.v1.MsgSudoContract,FAILED,1737033285000,1737041319000,1737300519000,undefined,17202337,stars153w5xhuqu3et29lgqk4dsynj6gjn96lr33wx4e,544306784.728145,9989535.797092,3107.922498,12273427.163362
297,Builder incentives on Stargaze,/cosmos.distribution.v1beta1.MsgCommunityPoolSpend,REJECTED,1736544601000,1736544601000,1736803801000,undefined,17119560,stars1lze4mhdus8tfh40046sz5r533grvua5rcv0f09,53335808.813638,377940161.078745,185244.239426,147492299.752002
296,Whitelist Ark Protocols Dev Wallet for Uploading InterChain NFT Contracts,/cosmwasm.wasm.v1.MsgAddCodeUploadParamsAddresses,PASSED,1736507182000,1736507182000,1736766382000,undefined,17113238,stars19pmppgpqnjkvjp6mx8q2dpuy382g4hhxfhucm8,505869335.153412,0,40,71610526.209814
