address,moniker,commission,rank,token,votingPower,timestamp
starsvaloper1ulvgmlttxhrnmegu57sj0n2qc7xvtrn9245jtu,Cosmostation,0.05,1,75908461,0.084521,1765152000000
starsvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4p60w86a,polkachucom,0.05,2,69348786,0.077217,1765152000000
starsvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qlh8sg9,Stakecito,0.05,3,52930693,0.058936,1765152000000
starsvaloper1vaq0mrf3vfs5pap7hhfs7lgfl4e2plum77halc,Allnodes,0.05,4,37076035,0.041283,1765152000000
starsvaloper1pn9m649n2ugeyw4a7lj4vdtm76f7ptlp0sqxhz,GATA HUB,0.05,5,27032625,0.0301,1765152000000
starsvaloper14ftwwcfvhnp3qvxawesjan5duh8rmrkrzdvquy,POSTHUMAN  StakeDrop,0.05,6,24104704,0.02684,1765152000000
starsvaloper1gz645mefvu5emd0llpfjchqqpyuxt0xxq34per,Bad Kids  100 Slashing,0.05,7,23773276,0.026471,1765152000000
starsvaloper16pj5gljqnqs0ajxakccfjhu05yczp987esm6lu,Chorus One,0.1,8,22464465,0.025013,1765152000000
starsvaloper1wz3692qvg6g3kcnnyta40rn2jj5jfhxqzntq0s,alkadeta,0.05,9,22344012,0.024879,1765152000000
starsvaloper1qy8vu3r6gcm3ydjglh427p8p036ya798hev2s8, The Silver Fox,0.05,10,21709807,0.024173,1765152000000
starsvaloper17r0cp9zrtkvzlz7a2r09gmdxwqfyje9898petq,Kahuna,0.05,11,20154674,0.022441,1765152000000
starsvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wuske5h,Frens ,0.05,12,19635749,0.021864,1765152000000
starsvaloper1mz2qks48v486d9m8wp4l9fxm2e9l0e0kzk79m5,StakeLabzone,0.05,13,19471513,0.021681,1765152000000
starsvaloper1jlhu56rs6st0vyaneleg2lp0seqknw5j2fkpr4,Larry Engineer,0.05,14,19205860,0.021385,1765152000000
starsvaloper16s77uvzu5c5wvnhepx4m69z8xft9pd68t4973p,Keplr,0.1,15,18428455,0.020519,1765152000000
starsvaloper1y3cxrze7kmktj93atd42g9rffyg823g0qjqelc,Imperatorco,0.05,16,17869649,0.019897,1765152000000
starsvaloper1y58hfnm90r4efhlydx0gavz57lvm7k6uulkg3h,BronBro,0.05,17,17345285,0.019313,1765152000000
starsvaloper1qv2tdjma7dcg6jmgawwd0aajjcx89rqca0cqgr,Citadelone,0.05,18,16149410,0.017982,1765152000000
