source,target,messages,txs,channel,timestamp,volume,type
terra,cosmos,231,223,transfer/channel-0,1764892800000,14957.99278996,ack
terra,osmosis,189,187,transfer/channel-1,1764892800000,11024.81005562,ack
terra,noble,1784,1693,transfer/channel-253,1764892800000,223438.98106000002,ack
terra,injective,12,12,transfer/channel-255,1764892800000,49.89844271938434,ack
terra,crescent,0,0,transfer/channel-37,1764892800000,0,ack
terra,stride,7,7,transfer/channel-46,1764892800000,0.832593,ack
terra,axelar,340,340,transfer/channel-6,1764892800000,23380.078875670373,ack
terra,dydx,2,2,transfer/channel-299,1764892800000,0,ack
terra,kujira,1,1,transfer/channel-10,1764892800000,0,ack
terra,kava,0,0,transfer/channel-100,1764892800000,0,ack
terra,agoric,0,0,transfer/channel-101,1764892800000,0,ack
terra,akash,0,0,transfer/channel-102,1764892800000,0,ack
terra,arkh,0,0,transfer/channel-103,1764892800000,0,ack
terra,bitsong,0,0,transfer/channel-104,1764892800000,0,ack
terra,asset-mantle,0,0,transfer/channel-105,1764892800000,0,ack
terra,band,0,0,transfer/channel-106,1764892800000,0,ack
terra,bitcanna,0,0,transfer/channel-107,1764892800000,0,ack
terra,bostrom,0,0,transfer/channel-108,1764892800000,0,ack
terra,crypto-org,0,0,transfer/channel-109,1764892800000,0,ack
terra,desmos,0,0,transfer/channel-110,1764892800000,0,ack
terra,osmosis,0,0,transfer/channel-11,1764892800000,0,ack
terra,fetchai,0,0,transfer/channel-111,1764892800000,0,ack
terra,iris,0,0,transfer/channel-112,1764892800000,0,ack
terra,jackal-1,0,0,transfer/channel-113,1764892800000,0,ack
terra,eightball-1,0,0,transfer/channel-115,1764892800000,0,ack
terra,likecoin,0,0,transfer/channel-120,1764892800000,0,ack
terra,osmosis,0,0,transfer/channel-12,1764892800000,0,ack
terra,eightball-1,0,0,transfer/channel-122,1764892800000,0,ack
terra,bostrom,0,0,transfer/channel-121,1764892800000,0,ack
terra,arkh,0,0,transfer/channel-123,1764892800000,0,ack
terra,odin-mainnet-freya,0,0,transfer/channel-126,1764892800000,0,ack
terra,jackal-1,0,0,transfer/channel-124,1764892800000,0,ack
terra,persistence,0,0,transfer/channel-127,1764892800000,0,ack
