chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
terra,0.248995,5.840403500000001,18651910,0.07,362371067,1175477521,159688675,127,79,206,31353922,1.68100328599055,1.68100328599055,5382,397449,terra-luna-2,0.101005,69805750,531,109482542,106027278,0.142526,0.101106,-0.03482867,-25.641,-23851096,-25.466,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-1.672,-25.641,38.12,38.282,8.663,-85.993,1765152000000
terra,0.248752,5.8559746,18637110,0.07,362644017,1175171268,159688675,127,79,206,31328496,1.6809739278246467,1.6809739278246467,5231,397354,terra-luna-2,0.134178,93656846,443,146890328,280357299,0.157648,0.097391,0.0329346,32.53,24970447,36.354,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-2.72,32.53,83.137,85.948,65.482,-81.827,1765065600000
terra,0.254096,5.8551795,18622357,0.07,354101618,1174866121,159688675,127,79,206,31272084,1.6792763665737909,1.6792763665737909,5296,397323,terra-luna-2,0.101201,69606525,538,109170080,201026890,0.1245,0.073959,0.02724128,36.833,18626431,36.537,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-2.011,36.833,36.864,44.877,24.267,-86.602,1764979200000
terra,0.251702,5.8374679,18607589,0.07,357364962,1174561385,159688675,127,79,206,31217875,1.6776958583941208,1.6776958583941208,5296,397323,terra-luna-2,0.074095,50763239,638,79616485,13199636,0.073959,0.070882,0.00126372,1.735,677139,1.352,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,2.093,1.735,-0.921,1.255,-3.118,-89.831,1764892800000
terra,0.251535,5.836064100000001,18592784,0.07,357544924,1174255974,159688674,127,79,206,31211488,1.678688248085924,1.678688248085924,5432,397253,terra-luna-2,0.072835,50086099,654,78554467,10172946,0.073326,0.070717,0.00176729,2.487,1191249,2.436,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.286,2.487,-2.432,-1.878,-10.395,-88.217,1764806400000
terra,0.25153,5.8351298,18577978,0.07,357457614,1173950626,159688674,127,79,206,31205695,1.6797142832228567,1.6797142832228567,5974,397253,terra-luna-2,0.071066,48915343,658,76718266,14652226,0.071941,0.066928,0.00308039,4.531,2131031,4.555,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.58,4.531,-2.575,-8.692,-22.872,-88.108,1764720000000
terra,0.251357,5.8470968,18563171,0.07,357611613,1173645295,189688674,127,79,206,31200187,1.6807573986147086,1.6807573986147086,6227,397253,terra-luna-2,0.06802,46784313,655,73375982,14543515,0.072465,0.065948,-0.00444449,-6.133,-3044110,-6.109,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,0.338,-6.133,-7.739,-10.726,-27.825,-88.113,1764633600000
terra,0.251291,5.839911,18548383,0.07,357615641,1173340449,189688674,127,79,206,31193281,1.6817250862244972,1.6817250862244972,6291,397253,terra-luna-2,0.072425,49828423,651,78150329,9113987,0.074085,0.072174,-0.00038032,-0.522,-227983,-0.455,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.92,-0.522,-0.846,-6.619,-22.633,-87.992,1764547200000
terra,0.251306,5.8361966999999995,18533582,0.07,357501259,1173035419,189688674,127,79,206,31187903,1.682777943303135,1.682777943303135,6360,397240,terra-luna-2,0.072803,50056405,657,78507895,9268034,0.07606,0.072661,-0.0011416,-1.544,-789183,-1.552,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.074,-1.544,0.893,-10.307,-20.474,-86.043,1764460800000
terra,0.249852,5.8431131999999995,18518778,0.07,359486574,1172730428,189688674,127,79,206,31182510,1.6838319461467706,1.6838319461467706,6388,397240,terra-luna-2,0.07394,50848972,656,79750947,9176740,0.075429,0.072997,-0.00089104,-1.191,-646899,-1.256,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.166,-1.191,5.851,-7.599,-24.708,-85.251,1764374400000
terra,0.249837,5.842961,18503991,0.07,359457905,1172425793,189688674,127,79,206,31177705,1.6849178644758311,1.6849178644758311,6487,397240,terra-luna-2,0.074832,51495871,652,80765536,10732440,0.076758,0.074003,0.00033298,0.447,267654,0.522,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,0.014,0.447,2.261,-5.446,-22.115,-84.63,1764288000000
terra,0.249635,5.8419634,18489200,0.07,359637531,1172121201,189688674,127,79,206,31172166,1.6859661856651451,1.6859661856651451,6602,397189,terra-luna-2,0.074506,51229318,649,80347477,9768050,0.074952,0.071982,0.00124037,1.693,847838,1.683,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.194,1.693,0.372,-13.624,-24.597,-84.167,1764201600000
terra,0.249496,5.8417532,18474411,0.07,359745664,1171816695,189688674,127,79,206,31167097,1.6870414434322154,1.6870414434322154,6677,397126,terra-luna-2,0.073272,50445777,646,79118581,10562418,0.073789,0.071646,-0.00026702,-0.363,-219329,-0.433,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.008,-0.363,-6.27,-16.323,-28.397,-85.092,1764115200000
terra,0.249468,5.850392899999999,18459617,0.07,359711012,1171512191,189688674,127,79,206,31160019,1.6880100491792436,1.6880100491792436,6677,397126,terra-luna-2,0.073581,50665106,643,79462574,10564051,0.074516,0.071128,0.00118817,1.641,873969,1.755,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.103,1.641,-3.428,-18.792,-26.566,-85.419,1764028800000
terra,0.249387,5.8487587,18444845,0.07,359759890,1171208185,189688674,127,79,206,31152493,1.6889539055492198,1.6889539055492198,6716,397056,terra-luna-2,0.072394,49791137,637,78091850,22215602,0.078124,0.070908,0.00056914,0.792,437439,0.886,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.889,0.792,-6.66,-20.487,-28.34,-85.723,1763942400000
terra,0.249395,5.8451923,18430073,0.07,359652768,1170904249,189688674,127,79,206,31139959,1.6896275451540534,1.6896275451540534,6737,397056,terra-luna-2,0.071735,49353697,639,77405776,21957546,0.082137,0.06913,0.00019052,0.266,157416,0.32,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-0.588,0.266,-11.181,-20.306,-27.148,-84.488,1763856000000
terra,0.249306,5.8400907,18415282,0.07,359697785,1170599993,189688674,127,79,206,31128042,1.6903375142449624,1.6903375142449624,6746,397024,terra-luna-2,0.071544,49196281,641,77158886,17364088,0.073412,0.066786,-0.00113529,-1.562,-787561,-1.576,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,2.104,-1.562,-10.593,-22.932,-25.086,-83.422,1763769600000
terra,0.249174,5.8454488,18400491,0.07,359794438,1170295796,189688674,127,79,206,31116716,1.691080743443205,1.691080743443205,6808,397024,terra-luna-2,0.072536,49983842,660,78394087,10173256,0.076913,0.071031,-0.00208433,-2.793,-1329312,-2.591,687660230,1078518456,0,18.87,1653729494847,0.04580672,1760131612228,-1.647,-2.793,-10.29,-10.472,-27.502,-81.828,1763683200000
