timestamp,blockCount,txCount
1765065600000,14800,25420
1764979200000,14752,56412
1764892800000,14769,54209
1764806400000,14805,6396
1764720000000,14806,5794
1764633600000,14808,5503
1764547200000,14787,6905
1764460800000,14801,5377
1764374400000,14804,5399
1764288000000,14787,4803
1764201600000,14789,5539
1764115200000,14792,5073
1764028800000,14792,7071
1763942400000,14773,7528
1763856000000,14771,12536
1763769600000,14791,11914
1763683200000,14792,11318
1763596800000,14784,8828
1763510400000,14788,7794
1763424000000,14777,6684
1763337600000,14774,10587
1763251200000,14775,6692
1763164800000,14772,8171
1763078400000,14730,8430
1762992000000,14728,8590
1762905600000,14736,7695
1762819200000,14732,8292
1762732800000,14746,7487
1762646400000,14744,6640
1762560000000,14735,7319
1762473600000,14718,13130
1762387200000,14756,7354
1762300800000,14763,6685
1762214400000,14747,13485
1762128000000,14772,10598
1762041600000,14761,5625
1761955200000,14761,5391
1761868800000,14765,6377
1761782400000,14769,8633
1761696000000,14752,6396
1761609600000,14737,5217
1761523200000,14772,6201
1761436800000,14779,4837
1761350400000,14784,4231
1761264000000,14784,5279
1761177600000,14788,5621
1761091200000,14731,7892
1761004800000,14746,10250
1760918400000,14788,6416
1760832000000,14812,5078
1760745600000,14809,6707
1760659200000,14793,9856
1760572800000,14752,11840
1760486400000,14742,7540
1760400000000,14739,8625
1760313600000,14685,8421
1760227200000,14774,9198
1760140800000,14753,14936
1760054400000,14769,22896
1759968000000,14756,8365
1759881600000,14749,7460
1759795200000,14692,8368
1759708800000,14700,11201
1759622400000,14720,6878
1759536000000,14694,6058
1759449600000,14726,6066
1759363200000,14721,6299
1759276800000,14729,6996
1759190400000,14728,6175
1759104000000,14726,5842
1759017600000,14731,4563
1758931200000,14749,4697
1758844800000,14743,5317
1758758400000,14743,8304
1758672000000,14749,5755
1758585600000,14717,7280
1758499200000,14743,10281
1758412800000,14735,6723
1758326400000,14728,5943
1758240000000,14722,7093
1758153600000,14707,9508
1758067200000,14712,7416
1757980800000,14716,5572
1757894400000,14706,9695
1757808000000,14715,5912
1757721600000,14720,5385
1757635200000,14727,5249
1757548800000,14730,5172
1757462400000,14706,7287
1757376000000,14671,6494
1757289600000,14668,5946
1757203200000,14704,5176
1757116800000,14707,4545
1757030400000,14754,6089
1756944000000,14759,6534
1756857600000,14760,5342
1756771200000,14755,6165
1756684800000,14749,8638
1756598400000,14763,5880
1756512000000,14763,5056
1756425600000,14761,6217
1756339200000,14731,5956
1756252800000,14681,6080
1756166400000,14738,7372
1756080000000,14720,8404
1755993600000,14693,8393
1755907200000,14647,6946
1755820800000,14683,9269
1755734400000,14682,5841
1755648000000,14682,8311
1755561600000,14678,7520
1755475200000,14686,7914
1755388800000,14694,6465
1755302400000,14692,7239
1755216000000,14685,6672
1755129600000,14649,9644
1755043200000,14679,7488
1754956800000,14676,9430
1754870400000,14666,11271
1754784000000,14650,6431
1754697600000,14631,5499
1754611200000,14639,6723
1754524800000,14694,7431
1754438400000,14695,6638
1754352000000,14658,11036
1754265600000,14658,9699
1754179200000,14651,7544
1754092800000,14651,8707
1754006400000,14316,17702
1753920000000,14675,11651
1753833600000,14689,11867
1753747200000,14690,11202
1753660800000,14689,8621
1753574400000,14694,5604
1753488000000,14703,5689
1753401600000,14696,8732
1753315200000,14701,10447
1753228800000,14639,9661
1753142400000,14760,9496
1753056000000,14761,14446
1752969600000,14743,10655
1752883200000,14754,6789
1752796800000,14741,15383
1752710400000,14743,8907
1752624000000,14766,8744
1752537600000,14766,8489
1752451200000,14759,8751
1752364800000,14757,6828
1752278400000,14754,8437
1752192000000,14760,12860
1752105600000,14760,12510
1752019200000,14771,6016
1751932800000,14571,5639
1751846400000,14126,6052
1751760000000,14652,8781
1751673600000,14663,7124
1751587200000,14661,6970
1751500800000,14647,5475
1751414400000,14632,9240
1751328000000,14644,8864
1751241600000,14636,10103
1751155200000,14630,6615
1751068800000,14632,4733
1750982400000,14621,6066
1750896000000,14616,6586
1750809600000,14623,6737
1750723200000,14558,7534
1750636800000,14645,8046
1750550400000,14633,12036
1750464000000,14632,8417
1750377600000,14608,33076
1750291200000,14644,11138
1750204800000,14642,6148
1750118400000,14637,6496
1750032000000,14654,6570
1749945600000,14640,5498
1749859200000,14648,6990
1749772800000,14641,9515
1749686400000,14634,8876
1749600000000,14636,9150
