address,moniker,commission,rank,token,votingPower,timestamp
terravaloper120ppepaj2lh5vreadx42wnjjznh55vvktp78wk,Allnodes,0.05,1,34382452,0.095242,1765152000000
terravaloper1f6wuq93320s6w7vvnkc0576g9mtqfmz9a8wqxk,DELIGHT,0.05,2,23244186,0.064388,1765152000000
terravaloper188e99yz54744uhr8xjfxmmplhnuw75xea55zfp,Smart Stake ,0.05,3,18605683,0.051539,1765152000000
terravaloper1gdvfugy7vt9vk8evntwe54knsqyncmpjzyhljt,KuCoin LUNA Node,0.05,4,11956754,0.033121,1765152000000
terravaloper19kg9ncvkuk08pxz0rnnywh65h5tvux9mlj7tc3,LUNAStaker,0.05,5,11117792,0.030797,1765152000000
terravaloper16vc0num5aaq4mqdh4vjhs02s3ypd0j8c7ujxpm,Stakelyio,0.05,6,9461976,0.02621,1765152000000
terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh, polkachucom,0.05,7,8695526,0.024087,1765152000000
terravaloper1pet430t7ykswxuyhh56d4gk6rt7qgu9as6a5r0, The Lion DAO,0.075,8,8668099,0.024011,1765152000000
terravaloper15lsftv92eyssjwkh2393s0nhjc07kryqen2fqf,Galactic Punks Validator,0.1,9,8549998,0.023684,1765152000000
terravaloper1564j3fq8p8np4yhh4lytnftz33japc03wn40kg,Cosmostation,0.05,10,7869407,0.021799,1765152000000
terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,Orbital Command,0.1,11,7765024,0.02151,1765152000000
terravaloper1wdymftapg5pcvf2aqw4pd0yuuh5w9m6yqdnukv,01node,0.05,12,7753865,0.021479,1765152000000
terravaloper1jt8pcx4sesgztjkjsvjjqtvyfgcehqx09u4exq,Terrascope,0.1,13,7021995,0.019451,1765152000000
terravaloper1vm5azhvaxeanc7auxh02y8jmxrk8tj93f43e7j,ERIS  Delegate for claimdrop,0.1,14,6484994,0.017964,1765152000000
terravaloper1tm0xkark2ufecmdhgaaw7gqsycyt4qag6py8x6,Synergy Nodes,0.1,15,6410197,0.017757,1765152000000
terravaloper1ltegerwren4tcaxpwxpkgs94ztnrcu0sk9cajz,TheNFTProject,1,16,6173541,0.017101,1765152000000
terravaloper1vcd42qfvlvnjwaw7hvl6y32wrzqxvas653yus9, LavenderFive Nodes ,0.05,17,6057280,0.016779,1765152000000
terravaloper1htey4gcdcass29vn4dwjcuq58mrvv8ra5pjz4k,cosmosrescue,0.1,18,6010920,0.016651,1765152000000
terravaloper1a9zv7n6pmkzlm3wj6c23qyejqlmyxsl5faanrv,Active Nodes,0.09,19,5403473,0.014968,1765152000000
terravaloper1mgpgp53tynj4djmckxdjhufa7q8lqqjuwnrlqm,Stakin,0.1,20,5335876,0.014781,1765152000000
terravaloper1pgyelqv0hwjavgf6vhdm4e4pt766wfxxczu20l,HighStakesch  Stake for Airdrop,0.1,21,5081405,0.014076,1765152000000
terravaloper1cqc26lnatzxvu0z5nd4yx8m4ecllkm7jlakwrw,SOLID,0.1,22,4760064,0.013186,1765152000000
terravaloper10c04ysz9uznx2mkenuk3j3esjczyqh0j783nzt,SCVSecurity,0.1,23,4627943,0.01282,1765152000000
terravaloper1puzp2yjqps43x7nse33svljc550xjz35jxg432,ProNodes75,0.05,24,4604508,0.012755,1765152000000
terravaloper1wr0p7dzss74wfmzfqm8r65mk26efg5zhzpm77s,BackBone Labs  Delegate for SOUL Claim Drop,0.1,25,4494054,0.012449,1765152000000
terravaloper1wzvgc8j840qtsfsa55kuf9cypqwa2tqnkrduqx,Aardvark,0.13,26,4428051,0.012266,1765152000000
terravaloper1l920a79akuc98hz4389axf9ctcymrf5ays578x,WildSage ,0.05,27,4416625,0.012234,1765152000000
terravaloper10qz4hfudfnllkgvhnm7k40dewg27nhxz3yn895,Inotel,0.1,28,4172159,0.011557,1765152000000
terravaloper1plxp55happ379eevsnk2xeuwzsrldsmqduyu36,0basevc,0.09,29,4111015,0.011388,1765152000000
terravaloper1fs8g3mlg3f4f4yrckvwk7dk4lt3nv4gtx2uqwj,Centauri Alpha,0.1,30,3959010,0.010967,1765152000000
terravaloper1vh9m0jpuznh00t05c66yqqpsgqzudrg258q6ch,r93AX Nodes,0.1,31,3852488,0.010672,1765152000000
terravaloper1cs0dspacdhym4cwcm3f7suurfszvl6k5s9p06a,TdrSys  AutoCompound,0.05,32,3774786,0.010456,1765152000000
terravaloper17q3y0exn6ndxkf78rcvj70gp7mrezmdx4z54xu,ISS,0.13,33,3493898,0.009678,1765152000000
terravaloper14rftkw37eltf74degzajq4s5phg23vjlu9h9as,Core Dev EngineeringTerra,0.05,34,2928028,0.008111,1765152000000
terravaloper1a98g7kjemhgvmu4zyddnrv8fgccd4keac0w38t,Top Shelf,0.2,35,2711651,0.007511,1765152000000
terravaloper1axr9pdaf5u0jryrlzhs4twvyaj4rr49mmvywn8,TerraDactyl,0.2,36,2460807,0.006817,1765152000000
terravaloper1wwq9mfkkqfta334d4hcjrjau9y50a4hw37zhdl,Nansen  Stake to Stack Points,0.05,37,2289451,0.006342,1765152000000
terravaloper13qjxhnw98lm36rxc9yjakkmulhpv7zctdhcl03,4719,0.2,38,2259396,0.006259,1765152000000
terravaloper1e4sju9ya52l8ndjcneut4hg52y228360j0w86r,syncnode,0.1,39,2253322,0.006242,1765152000000
terravaloper1l63t9c0nruewg5zdrmv8pvcxdg0az6fqgg008k,Node39TOP,0.1,40,2231293,0.006181,1765152000000
terravaloper1lg8zwpjvyx4pqy0j5ue2kf08edkuwy6l0j7f0h,owlstake,0.1,41,2229006,0.006175,1765152000000
terravaloper17kh8ngu3s74epwympaxrp4ukahm5rvtf5zc8ma,Coinage x DAIC,0.05,42,2194523,0.006079,1765152000000
terravaloper1vrkzjujfds9p8t5g0xety3e3ft4dep02etv9le,NFTSwitchxyz  Delegate for SOUL Claim Drop,0.05,43,2173179,0.00602,1765152000000
terravaloper1kepapcnh78hsk8nx2u9nv05rn7vjwwf4fr59zu,Interstellar  ,0.1,44,2159831,0.005983,1765152000000
terravaloper1q8w4u2wyhx574m70gwe8km5za2ptanny9mnqy3,Ceres Ventures,0.0999,45,2119487,0.005871,1765152000000
terravaloper1kxyzu575tex8dv6d5uk26t4q8x5lusw082w3t8,TCB THORmaximalist,0.2,46,2053869,0.005689,1765152000000
terravaloper18pmvpy25zc7x0u8ppefuyyl2zaafe2wut0nm5e,Y,0.1,47,2024777,0.005609,1765152000000
terravaloper18vnm040mwk0d6plc60v5m9h2376gkcphknuwzs,PRYZM  StakeDrop,0.2,48,1961429,0.005433,1765152000000
terravaloper1yej82e2zursn2f56vgxfvmydwj9f2awluhusqh,MANTRA DAO,0.05,49,1878621,0.005204,1765152000000
terravaloper1s6j9wxyprdsxmdf6mvsegsldvmtk0p92pa7aey,TERRAFIRMA,0.1,50,1838478,0.005093,1765152000000
terravaloper1dvl464gpzxwru4a97q6pzqv7n7rcnxwlyspnau,Orion  AutoCompound,0.05,51,1828471,0.005065,1765152000000
terravaloper1wzu2j73nvccghywtghku5ch59f67jykw58na64,Secure Secrets,0.05,52,1824586,0.005054,1765152000000
terravaloper1rgdps79da300t87twwkcly6ec3vlpgpfgnsel5,Mario,0.08,53,1757473,0.004868,1765152000000
terravaloper1j4cc2p4f4t4m3z37gumr6cr64vm605aa4wmcyf,Moon Platoon,0.2,54,1748375,0.004843,1765152000000
terravaloper1znh6eq79l3z5l7ctnrjr2d8ksaght25lku6mlw,Luna Whale,0.2,55,1718920,0.004762,1765152000000
terravaloper1tfy452kxfcsa2353nenltade9esj7ffrc38gwn,Stakeflow,0.1,56,1708920,0.004734,1765152000000
terravaloper1tz203ptlsfs8c63f2j0d0872pt5frjrvtfg0vd, LUNC DAO ,0.2,57,1700863,0.004712,1765152000000
terravaloper1t3zvwaz7v3epg3f33waxajv4nj95mt8ma9yc7g,Futura Meridian,0.2,58,1694332,0.004693,1765152000000
terravaloper1tthd0d5t6xksag3qp5cwvmyj7d6k9sktujnjrk,Mosaic,0.2,59,1691993,0.004687,1765152000000
terravaloper1hr7svdp2rga9vf3ry95sx7g5wyspgwmg96vqg5,PFC  Stake for SOUL airdrop,0.2,60,1680793,0.004656,1765152000000
terravaloper1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6at87yp,coinhallorg,0.05,61,1674323,0.004638,1765152000000
terravaloper12y453v20w2dlv2y0vlepf88ng0r6sfsz6k7qm4,Sapient Nodes,0.16,62,1617972,0.004482,1765152000000
terravaloper1vjr8z6g38f39j23y55pdektc3l2uqc9y02f9k5,Talis Protocol,0.1,63,1594513,0.004417,1765152000000
terravaloper1yy5379nk24xffpq4egw7ue4ad3j7l79ma2enmz, AutoStake  Slash Protected,0.1,64,1563626,0.004331,1765152000000
terravaloper199fjq4rnfvz24cktl8cervx8h8e90rukmgdv5x, CryptoCrew  100 MEV revenue to LUNA stakers IBCgang REstake,0.05,65,1534481,0.004251,1765152000000
terravaloper1kgn6zznfq2xwrw3hrh7qtqjwu98es7vt8azjl3,Easy 2 Stake,0.05,66,1496376,0.004145,1765152000000
terravaloper1mh0zq89rggupayas2jlfffcyshaf4ep2j09jyv,Flipside,0.2,67,1473958,0.004083,1765152000000
terravaloper1hy8lzd38kp0t8662r2vnxsc4ezs3l74506jx02,LUNA REWARDS,0.05,68,1406280,0.003896,1765152000000
terravaloper1xgejf5yvc2ff4ddrd4nuvcmexx5sn94aaz84tc,Monster Node,0.1,69,1381696,0.003827,1765152000000
terravaloper1aa6f2qeu0hrqpsxe4rggz0k7e43jfce43arz82,HEXXAGON,0.05,70,1367735,0.003789,1765152000000
terravaloper1kcsunyhnhmnc0afrrynd7qfzykmhm3w5ely6fh,Nodeplus,0.1,71,1305026,0.003615,1765152000000
terravaloper1l9mchtvqgvpyskgtemsrkjn0e57a7wm6c863uj,moonshot,0.05,72,1283320,0.003555,1765152000000
terravaloper1sextn6xd46edrc02tf6d2fysmqw62qu7ng3kkm,MissionControl,0.1,73,1244927,0.003449,1765152000000
terravaloper1pervlaqpwmyh6t5dnly34t6d6wptstwt66tu20,Craig,0.2,74,1230582,0.003409,1765152000000
terravaloper1src9wvawtfl6ztxss8zu45zuxnwj4ytpnr30jn,Obi Formerly Terra Bites,0.1,75,1213577,0.003362,1765152000000
terravaloper1ygwhuksjq3nymd9n8kmceaxd3vxv97u7ja33aj,FreshSTAKING,0.0999,76,1212999,0.00336,1765152000000
terravaloper1g50t9cxzhu0edk2r5lagmujupt722mhefxvzzy,Wave,0.2,77,1201821,0.003329,1765152000000
terravaloper10mmhvx5nrnuye2x9zhe02jcg0hfzzzjlwc0sxw,Autism Staking,0.05,78,1194779,0.00331,1765152000000
terravaloper1g0deaesmwy2qg9zupynx6ychspe60lquu3eyze,StakeSabai,0.05,79,1153064,0.003194,1765152000000
terravaloper1jveyrzquwrt0txanmhg7jdhf2q4ry28k2esps4,stakingcabin,0.1,80,1152929,0.003194,1765152000000
terravaloper1qlgyrmaadru03rd9j0w9nr5p2quhthlrhujknq,Interdimensional Cable,0.2,81,1100458,0.003048,1765152000000
terravaloper13n2fsvfvj28eqvkjejhqlxf3pch3muxkxudacc,StakeBin,0.1,82,1050995,0.002911,1765152000000
terravaloper1rgsr8ks5lj5lcrrnlarmcwxlgtwn8mkyrz6unf,coreweave,0.05,83,1007825,0.002792,1765152000000
terravaloper1u53qwdgafryksqnzq3k7e5eyph7jlh8kgc3va4,Imperatorco,0.05,84,977227,0.002707,1765152000000
terravaloper1ettjrqla8cpmx0wvdurjynn7776gurx5yp9pe4,RuneTerra,0.2,85,970427,0.002688,1765152000000
terravaloper1cl8j3r09vmlxf5zsq4xms7td8x2qcfml8637yf, uGaenn ,0.05,86,951688,0.002636,1765152000000
terravaloper1gtw2uxdkdt3tvq790ckjz8jm8qgwkdw3uptstn,Terran One,0.2,87,949113,0.002629,1765152000000
terravaloper1j5k9jank9kkwwjwce0ljy723xfppnpunv959l0,Spica Nova,0.2,88,942688,0.002611,1765152000000
terravaloper1jncrqd24wtcdpes9y89qsh0jn5c8sayn92302l,Staker Space,0.06,89,919036,0.002546,1765152000000
terravaloper15389y60f0rk596tm38qewqycr8ztt8hshsf2mk,Interstake One,0.2,90,903808,0.002504,1765152000000
terravaloper1uy69jhptztw02z03qnh430d2vsmh937gy55pkm,MCF,0.2,91,861705,0.002387,1765152000000
terravaloper1ygmjw8f34uadvspjfeu7vhptqmp8j925adyusw,Moon Dog,0.2,92,861575,0.002387,1765152000000
terravaloper1a4us48c6q5tnew0an0283j3zz8pvqry993wzxm,Sarah Kerrigan,0.2,93,851047,0.002357,1765152000000
terravaloper1lnlasdy5r2hdjz3ta2r86ufkz309zdjvqshec4,KK Validator,0.1,94,779463,0.002159,1765152000000
terravaloper1xy9c3fw8am0z942qa73e6gq89fhqzvyfv4qq6f,Stake N Shake,0.2,95,743856,0.002061,1765152000000
terravaloper16a0x4us8x6yg2xj5upx88hcum2cymknekepvgs,MrK,0.05,96,739022,0.002047,1765152000000
terravaloper1ulwqct0df2xuuaqzcq4yax3msdqgew6ehhcl7r,AuraStake,0.1,97,714956,0.00198,1765152000000
terravaloper1hy99h5xn44jtn76dla93wsps8h2eqsxqah4zhj,HEX TRUST,0.1,98,714691,0.00198,1765152000000
terravaloper1ccwgk6gvgtm556gxe0v79p48nrgsey05w3fle4,Luna Station 88,0.1,99,703556,0.001949,1765152000000
terravaloper1tla0fhljcn4x6qc7kne4qsyx6vqq98zxas4849,Hex Trust,0.1,100,702754,0.001947,1765152000000
terravaloper1ysc3qzsqac2tunsmz9uy4gmtjqevvmtxpn0g6l,jesselstake,0.2,101,701629,0.001944,1765152000000
terravaloper1mh6zgqltndg3jq2unqh4nldgameavpm6pzdk8v,HappyLunatic,0.2,102,699824,0.001939,1765152000000
