chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
xpla,0.6065778170061134,5.9361977,17229147,0,111411290,1999921588,60245346,50,57,107,19203455,1.1145911634510983,1.1145911634510983,2068,123119,xpla,0.01648216,14593263,1304,32975627,310522,0.01726846,0.01602874,0.00033474,2.073,301921,2.113,885059180,1999921588,2000000000,1.4,1678927328336,0.01558133,1764642301877,-0.059,2.073,-2.472,-3.254,-25.195,-85.9,1765152000000
xpla,0.6064093692647233,5.9418265,17214595,0,111460517,1999921588,60244370,50,57,107,19176216,1.11395103980082,1.11395103980082,2084,123119,xpla,0.01614717,14291342,1322,32293214,35374,0.0164651,0.01593158,0.00020654,1.296,152928,1.082,885064060,1999921588,2000000000,1.4,1678927328336,0.01558133,1764642301877,-0.134,1.296,-5.702,-3.658,-21.806,-85.689,1765065600000
xpla,0.6076450535331005,5.943842500000001,17200056,0,111444150,1999921588,60243394,50,57,107,19148985,1.1133094566668853,1.1133094566668853,2102,123103,xpla,0.01597436,14138414,1320,31947477,42301,0.01814705,0.01593764,-0.00113468,-6.632,-932284,-6.186,885068937,1999921588,2000000000,1.4,1678927328336,0.01558133,1764642301877,-1.295,-6.632,-6.16,-6.624,-25.536,-85.884,1764979200000
xpla,0.5512118021067006,5.9357954,17185528,0,111420962,1999921588,60242419,51,56,107,19121042,1.1126246455738806,1.1126246455738806,2102,123103,xpla,0.01702768,15032677,1307,33967986,225974,0.01757092,0.01643001,0.00042706,2.573,229560,1.551,885073812,1999921588,2000000000,1.4,1678927328336,0.01558133,1764642301877,0.323,2.573,-1.748,-4.613,-19.89,-84.474,1764892800000
xpla,0.5464249645306599,5.939785,17170974,0,111256080,1999921588,60241443,51,56,107,19094083,1.111997665362489,1.111997665362489,2095,123083,xpla,0.01670696,14803117,1330,33449087,46605,0.01689596,0.01603275,0.00051851,3.203,475068,3.316,885078679,1999921588,2000000000,1.4,1678927328336,0.01558133,1764642301877,0.204,3.203,-3.182,-6.072,-30.675,-84.399,1764806400000
xpla,0.5427429983855145,5.947699500000001,17156431,0,111116931,1999921588,60240567,51,56,107,19066026,1.1113049095117744,1.1113049095117744,2088,123075,xpla,0.01618839,14328049,1331,32375465,30886,0.01624043,0.01558133,0.00046896,2.983,414988,2.983,885083060,1999921588,2000000000,1.4,1678927328336,0.01558133,1764642301877,0.173,2.983,-5.167,-14.365,-35.821,-85.507,1764720000000
xpla,0.5488325752873947,5.9492365,17141907,0,111107935,1999921588,60239691,51,56,107,19038174,1.1106217062080666,1.1106217062080666,2020,123067,xpla,0.01571942,13913061,1312,31437607,27286,0.01688187,0.01563821,-0.00115048,-6.82,-1019564,-6.828,885087441,1999921588,2000000000,1.4,1678927328336,0.01563821,1764608718113,-1.693,-6.82,-5.615,-14.948,-39.186,-86.045,1764633600000
xpla,0.5524282945474542,5.9139155,17127365,0,108627228,1999921588,60238819,51,56,107,19011897,1.1100304687848948,1.1100304687848948,2007,123019,xpla,0.01684815,14932625,1313,33741221,44144,0.01706726,0.01668021,-0.00013833,-0.814,-100234,-0.667,885091799,1999921588,2000000000,1.4,1678927328336,0.01622554,1763843422850,-0.447,-0.814,-1.105,-15.832,-34.546,-83.935,1764547200000
xpla,0.5490115586537525,5.9132441,17112756,0,108600922,1999921588,60237944,51,56,107,18991520,1.1097873422609426,1.1097873422609426,2034,123019,xpla,0.01698646,15032858,1314,33967856,25988,0.0174073,0.01674024,-0.00030202,-1.747,-270344,-1.767,885087842,1999921588,2000000000,1.4,1678927328336,0.01622554,1763843422850,-0.825,-1.747,1.35,-17.54,-35.865,-83.531,1764460800000
xpla,0.5489616087478235,5.9173477,17098146,0,108591918,1999921588,60237062,51,56,107,18962373,1.1090309440567416,1.1090309440567416,2028,122997,xpla,0.01728903,15303201,1307,34578544,201346,0.01807689,0.01678711,-0.00002234,-0.129,-42980,-0.28,885092249,1999921588,2000000000,1.4,1678927328336,0.01622554,1763843422850,0.383,-0.129,1.061,-19.881,-34.922,-82.352,1764374400000
xpla,0.48659200198684127,5.9180527000000005,17083543,0,108579308,1999921588,60236187,51,56,107,18941339,1.1087476994672592,1.1087476994672592,1981,122996,xpla,0.01731165,15346181,1315,34675489,31854,0.01742856,0.0170355,0.00027614,1.621,552501,3.735,885096624,1999921588,2000000000,1.4,1678927328336,0.01622554,1763843422850,0.025,1.621,-3.023,-15.716,-37.679,-82.487,1764288000000
