timestamp,blockCount,txCount
1765065600000,14553,27236
1764979200000,14539,27234
1764892800000,14528,27942
1764806400000,14553,26964
1764720000000,14543,28051
1764633600000,14525,27853
1764547200000,14541,26280
1764460800000,14610,20375
1764374400000,14610,29153
1764288000000,14603,21032
1764201600000,14585,21347
1764115200000,14557,24192
1764028800000,14566,25814
1763942400000,14556,26403
1763856000000,14557,25079
1763769600000,14555,25343
1763683200000,14551,24243
1763596800000,14548,23408
1763510400000,14560,22704
1763424000000,14532,24140
1763337600000,14556,26130
1763251200000,14548,25840
1763164800000,14545,26330
1763078400000,14535,26964
1762992000000,14447,27474
1762905600000,14551,28137
1762819200000,14566,27647
1762732800000,14497,27289
1762646400000,14563,26446
1762560000000,14515,24936
1762473600000,14529,27007
1762387200000,14574,26297
1762300800000,14573,26469
1762214400000,14571,26669
1762128000000,14560,28068
1762041600000,14552,35709
1761955200000,14530,43688
1761868800000,14519,26734
1761782400000,14523,27276
1761696000000,14522,24534
1761609600000,14526,23315
1761523200000,14520,24090
1761436800000,14524,24964
1761350400000,14520,25427
1761264000000,14512,24637
1761177600000,14510,26496
1761091200000,14479,25612
1761004800000,14500,25267
1760918400000,14489,24363
1760832000000,14504,26705
1760745600000,14491,43178
1760659200000,14500,38838
1760572800000,14496,26520
1760486400000,14326,24976
1760400000000,14451,23882
1760313600000,14462,24440
1760227200000,14474,25925
1760140800000,14472,25573
1760054400000,14478,32490
1759968000000,14481,52836
1759881600000,14486,52672
1759795200000,14485,54854
1759708800000,14482,50380
1759622400000,14485,64539
1759536000000,14487,51727
1759449600000,14490,56486
1759363200000,14491,51022
1759276800000,14478,53940
1759190400000,14428,21629
1759104000000,14433,21580
1759017600000,14463,32075
1758931200000,14389,47155
1758844800000,14434,38107
1758758400000,14436,24855
1758672000000,14428,22832
1758585600000,14415,24020
1758499200000,14422,28712
1758412800000,14425,30111
1758326400000,14433,43692
1758240000000,14430,24178
1758153600000,14414,23919
1758067200000,14424,25172
1757980800000,14407,27431
1757894400000,14403,29350
1757808000000,14402,29278
1757721600000,14404,38799
1757635200000,14393,43467
1757548800000,13740,43779
1757462400000,14387,46497
1757376000000,14390,40072
1757289600000,14393,40988
1757203200000,14375,33359
1757116800000,14396,28520
1757030400000,14407,32679
1756944000000,14405,38488
1756857600000,14404,42458
1756771200000,14427,49852
1756684800000,14425,41160
1756598400000,14429,33479
1756512000000,14431,35287
1756425600000,14396,33936
1756339200000,14371,31774
1756252800000,14367,29186
1756166400000,14439,29112
1756080000000,14453,29115
1755993600000,14467,25883
1755907200000,14458,26831
1755820800000,14449,27535
1755734400000,14445,30300
1755648000000,14449,28637
1755561600000,14445,29471
1755475200000,14440,29693
1755388800000,14437,28569
1755302400000,14411,29810
1755216000000,14372,30206
1755129600000,14425,29663
1755043200000,14478,30258
1754956800000,14491,32463
1754870400000,14498,34119
1754784000000,14497,33355
1754697600000,14477,33488
1754611200000,14482,33268
1754524800000,14467,32142
1754438400000,14468,33876
1754352000000,14462,36081
1754265600000,14453,35238
1754179200000,14477,33870
1754092800000,14453,33377
1754006400000,14408,29563
1753920000000,14450,35435
1753833600000,14449,34603
1753747200000,14414,67979
1753660800000,14432,23691
1753574400000,14428,23292
1753488000000,14416,29093
1753401600000,14427,36646
1753315200000,14436,39404
1753228800000,14440,36453
1753142400000,14442,43053
1753056000000,14447,44562
1752969600000,14444,37078
1752883200000,14440,37920
1752796800000,14439,41161
1752710400000,14449,40893
1752624000000,14438,38212
1752537600000,14426,36321
1752451200000,14443,37420
1752364800000,14462,37888
1752278400000,14441,35231
1752192000000,14434,39270
1752105600000,14432,43715
1752019200000,14440,37215
1751932800000,14442,35617
1751846400000,14444,37954
1751760000000,14455,36256
1751673600000,14454,34866
1751587200000,14450,35802
1751500800000,14427,35846
1751414400000,14421,36979
1751328000000,14416,36863
1751241600000,14435,37008
1751155200000,14440,35496
1751068800000,14432,35386
1750982400000,14419,35306
1750896000000,14424,38617
1750809600000,14419,37675
1750723200000,14441,36765
1750636800000,14469,36170
1750550400000,14474,35597
1750464000000,14469,35184
1750377600000,14465,36531
1750291200000,14464,36441
1750204800000,14470,36977
1750118400000,14465,36397
1750032000000,14476,36449
1749945600000,14472,35709
1749859200000,14473,36355
1749772800000,14446,38391
1749686400000,14462,36920
1749600000000,14405,37646
