id,title,type,status,timeSubmit,timeVotingStart,timeVotingEnd,txHash,txHeight,proposer,voteYes,voteNo,voteNoWithVeto,voteAbstain
105,Proposal Transition of XPLA Token Name and Symbol to CONX,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1762060973000,1762060973000,1762320173000,undefined,16708567,xpla10n42d4ckyurqrulhfwyqxhg4709uss65m9ayv3,74157837.13300346,2001,100,0
104,Proposal Transition of XPLA Token Name and Symbol to CONX,/cosmos.gov.v1.MsgExecLegacyContent,REJECTED,1762059786000,1762059786000,1762664586000,undefined,16708367,xpla10n42d4ckyurqrulhfwyqxhg4709uss65m9ayv3,5320.977639355671,4240.18090787,0,8495859.680457141
102,Recover Expired IBC Client to XPLA Chain,/ibc.core.client.v1.MsgRecoverClient,PASSED,1761025779000,1761025779000,1761284979000,undefined,16534638,xpla1tple283l3vcaac7x0mqrwtvm3kfe8hlcmsk4tz,75297272.6746194,0,0,0
101,Recover Expired IBC Client to Axelar Network,/ibc.core.client.v1.MsgRecoverClient,PASSED,1758526956000,1758526956000,1759131756000,undefined,16116397,xpla1tple283l3vcaac7x0mqrwtvm3kfe8hlcmsk4tz,49205091.1909127,0,0,0
100,Recover Expired IBC Client to Cosmos,/ibc.core.client.v1.MsgRecoverClient,PASSED,1758526854000,1758526854000,1759131654000,undefined,16116380,xpla1tple283l3vcaac7x0mqrwtvm3kfe8hlcmsk4tz,49204926.09091269,0,0,0.1
99,Recover Expired IBC Client to Archway Network,/ibc.core.client.v1.MsgRecoverClient,PASSED,1758526469000,1758526469000,1759131269000,undefined,16116316,xpla1tple283l3vcaac7x0mqrwtvm3kfe8hlcmsk4tz,49204854.0909127,0.1,0,72
98,XPLA v180 Upgrade Proposal,/cosmos.upgrade.v1beta1.MsgSoftwareUpgrade,PASSED,1756962512000,1756962512000,1757567312000,undefined,15856221,xpla10n42d4ckyurqrulhfwyqxhg4709uss65m9ayv3,74198584.27355105,0,0,0
97,Proposal Make XPLA Great Again  Phase3 Validator Settlement 21,/cosmos.gov.v1.MsgExecLegacyContent,PASSED,1756192031000,1756192031000,1756796831000,undefined,15727728,xpla10n42d4ckyurqrulhfwyqxhg4709uss65m9ayv3,72966458.07987988,0,0,0
96,Integrating XPLA  into Nebula7 Faster Smarter CryptoBacked Loans,Text,REJECTED,1755645627000,1755645627000,1756250427000,undefined,15636329,xpla1npsgch4dxee7ze7ez5g3v49p5pwucs0daa4rnu,1119369.013356341,0,35603056.24262478,370891.3418401807
95,Modified Proposal for Increasing Deposit and Activating Expedited Governance Features,/cosmos.gov.v1.MsgUpdateParams,PASSED,1749795386000,1749796519000,1750401319000,undefined,14658134,xpla1tple283l3vcaac7x0mqrwtvm3kfe8hlcmsk4tz,48140911.000629246,0,0,0
93,Proposal for Increasing Deposit and Activating Expedited Governance Features,Text,REJECTED,1749788437000,1749788437000,1750393237000,undefined,14656971,xpla1tple283l3vcaac7x0mqrwtvm3kfe8hlcmsk4tz,10668371.418491304,37112903.69731281,0,879
92,XPLA Airdrop  ,Text,REJECTED,1749605657000,1749605657000,1750210457000,undefined,14626415,xpla1ljqg3tmzp3fp87ycds0rzwem9nfhcpr2u97vcu,2462,26074.263434000095,39012177.153139874,0
91,Feeling Lucky  internet Money,Text,REJECTED,1749352800000,1749352800000,1749957600000,undefined,14584359,xpla1ljqg3tmzp3fp87ycds0rzwem9nfhcpr2u97vcu,171,0,39564815.17520453,0
90,Feeling Lucky  internet Money,Text,REJECTED,1749352741000,1749352741000,1749957541000,undefined,14584349,xpla1ljqg3tmzp3fp87ycds0rzwem9nfhcpr2u97vcu,52.560530550755935,0,39564913.61467398,0
89,Feeling Lucky   Get Airdrop   XPLA,Text,REJECTED,1749218788000,1749218788000,1749823588000,undefined,14561991,xpla1ljqg3tmzp3fp87ycds0rzwem9nfhcpr2u97vcu,151,538,39557989.12081419,0
