address,moniker,commission,rank,token,votingPower,timestamp
xplavaloper1tple283l3vcaac7x0mqrwtvm3kfe8hlc2d40yl,DELIGHT,0.1,1,17738299,0.159213,1765152000000
xplavaloper1642m4qamrdfm0jgj0cl4f0ns4k3guqm7rty2w7,ZenaAD,0.1,2,10655100,0.095637,1765152000000
xplavaloper14jv9xaegvvx4pt9qk0yr4h893lqq32eesun9pk,HOLDINGS,0.1,3,10204722,0.091594,1765152000000
xplavaloper173guv8jvjcn5facu0zu97mww6730mnh5eusa4w,Com2uS,0.1,4,9263129,0.083143,1765152000000
xplavaloper1qvpc0ysp0lflngg7c6vy5wpyjln0yfc5cq0fku,Cosmostation,0.1,5,7841099,0.070379,1765152000000
xplavaloper1a00g26m9ut98xspcmlz0fmtknfeqmmne3jdr99,01node,0.05,6,7798710,0.069999,1765152000000
xplavaloper1gak8hjd3fwarza5gy4kkhxtxp5hax5vy36cd6a,Blockdaemon,0.1,7,5237425,0.047009,1765152000000
xplavaloper154yuppc392pm9l369fjqmgmp5ls0xfhx3clk5q,syncnode,0.05,8,5214253,0.046801,1765152000000
xplavaloper14yeq3lkajldaggj28hmq8xng9xux7x5g80w747,Chorus One Research,0.15,9,4135258,0.037117,1765152000000
xplavaloper1aatgzgc3dny4pej3e9w4mj3cjee3akjpkdf0nv,1SelfWorld,0.1,10,3065180,0.027512,1765152000000
xplavaloper1zak58js7kpgyjpawx3tfvpcfyxpn5nxprt4kw3,Spoon Finance,1,11,3034820,0.02724,1765152000000
xplavaloper1057r86dqz3zvckmvptfpvnaaka8wsck6us2yv6,polkachucom,0.01,12,2955975,0.026532,1765152000000
xplavaloper1fvv6xx4ghnrkqnmurr6dpjqmcxt0lf3cf4eary,Hive Platform Lab,0.1,13,2212064,0.019855,1765152000000
xplavaloper1dm0ccjtqv3spagv83h4d7nxm7pjzalmgsfe325,Please undelegate,0.08,14,2201702,0.019762,1765152000000
xplavaloper1hn6tn3n5kks0j5vf349m8qq3t67hwerjt3tyk5,COM2VERSE,0.1,15,1873100,0.016812,1765152000000
xplavaloper1yzrrphdt6kywv9dvp63735yat427g7ccq8ltv4,Mblock,0.1,16,1666665,0.014959,1765152000000
xplavaloper1wrudxaww7482hpz7zfwd75fxxgkz7quaazqaas,Dexlab,0.1,17,1582674,0.014206,1765152000000
xplavaloper1df7rtupqcwng3wy59at00lt9y95ajkn3gdly55,SK NetworksPlease undelegate from SK Networks,0.1,18,1443796,0.012959,1765152000000
xplavaloper1rjkesmhyv24x0wstu676n4z35kwxtamfvr0hrj,ChainLayer,0.1,19,1243438,0.011161,1765152000000
xplavaloper1jh0e6hvpzczszhmfcfuukg2l7f9lfxy8xsrkd0,Animoca Brands,0.1,20,1056756,0.009485,1765152000000
xplavaloper1rtccztddncmp6qxjv20s6f0tx95hl4qusuqssf,PARAMETAValidator,0.1,21,1013433,0.009096,1765152000000
xplavaloper1xzxfxjmgkpvq58gyye2k50gr6p4yjgasjlku8r,Inotel,0.1,22,928203,0.008331,1765152000000
xplavaloper1hwylnemag2uge22lhwwpxv2jw63ydclhfqttr5,Presto Labs,0.1,23,890206,0.00799,1765152000000
xplavaloper155yk4wfn0xqye80exlsr6hu4qdfsvsgw6ytlpy, LavenderFive Nodes ,0.05,24,876460,0.007867,1765152000000
xplavaloper14pru9ve8vccxlsddv57jnh5hhgcy0ddl3xqjx4,0xxplavalidator,0.1,25,822796,0.007385,1765152000000
xplavaloper1f3j8tmjzsxt4lut235s4gnsjqgzlextx9w2rtr,YGG,0.1,26,812462,0.007292,1765152000000
xplavaloper1euev4sjmanjjq3d89xt3lz9ghqrel763sqyzwq,HashKey Cloud,0.1,27,808149,0.007254,1765152000000
xplavaloper1w5ncht6s70jqu69sr726uej7p25tmqjqtcpcuu,Hexlant,0.1,28,807863,0.007251,1765152000000
xplavaloper1y6z760hmfhxzsjxfrhdf3pzwdzz52nnx3shmdw,KDAC,0.1,29,806440,0.007238,1765152000000
xplavaloper187e89yhgz4pl380evad4w57fqy4rq56405ry7p,Staking Facilities,0.1,30,806365,0.007238,1765152000000
xplavaloper10n40v9ukkxehejyg2crd47xldjmw0gsusqa0g7,Ozys,0.1,31,806300,0.007237,1765152000000
xplavaloper16nj2apcvata6efka92q69849cqjg2fr8ndemmd,Crossnode Labs,0.1,32,806286,0.007237,1765152000000
xplavaloper1w7chlyel9wepgevs2jk2e46hfyqlq9u2uf5nll,Venly,0.1,33,806190,0.007236,1765152000000
xplavaloper1f6lhwhvenhyvkdkjuxhp5nng3wsekurmslkek8,MCF,0.1,34,802745,0.007205,1765152000000
xplavaloper17r73ucanhkddx808juunqsmqr9rk4rlzn0p0j6,Ubisoft,0.1,35,794690,0.007133,1765152000000
xplavaloper1nya3kk43pd2k4ueansnu6xuw7t6czvgyz2ydcc,Moonlet,0.1,36,787533,0.007069,1765152000000
xplavaloper18kfshm0wzsfz699llgst00a7rjqryj4n653aew,DO NOT STAKE,0.1,37,511883,0.004594,1765152000000
xplavaloper1w7nq6jeuk0m48z3x29ydu0fxpz24k8pkrl5dw3,Goldmountain,0.1,38,500388,0.004491,1765152000000
xplavaloper1n75glvgp07t2eja0dy6djhh5yjh8weu3nja32a,BPMG,0.1,39,322506,0.002895,1765152000000
xplavaloper1dp8wey8v39nxkhced48kk8jgmgxqcv4vhwm35u,Ankr,0.1,40,317884,0.002853,1765152000000
xplavaloper1e2pwqr5ernr4a9w7zeemfkvcctmejc537c63dm,Hinode Technologies,0.1,41,308486,0.002769,1765152000000
xplavaloper1l2vfkclhxg47udfs7zgm57dtfdw5kmz48s66w7,Staking Fund,0.1,42,308253,0.002767,1765152000000
xplavaloper1etjwn0rl7w4c5f4khk2mt2rxg85wllsdqxlaz3,Gomble  please undelegate from Gomble,0.1,43,307282,0.002758,1765152000000
xplavaloper1fkz5rawy6zkleyu4jhu953akpnnq9ttqghqfnx,Lydia Labs,0.1,44,306381,0.00275,1765152000000
xplavaloper1glkxc95cyeu4s80rszepvsavt0f8ye7m24x729,PLEASE REDELEGATE  CLOSING  ChainodeTech,0.1,45,306276,0.002749,1765152000000
xplavaloper14uzwd36qsg3fafeqwa42hfzy5azuh4re2lnya4,TritonOne,0.1,46,306255,0.002749,1765152000000
xplavaloper19ge4myhgmcawn7ny8jrqvmc20czvkkjcnerrya,Strata One ,0,47,226493,0.002033,1765152000000
xplavaloper16g4jaj3yka4nscqcexzxmxknlckapygm09wv5p,Algorith,0.1,48,200223,0.001797,1765152000000
xplavaloper129x66w8dkwup83cngunsu9x0l2ptr9nejz93gk,Xangle  please undelegate from Xangle,0.1,49,124346,0.001116,1765152000000
xplavaloper1dwezh5d2d79te83u63cr9h8gce02c84t69x7a7,Crypto Lion  0 fee,0,50,53376,0.000479,1765152000000
xplavaloper1nljtmgnydyz9ksvt47k04w08f5wfw82ejcpyzp,Forbole,0.1,51,46294,0.000416,1765152000000
xplavaloper1f25mxxgjt8wd30hugfhh8gdwywxcch6zrmuwz6,0 fees   BlueStake,0,51,30274,0.000272,1765152000000
xplavaloper19a5e6zdgketzdsaen0wklwy83l2cq5j7zsufyq,ChainTools,0.1,51,23657,0.000212,1765152000000
xplavaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4s8kewt,0basevc,0.1,51,18828,0.000169,1765152000000
xplavaloper1zfsl7wz56kpyf2r35mqfz2ufnvumpe4te7e4t6,PigCash,0.1,51,17215,0.000155,1765152000000
xplavaloper19ul9dntect4vc39jxv8cj3rhhw7v75tchxc6zk,Arcturian Tech,0.1,51,17039,0.000153,1765152000000
xplavaloper1keldzhvvl8l20uz557jvyte8pjspmzejrwtjps,Provalidator,0.1,51,16729,0.00015,1765152000000
xplavaloper1as49rflkssye04t3d3juwprlsh9ljwsmrrteu9,Oldcat,0.01,51,12279,0.00011,1765152000000
xplavaloper12mfy6dgxqk4stlx5xly6rfuupme3h2l7xscen0,Bitget  0 Fee,0.05,51,12257,0.00011,1765152000000
xplavaloper12266huue2akg4jue4cfckz8pfk52slttmg4wam,PARAMETA,0.1,51,6659,0.00006,1765152000000
xplavaloper18medcs7vlf3pv3m4gcddlq2zc4s8te977wvuth,gladder,0.05,51,2639,0.000024,1765152000000
xplavaloper173nykxpfss6qmlhqddh6a4q7rxvyjckt52djaq,STAVR REStake ON,0.05,51,2348,0.000021,1765152000000
xplavaloper1nyzqhhzfsfdc8xv2rv68tsz2aars53dk5eymwf, mohav ,0.05,51,1583,0.000014,1765152000000
xplavaloper1d8sezyezn5xf2c2yu6na3zy7c6g5yv386ykkq2,SHUTDOWNSOON,0.1,51,1492,0.000013,1765152000000
xplavaloper1rvdpd2rpar2gj83p5jr7g6kmqdwfr4u2kdzf29,finteh,0.05,51,1200,0.000011,1765152000000
xplavaloper1yqf3x9p2969f85yzfdyjesaek39sv4wl5fryyu,Kalia Network,0.05,51,1156,0.00001,1765152000000
xplavaloper15xeyqdl7w0d3lvfy5520vh0ypuwyqhvp6v4qyf,iptrade,0.07,51,999,0.000009,1765152000000
xplavaloper1vduqxy7gycd3lshjqexegdn3n8a69pdlq3d5vs,Ubisoft temporarily suspended,0.03,51,777,0.000007,1765152000000
xplavaloper1q47m30rzxjvmdp0llat4t2pc5lkvw4jn8tpwj3,Earn Network,0.01,51,687,0.000006,1765152000000
xplavaloper1xr82qm9mdgwz526hr2n7v6ktccfrncrdv9vw2r,BlackIce,0.07,51,676,0.000006,1765152000000
xplavaloper15w30t5qkh0z78ug0essd2su4qu24ntslp5l5m6,petani,0.1,51,500,0.000004,1765152000000
xplavaloper1q85hnfd9eg08mp6kulccxrqn4tvegl3gkzy47c,redelegateplease,0,51,410,0.000004,1765152000000
xplavaloper1m2hgchcsvq6xayx30jfrxa8vzewzv6zzz2rr6a,0 FeeNymbusNode,0,51,361,0.000003,1765152000000
xplavaloper14er8u8ea80v5fzylqm22xnucztw9xcgkqdveva,Crypto Plant,0.05,51,312,0.000003,1765152000000
xplavaloper1xjvdvjgh33fk88cd45m72vuvrp2wppfap7h02r,Insight Finance,0,51,235,0.000002,1765152000000
xplavaloper1fuwzheku3m2fgej9vtzwzhc0a4p0f28vv298pc,please redelegate,0.05,51,178,0.000002,1765152000000
xplavaloper108lcxcaje8y5kyq7ggwzcmh04m2088y7extcv2,Unbonding Please redelegate,0,51,123,0.000001,1765152000000
xplavaloper1e5gwkghrhf9w2e0v8d6veq54c7dsgae2fw6euw,Interstellr,0,51,118,0.000001,1765152000000
xplavaloper192zunu7rrw2g0j9aec6g6yyj63cpn7gv2m8lyu,StakeNode,0.1,51,110,0.000001,1765152000000
