chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp
xion,0.130375,2.3321665,16397750,0.04125,64044986,206549511,131557,35,25,60,14648464,0.8933215837538687,0.8933215837538687,31974,3733197,xion-2,0.293952,13465650,1360,58844683,9653113,0.334101,0.292349,-0.03806237,-11.464,-1588603,-10.553,45766749,200000000,0,6.83,1733616000000,0.292349,1765151148764,-0.76,-11.464,-38.593,-19.782,-48.009,-95.886,1765152000000
xion,0.130251,2.2734247,16360227,0.041194,64013137,206534085,131249,35,25,60,14641582,0.8949498072367822,0.8949498072367822,32222,3733043,xion-2,0.332347,15226319,1292,66538782,10075523,0.349501,0.322879,-0.00679047,-2.002,228485,1.523,45766749,200000000,0,6.83,1733616000000,0.322879,1765062659283,2.061,-2.002,-19.524,-5.595,-34.674,-94.078,1765065600000
xion,0.130125,2.2777111,16322215,0.041068,63875180,206518492,130937,35,25,60,14634609,0.8966068024468493,0.8966068024468493,32236,3732842,xion-2,0.339138,14997834,1292,68043928,13162662,0.378676,0.337538,-0.03953787,-10.441,-1696392,-10.162,44082798,200000000,0,6.83,1733616000000,0.326432,1764099051603,-0.306,-10.441,-25.833,-8.997,-34.513,-94.986,1764979200000
xion,0.129999,2.269646,16284288,0.041032,63875232,206502968,130626,35,24,59,14627170,0.8982382281620173,0.8982382281620173,32236,3732842,xion-2,0.378406,16694225,1243,75740314,14801543,0.410175,0.374712,-0.00770494,-1.996,-334373,-1.964,44082798,200000000,0,6.83,1733616000000,0.326432,1764099051603,0.225,-1.996,-26.078,-7.114,-19.525,0,1764892800000
xion,0.129873,2.2727757,16246246,0.040995,63875671,206487413,130315,35,24,59,14618906,0.8998328598495924,0.8998328598495924,32300,3732842,xion-2,0.386111,17028597,1239,77257332,18915618,0.459248,0.378472,0.00589293,1.55,271616,1.621,44082798,200000000,0,6.83,1733616000000,0.326432,1764099051603,1.834,1.55,-45.977,-14.701,-23.858,0,1764806400000
xion,0.129748,2.2736045999999996,16208304,0.040959,63875673,206471914,130005,35,24,59,14610974,0.9014498987679402,0.9014498987679402,32238,3732138,xion-2,0.380417,16756981,1229,76025034,17833389,0.401851,0.357606,0.01551264,4.251,662552,4.117,44082798,200000000,0,6.83,1733616000000,0.326432,1764099051603,-0.434,4.251,14.597,-11.084,-34.353,0,1764720000000
xion,0.129622,2.2733364000000003,16170335,0.040922,63875502,206456419,129694,35,24,59,14602506,0.9030428868665986,0.9030428868665986,32165,3730531,xion-2,0.365033,16094430,1216,73019092,22308400,0.463677,0.356157,-0.09085426,-19.929,-3975268,-19.807,44082798,200000000,0,6.83,1733616000000,0.326432,1764099051603,0.654,-19.929,5.508,-20.367,-38.114,0,1764633600000
xion,0.129496,2.2666906,16132282,0.040901,63899401,206440902,129384,35,24,59,14594409,0.904671081251865,0.904671081251865,32217,3730452,xion-2,0.455273,20069697,1137,91054551,18099639,0.530047,0.397471,0.04143533,10.012,1842024,10.106,44082798,200000000,0,6.83,1733616000000,0.326432,1764099051603,-4.522,10.012,24.241,7.47,-22.232,0,1764547200000
xion,0.12937,2.268565,16094258,0.040864,63898976,206425413,129074,35,24,59,14585159,0.9062337014853372,0.9062337014853372,32260,3730352,xion-2,0.413493,18227673,1188,82697439,8969982,0.465685,0.402448,-0.04677571,-10.163,-2037791,-10.055,44082798,200000000,0,6.83,1733616000000,0.326432,1764099051603,0.041,-10.163,17.455,-5.275,-27.596,0,1764460800000
xion,0.129244,2.2744251,16056246,0.040833,63908228,206409939,128764,35,24,59,14576741,0.9078548622137453,0.9078548622137453,32113,3730051,xion-2,0.459592,20284204,1144,92027751,15386436,0.548734,0.454852,-0.06932859,-13.108,-2725702,-11.846,44082798,200000000,0,6.83,1733616000000,0.326432,1764099051603,-0.597,-13.108,23.325,4.082,-25.878,0,1764374400000
