address,moniker,commission,rank,token,votingPower,timestamp
xionvaloper1xvzpmejwax2uuquap8rgxt5d7f4xscfwdr8p49,Zellic,0.05,1,7800785,0.121896,1765152000000
xionvaloper1pxk78p2hents9935a5ust8xy39c5xgpkcsz0r9,Stakin,0.05,2,7383718,0.115378,1765152000000
xionvaloper1tsch433esuruhwzee3ya8ea3q3vr4hukqaqktz,SCVSecurity,0.05,3,5126785,0.080111,1765152000000
xionvaloper140l6y2gp3gxvay6qtn70re7z2s0gn57z9nzqce, LavenderFive Nodes ,0.05,4,4400523,0.068763,1765152000000
xionvaloper18hj7x8dlchh77dd2k9wr7dqvygmmpxrpxtzql9,Hex Trust,0.05,5,4326286,0.067603,1765152000000
xionvaloper10ezztfr3jfet8ac6l23fw3tqtxhacq05fmaz7w,Injective Labs,0.05,6,3174361,0.049603,1765152000000
xionvaloper15vdz44lyndpn0lf7vqqe0rkprnamwxx2kkuk67, CryptoCrew Validators,0.05,7,3015688,0.047123,1765152000000
xionvaloper1aymujrhq0kndynezn520lz6wqcehp52gzjkyn2,Cosmostation,0.05,8,2818713,0.044045,1765152000000
xionvaloper1n2ags3yzp9a3dyjtm6fae7qsqgtulkzdqx5a5m,Imperatorco,0.05,9,2397571,0.037465,1765152000000
xionvaloper10g3fdhq3c2ev2enrhh7z9xyzphal3audm7r3c4,kingnodes ,0.05,10,2263657,0.035372,1765152000000
xionvaloper1t8ysd9cg6s38ak9xfadkjtvfv9uczvrn8wzv77,Ledger by Meria,0.05,11,1771122,0.027676,1765152000000
xionvaloper1dzwqegk4wnff04l5sa0w892l6a7sg08zxvuhyw,polkachucom,0.05,12,1639494,0.025619,1765152000000
xionvaloper1zetwps9xnhe5uek07nauk72yqw4un5atu9futk,Decentrio,0.05,13,1533710,0.023966,1765152000000
xionvaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5suhm830,Informal Systems,0.05,14,1509756,0.023592,1765152000000
xionvaloper1ezgsakjpt643fjd9ksr284a0nyldmdgv8jjs9a,Forbole,0.05,15,1501075,0.023456,1765152000000
xionvaloper14xt0d2s9hw9ccv8l4d59765xstmpygwqcz35q6,Meria,0.05,16,1400208,0.02188,1765152000000
xionvaloper1ypwfnfuldmlp9u8asqzz6qx29p0utqzer5678k,StakeLab,0.05,17,1028353,0.016069,1765152000000
xionvaloper1jaq5wnxg9l7h59690hn2prkmvg4xzqmtt2ku3a,Talis Protocol,0.05,18,1018444,0.015914,1765152000000
xionvaloper1j589wztwtjrdkunpdehpjrja4snw5fj863wrzv,BonusBlock,0.05,19,1016901,0.01589,1765152000000
xionvaloper1hms4lpl55sgq25ln05t6xz5qln0zfwz7djnuym,KudasaiJP,0.05,20,1008127,0.015753,1765152000000
xionvaloper1ak58a04fzdftza8vnnpv9fm4s3jeg8swd3vpgy,Smart Stake ,0.05,21,1003876,0.015687,1765152000000
xionvaloper1ddqn26gh4kqeta6h7mcpt6sf0ww5r2kclajve5,DSRV,0.05,22,1002501,0.015665,1765152000000
xionvaloper1w6szadsmtw75z8l2uutvrspvamgtvfzxg5aqqt,Binary Builders,0.05,23,1001206,0.015645,1765152000000
xionvaloper14kl70jdjq62fsg8fxk855g62m4265qdpp9mgf7,cryptomind,0.05,24,1000001,0.015626,1765152000000
xionvaloper1l72js003lwptjljs2qqs4wf9tvm6swf7qsv37r,HT Digital Assets,1,25,801672,0.012527,1765152000000
xionvaloper1sl97x54v0u3extuj2zrf7h0qrrtpgpsl5usl3h,strangelove,0.05,26,724078,0.011314,1765152000000
xionvaloper17hvcls9449e29h5twttv37h00g9uzu7aqqzrft,NodesGuru,0.05,27,521243,0.008145,1765152000000
xionvaloper1uerj5p4r954kc339df5auaqdk9zf3n3qh5vch4,Zellic,1,28,501924,0.007843,1765152000000
xionvaloper167l39wcewwuks065vu9f5qggyjaavk5dq5q6kq,InfStones,0.1,29,501666,0.007839,1765152000000
xionvaloper1j5s59eszaf5lhsg4h0rm69zwcz5rcut03mzguf,UbikCapital,0.1,30,501226,0.007832,1765152000000
xionvaloper12pw7nh2hcckl33thl0tyuj3xz54l88yx4ewxhf,ITRocket,0.05,31,500051,0.007814,1765152000000
xionvaloper1rcd5vrmy2cln0znt4davcxhz3npkcl7xmdkvlg,A41,0.05,32,195780,0.003059,1765152000000
xionvaloper1qpwanksu7kw85v0v4f3aczn5p7k54sdr5eh4cj,QuantNode,0.05,33,143790,0.002247,1765152000000
xionvaloper1w7zv5a5ddy06wtjgqr8w9yr3mfgvc8ldxc24vf,KYVE Public Good Funding,1,34,76644,0.001198,1765152000000
xionvaloper1qe8uuf5x69c526h4nzxwv4ltftr73v7qfl4ax5,Stakecito,0.05,35,58827,0.000919,1765152000000
xionvaloper10j2v9qf8pu8lchffxvj92l4lkr9mrj424xfgch,Innovating Capital,0.05,36,49960,0.000781,1765152000000
xionvaloper1e4vfk8jn5taxc65ec26axg29j9ekpcq5rsjvav,Xentauri Labs,0.05,36,15906,0.000249,1765152000000
xionvaloper1m52l7gp04gqvqs24puxxghy3gqjhtd8eagdklu, AutoStake  Slash Protected,0.05,36,7433,0.000116,1765152000000
xionvaloper1q546x3kw64upp4z9urzkjyph4anchqen0zcfa8,XION staking,0.05,36,4044,0.000063,1765152000000
xionvaloper1zd80vzt8nzefersu8u3jhgfxesr6kn6h0anzp6,PathrockNetwork,0.05,36,761,0.000012,1765152000000
